case,matrix_kind,matrix_shape,nnz,observable_id,observable_type,alpha,method,runtime_seconds,runtime_q1_seconds,runtime_q3_seconds,runtime_iqr_seconds,runtime_min_seconds,runtime_max_seconds,preprocessing_median_seconds,query_median_seconds,timing_repeats,solver_type,timing_scope,residual_norm,selected_functional_value,abs_difference_from_dense_reference,factorization_reused,num_observables_queried
selected_block_4x4,dense,4x4,16,state_correction_0,single_state_correction,0.01,dense_direct,9.146002412308007e-06,8.999999408842996e-06,9.833242074819282e-06,8.332426659762859e-07,8.791990694589913e-06,1.2332995538599789e-05,4.334004188422114e-06,4.749999789055437e-06,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,2.1458449742740537e-07,-0.007354756761409462,1.8214596497756474e-17,False,3
selected_block_4x4,dense,4x4,16,state_difference_0_1,branch_angle_difference_like,0.01,dense_direct,9.146002412308007e-06,8.999999408842996e-06,9.833242074819282e-06,8.332426659762859e-07,8.791990694589913e-06,1.2332995538599789e-05,4.334004188422114e-06,4.749999789055437e-06,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,2.1458449742740537e-07,-0.005305057362139123,6.071532165918825e-18,False,3
selected_block_4x4,dense,4x4,16,area_aggregate_first_half,area_aggregate_functional,0.01,dense_direct,9.146002412308007e-06,8.999999408842996e-06,9.833242074819282e-06,8.332426659762859e-07,8.791990694589913e-06,1.2332995538599789e-05,4.334004188422114e-06,4.749999789055437e-06,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,2.1458449742740537e-07,-0.009404456160679801,4.163336342344337e-17,False,3
selected_block_4x4,sparse,4x4,16,state_correction_0,single_state_correction,0.01,sparse_factorized,0.00015118750161491334,0.00014913549966877326,0.00015315649943659082,4.020999767817557e-06,0.00014545900921802968,0.0002686669904505834,0.00014635400293627754,4.854504368267953e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,2.1458449576791166e-07,-0.007354756761409462,1.8214596497756474e-17,True,3
selected_block_4x4,sparse,4x4,16,state_difference_0_1,branch_angle_difference_like,0.01,sparse_factorized,0.00015118750161491334,0.00014913549966877326,0.00015315649943659082,4.020999767817557e-06,0.00014545900921802968,0.0002686669904505834,0.00014635400293627754,4.854504368267953e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,2.1458449576791166e-07,-0.005305057362139123,6.071532165918825e-18,True,3
selected_block_4x4,sparse,4x4,16,area_aggregate_first_half,area_aggregate_functional,0.01,sparse_factorized,0.00015118750161491334,0.00014913549966877326,0.00015315649943659082,4.020999767817557e-06,0.00014545900921802968,0.0002686669904505834,0.00014635400293627754,4.854504368267953e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,2.1458449576791166e-07,-0.009404456160679801,4.163336342344337e-17,True,3
selected_block_4x4,sparse,4x4,16,state_correction_0,single_state_correction,0.01,adjoint_functional,0.0001528744978713803,0.0001504062456660904,0.00015636499665561132,5.958750989520922e-06,0.0001490419963374734,0.00023370899725705385,0.000146333004522603,6.458496500272304e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,-0.007354756761409467,1.3010426069826053e-17,True,3
selected_block_4x4,sparse,4x4,16,state_difference_0_1,branch_angle_difference_like,0.01,adjoint_functional,0.00015177050227066502,0.00014936474326532334,0.00015518774307565764,5.822999810334295e-06,0.00014808401465415955,0.00023116701049730182,0.000146333004522603,5.333000444807112e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,-0.005305057362139121,4.336808689942018e-18,True,3
selected_block_4x4,sparse,4x4,16,area_aggregate_first_half,area_aggregate_functional,0.01,adjoint_functional,0.00015164601063588634,0.00014932249177945778,0.00015507325224461965,5.750760465161875e-06,0.00014795899915043265,0.00023104199499357492,0.000146333004522603,5.207999492995441e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,-0.00940445616067978,6.245004513516506e-17,True,3
ieee14,dense,82x27,380,state_correction_0,single_state_correction,0.01,dense_direct,2.0916006178595126e-05,2.083300205413252e-05,2.1041996660642326e-05,2.0899460650980473e-07,2.0749997929669917e-05,2.2332998923957348e-05,8.957998943515122e-06,1.1958502000197768e-05,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,0.15458494230307704,0.004936027385599491,8.673617379884035e-19,False,3
