check_id,result_id,expected_value,recomputed_value,absolute_difference,relative_difference,tolerance,status,source_artifact
integrated.configuration_id,res:headline:integrated:configuration_id,ieee14_sparse_quantized_8x8_d31_selected_v1,ieee14_sparse_quantized_8x8_d31_selected_v1,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/resource_ledger.csv
integrated.matrix_fingerprint,res:headline:integrated:matrix_fingerprint,26159050694e76abc32692332daba94e9cd5e22d958a242236b4d57509aeab21,26159050694e76abc32692332daba94e9cd5e22d958a242236b4d57509aeab21,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/matrix_quantized.npy
integrated.shape,res:integrated:matrix_shape,8x8,8x8,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/matrix_quantized.npy
integrated.nonzeros,res:integrated:matrix_nonzeros,16,16,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/matrix_quantized.npy
integrated.degree,res:integrated:polynomial_degree,31,31,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/polynomial_coefficients.npy
integrated.phase_count,res:integrated:phase_count,32,32,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/phases.npy
integrated.postselection_probability,res:integrated:postselection_probability,0.6090421558900074,0.6090421558900074,0.0,0.0,6.090421558900074e-11,pass,outputs/sparse_integrated_chain/statevector_validation.csv
integrated.sparse_dense_action_error,res:integrated:sparse_dense_action_error,1.5402592989062325e-12,2.0286663473443738e-12,4.884070484381413e-13,0.2407527729128502,1e-12,pass,outputs/sparse_integrated_chain/statevector_validation.csv
integrated.qsvt_exact_svt_error,res:integrated:qsvt_exact_svt_action_error,1.1157854519147145e-08,1.1157854519147145e-08,0.0,0.0,1e-12,pass,outputs/sparse_integrated_chain/statevector_validation.csv
integrated.selected_output_qsvt_error,res:integrated:selected_output_qsvt_error,5.035880458318688e-07,5.035880458002101e-07,3.165870343657673e-17,6.286627273743212e-11,1e-12,pass,outputs/sparse_integrated_chain/statevector_validation.csv
integrated.finite_shot_1e6,res:integrated:finite_shot_coordinate_1e6,0.0024735120500193,0.0024735120500192502,4.9873299934333204e-17,2.0162950058781423e-14,1e-12,pass,outputs/sparse_integrated_chain/finite_shot_results.csv
integrated.resource.transpiled_gate_count,res:integrated:resource:transpiled_gate_count,186191,186191,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/resource_ledger.csv
integrated.resource.transpiled_depth,res:integrated:resource:transpiled_depth,180380,180380,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/resource_ledger.csv
integrated.resource.toffoli_count,res:integrated:resource:toffoli_count,51898,51898,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/resource_ledger.csv
integrated.resource.controlled_rotations,res:integrated:resource:controlled_rotation_count,744,744,0.0,0.0,0.0,pass,outputs/sparse_integrated_chain/resource_ledger.csv
decomposition.max_identity_residual,res:error_decomposition:max_identity_residual,0.0,9.012430558785756e-17,9.012430558785756e-17,1.0,1e-12,pass,outputs/sparse_error_precision_study/error_decomposition.csv
decomposition.triangle_bound,res:error_decomposition:triangle_bound_all,true,true,0.0,0.0,0.0,pass,outputs/sparse_error_precision_study/error_decomposition.csv
development.qsvt_rows,res:headline:development:qsvt_rows,24,24,0.0,0.0,0.0,pass,outputs/output_aware_sparse_selection/qsvt_validation_results.csv
development.qsvt_failures,res:headline:development:qsvt_failures,0,0,0.0,0.0,0.0,pass,outputs/output_aware_sparse_selection/qsvt_validation_results.csv
development.certificate_rows,res:headline:development:certificate_rows,111000,111000,0.0,0.0,0.0,pass,outputs/output_aware_sparse_selection/certificate_registry.csv
development.certificate_coverage,res:output_aware_sparse_selection:certificate:coverage,1.0,1.0,0.0,0.0,1e-12,pass,outputs/output_aware_sparse_selection/certificate_registry.csv
development.certificate_violations,res:headline:development:certificate_violations,0,0,0.0,0.0,0.0,pass,outputs/output_aware_sparse_selection/certificate_registry.csv
generalization.instance_count,res:headline:generalization:instances,15,15,0.0,0.0,0.0,pass,outputs/output_aware_generalization/instance_registry.csv
generalization.case_count.ieee14,res:headline:generalization:ieee14:instances,5,5,0.0,0.0,0.0,pass,outputs/output_aware_generalization/instance_registry.csv
generalization.case_count.ieee30,res:headline:generalization:ieee30:instances,5,5,0.0,0.0,0.0,pass,outputs/output_aware_generalization/instance_registry.csv
generalization.case_count.ieee57,res:headline:generalization:ieee57:instances,5,5,0.0,0.0,0.0,pass,outputs/output_aware_generalization/instance_registry.csv
generalization.primary.win,res:generalization:primary:win_count,13,13,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_matched_pairs.csv
generalization.primary.tie,res:generalization:primary:tie_count,0,0,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_matched_pairs.csv
generalization.primary.loss,res:generalization:primary:loss_count,2,2,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_matched_pairs.csv
generalization.bootstrap_ci.low,res:headline:generalization:bootstrap_ci:low,-0.3156277947922177,-0.3156277947922177,0.0,0.0,3.156277947922177e-11,pass,outputs/output_aware_generalization/generalization_bootstrap.csv
generalization.bootstrap_ci.high,res:headline:generalization:bootstrap_ci:high,-0.127918925273331,-0.127918925273331,0.0,0.0,1.2791892527333101e-11,pass,outputs/output_aware_generalization/generalization_bootstrap.csv
generalization.qsvt.rows,res:headline:generalization:qsvt:rows,72,72,0.0,0.0,0.0,pass,outputs/output_aware_generalization/qsvt_validation_results.csv
generalization.qsvt.failures,res:headline:generalization:qsvt:failures,0,0,0.0,0.0,0.0,pass,outputs/output_aware_generalization/qsvt_validation_results.csv
generalization.qsvt.instances,res:headline:generalization:qsvt:instances,6,6,0.0,0.0,0.0,pass,outputs/output_aware_generalization/qsvt_validation_results.csv
generalization.qsvt.cases,res:headline:generalization:qsvt:cases,3,3,0.0,0.0,0.0,pass,outputs/output_aware_generalization/qsvt_validation_results.csv
generalization.functional.aggregate_e0_to_e3.win,res:headline:generalization:functional:aggregate_e0_to_e3:win,6,6,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.aggregate_e0_to_e3.tie,res:headline:generalization:functional:aggregate_e0_to_e3:tie,0,0,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.aggregate_e0_to_e3.loss,res:headline:generalization:functional:aggregate_e0_to_e3:loss,9,9,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.coordinate_e0.win,res:headline:generalization:functional:coordinate_e0:win,14,14,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.coordinate_e0.tie,res:headline:generalization:functional:coordinate_e0:tie,0,0,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.coordinate_e0.loss,res:headline:generalization:functional:coordinate_e0:loss,1,1,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.signed_difference_e0_minus_e1.win,res:headline:generalization:functional:signed_difference_e0_minus_e1:win,15,15,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.signed_difference_e0_minus_e1.tie,res:headline:generalization:functional:signed_difference_e0_minus_e1:tie,0,0,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
generalization.functional.signed_difference_e0_minus_e1.loss,res:headline:generalization:functional:signed_difference_e0_minus_e1:loss,0,0,0.0,0.0,0.0,pass,outputs/output_aware_generalization/generalization_functional_pairs.csv
structural.candidate_proposals,res:headline:structural:candidate_proposals,120,120,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/candidate_registry.csv
structural.structural_groups,res:headline:structural:structural_groups,12,12,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_group_registry.csv
structural.matrix_realizations,res:headline:structural:matrix_realizations,24,24,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/instance_registry.csv
structural.residuals,res:headline:structural:residuals,960,960,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/residual_registry.csv
structural.selector_records,res:headline:structural:selector_records,21600,21600,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/support_registry.csv
structural.selector_completed,res:headline:structural:selector_completed,19080,19080,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/support_registry.csv
structural.selector_infeasible,res:headline:structural:selector_infeasible,2520,2520,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/support_registry.csv
structural.primary.win,res:structural:primary:win_count,6,6,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_matched_pairs.csv
structural.primary.tie,res:structural:primary:tie_count,5,5,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_matched_pairs.csv
structural.primary.loss,res:structural:primary:loss_count,1,1,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_matched_pairs.csv
structural.bootstrap_ci.low,res:headline:structural:bootstrap_ci:low,-0.036226347372473364,-0.0362263473724733,6.245004513516506e-17,1.7238846768917642e-15,3.6226347372473365e-12,pass,outputs/output_aware_structural_generalization/structural_group_bootstrap.csv
structural.bootstrap_ci.high,res:headline:structural:bootstrap_ci:high,0.0,0.0,0.0,0.0,1e-12,pass,outputs/output_aware_structural_generalization/structural_group_bootstrap.csv
structural.functional.aggregate_e0_to_e3.win,res:headline:structural:functional:aggregate_e0_to_e3:win,5,5,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.aggregate_e0_to_e3.tie,res:headline:structural:functional:aggregate_e0_to_e3:tie,3,3,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.aggregate_e0_to_e3.loss,res:headline:structural:functional:aggregate_e0_to_e3:loss,4,4,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.coordinate_e0.win,res:headline:structural:functional:coordinate_e0:win,5,5,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.coordinate_e0.tie,res:headline:structural:functional:coordinate_e0:tie,6,6,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.coordinate_e0.loss,res:headline:structural:functional:coordinate_e0:loss,1,1,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.signed_difference_e0_minus_e1.win,res:headline:structural:functional:signed_difference_e0_minus_e1:win,5,5,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.signed_difference_e0_minus_e1.tie,res:headline:structural:functional:signed_difference_e0_minus_e1:tie,4,4,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.functional.signed_difference_e0_minus_e1.loss,res:headline:structural:functional:signed_difference_e0_minus_e1:loss,3,3,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/structural_primary_functional_pairs.csv
structural.stability.balanced_magnitude,res:structural:stability:balanced_magnitude:median_jaccard,1.0,1.0,0.0,0.0,1e-10,pass,outputs/output_aware_structural_generalization/support_stability.csv
structural.stability.sensitivity_initial_mean,res:structural:stability:sensitivity_initial_mean:median_jaccard,1.0,1.0,0.0,0.0,1e-10,pass,outputs/output_aware_structural_generalization/support_stability.csv
structural.stability.sensitivity_refined_mean,res:structural:stability:sensitivity_refined_mean:median_jaccard,1.0,1.0,0.0,0.0,1e-10,pass,outputs/output_aware_structural_generalization/support_stability.csv
structural.certificate.rows,res:headline:structural:certificate:rows,1144800,1144800,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/certificate_results.csv
structural.certificate.coverage,res:output_aware_structural_generalization:certificate:coverage,1.0,1.0,0.0,0.0,1e-12,pass,outputs/output_aware_structural_generalization/certificate_results.csv
structural.certificate.violations,res:headline:structural:certificate:violations,0,0,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/certificate_results.csv
structural.resource.records,res:headline:structural:resource:records,3624,3624,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.completed,res:headline:structural:resource:completed,3204,3204,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.unavailable,res:headline:structural:resource:unavailable,420,420,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.wrapper_failures,res:headline:structural:resource:wrapper_failures,0,0,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.gate_min,res:headline:structural:resource:gate_min,567,567,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.gate_max,res:headline:structural:resource:gate_max,25957,25957,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.depth_min,res:headline:structural:resource:depth_min,342,342,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.resource.depth_max,res:headline:structural:resource:depth_max,19324,19324,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/resource_registry.csv
structural.qsvt.rows,res:headline:structural:qsvt:rows,72,72,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/qsvt_validation_results.csv
structural.qsvt.failures,res:headline:structural:qsvt:failures,0,0,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/qsvt_validation_results.csv
structural.qsvt.groups,res:headline:structural:qsvt:groups,6,6,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/qsvt_validation_results.csv
structural.qsvt.cases,res:headline:structural:qsvt:cases,3,3,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/qsvt_validation_results.csv
structural.finite_shot_status,res:output_aware_structural_generalization:finite_shot:status,skipped_under_frozen_cost_ceiling,skipped_under_frozen_cost_ceiling,0.0,0.0,0.0,pass,outputs/output_aware_structural_generalization/finite_shot_results.csv
