seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770000,2x1,2,1,1,well_conditioned,1.0,True,False,monomial_x1,1,neg_imag,1e-08,2.4671622769451326e-16,1.154631945610163e-13,pass
770000,2x1,2,1,1,well_conditioned,1.0,True,False,monomial_x3,3,imag,1e-08,0.0,1.213782922669753e-13,pass
770000,2x1,2,1,1,well_conditioned,1.0,True,False,ridge_filter_d7,7,imag,1e-08,1.0289787678630172e-16,3.4667935693759105e-08,pass
770000,2x1,2,1,1,well_conditioned,1.0,True,False,ridge_filter_d31,31,imag,1e-08,1.2674666733305166e-16,2.1688015106074104e-09,pass
770000,2x1,2,1,1,well_conditioned,1.0,True,False,ridge_filter_d255,255,imag,1e-06,2.4023981217234387e-15,3.556983074008369e-10,pass
770001,2x1,2,1,1,moderate_condition,1.0,True,False,monomial_x1,1,neg_imag,1e-08,2.8912057932950757e-18,1.3748261788274854e-13,pass
770001,2x1,2,1,1,moderate_condition,1.0,True,False,monomial_x3,3,imag,1e-08,2.3129646346367414e-15,4.293119357954454e-13,pass
770001,2x1,2,1,1,moderate_condition,1.0,True,False,ridge_filter_d7,7,imag,1e-08,4.463407943660899e-16,1.4103767425956914e-06,pass
770001,2x1,2,1,1,moderate_condition,1.0,True,False,ridge_filter_d31,31,imag,1e-08,2.1577951152298052e-15,1.795027923485855e-07,pass
770001,2x1,2,1,1,moderate_condition,1.0,True,False,ridge_filter_d255,255,imag,1e-06,2.0909191789173758e-14,6.945595509621775e-08,pass
770002,2x1,2,1,1,nearly_rank_deficient,1.0,True,False,monomial_x1,1,neg_imag,1e-08,3.6140072416188467e-16,1.31369163232827e-13,pass
770002,2x1,2,1,1,nearly_rank_deficient,1.0,True,False,monomial_x3,3,imag,1e-08,3.607285311659405e-10,3.076440945644195e-07,pass
770002,2x1,2,1,1,nearly_rank_deficient,1.0,True,False,ridge_filter_d7,7,imag,1e-08,1.924372564803146e-16,1.1870048163753293e-06,pass
770002,2x1,2,1,1,nearly_rank_deficient,1.0,True,False,ridge_filter_d31,31,imag,1e-08,1.1761021595188831e-15,1.5494461140166056e-06,pass
770002,2x1,2,1,1,nearly_rank_deficient,1.0,True,False,ridge_filter_d255,255,imag,1e-06,9.107634406084429e-15,1.0747331506285616e-06,pass
