criterion,evidence_type,historical_value,generic_compiler_value,comparison,tolerance,absolute_difference,pass,note
workload_id,identifier,ieee14_sparse_quantized_8x8_d31_selected_v1,ieee14_sparse_quantized_8x8_d31_selected_v1,exact,0.0,0.0,True,
original_matrix_hash,hash,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,exact,0.0,0.0,True,
quantized_matrix_hash,hash,26159050694e76abc32692332daba94e9cd5e22d958a242236b4d57509aeab21,26159050694e76abc32692332daba94e9cd5e22d958a242236b4d57509aeab21,exact,0.0,0.0,True,
support_hash,hash_derived_from_frozen_historical_matrix,af1a0f82f3c62e482452f92cdc7bad8903af75dc809e481dc8fb6a34ec38b7fd,af1a0f82f3c62e482452f92cdc7bad8903af75dc809e481dc8fb6a34ec38b7fd,exact,0.0,0.0,True,
residual_hash,hash,7b51f68a0e1cbdb4cfecd799d3fcb6f12c090a25bbc6a04f3f09324e06fdee82,7b51f68a0e1cbdb4cfecd799d3fcb6f12c090a25bbc6a04f3f09324e06fdee82,exact,0.0,0.0,True,
polynomial_hash,hash,db9b4025aea109796b4d0cf30831b8456ad510d35720f916b0e5e3619afc3f68,db9b4025aea109796b4d0cf30831b8456ad510d35720f916b0e5e3619afc3f68,exact,0.0,0.0,True,
phase_hash,hash,5d1183c7efdeebcc35e08682c8fb5c841533ba8d696132d7bfba04925667b4a1,5d1183c7efdeebcc35e08682c8fb5c841533ba8d696132d7bfba04925667b4a1,exact,0.0,0.0,True,
block_reconstruction_relative_fro_error,floating_statevector,1.009673407643857e-12,1.0096734076438565e-12,absolute_tolerance,5e-15,4.0389678347315804e-28,True,
sparse_dense_action_relative_l2_error,floating_statevector,1.5402592989062325e-12,1.5402592989062325e-12,absolute_tolerance,5e-15,0.0,True,
qsvt_exact_polynomial_svt_relative_l2_error,floating_statevector,1.1157854519147145e-08,1.1157854519147143e-08,absolute_tolerance,5e-15,1.6543612251060553e-24,True,
qsvt_quantized_ridge_relative_l2_error,floating_statevector,0.0001627866409911,0.00016278664099110887,absolute_tolerance,5e-15,8.863352760068999e-18,True,
sparse_postselection_probability,floating_statevector,0.6090421558900074,0.6090421558900074,absolute_tolerance,5e-15,0.0,True,
dense_postselection_probability,floating_statevector,0.6090421558911847,0.6090421558911847,absolute_tolerance,5e-15,0.0,True,
physical_rescaling_factor_C_over_beta,floating_statevector,0.000492893347896,0.0004928933478960589,absolute_tolerance,5e-15,5.887217796596289e-17,True,
statevector_selected_output:coordinate_e0,floating_statevector,0.0024712114358258,0.0024712114358258607,absolute_tolerance,5e-15,6.071532165918825e-17,True,
quantized_ridge_selected_output:coordinate_e0,floating_reference,0.0024717150238716,0.0024717150238716926,absolute_tolerance,5e-15,9.237402509576498e-17,True,
statevector_selected_output:signed_difference_e0_minus_e1,floating_statevector,0.0050829008415901,0.005082900841590158,absolute_tolerance,5e-15,5.811323644522304e-17,True,
quantized_ridge_selected_output:signed_difference_e0_minus_e1,floating_reference,0.0050827958674965,0.005082795867496566,absolute_tolerance,5e-15,6.591949208711867e-17,True,
statevector_selected_output:aggregate_e0_to_e3,floating_statevector,0.0002747297976402,0.00027472979764022213,absolute_tolerance,5e-15,2.211772431870429e-17,True,
quantized_ridge_selected_output:aggregate_e0_to_e3,floating_reference,0.0002749801396336,0.0002749801396336568,absolute_tolerance,5e-15,5.681219383824043e-17,True,
total_logical_qubits,deterministic_integer_resource,8,8,exact,0.0,0.0,True,
transpiled_gate_count,deterministic_integer_resource,186191,186191,exact,0.0,0.0,True,
transpiled_depth,deterministic_integer_resource,180380,180380,exact,0.0,0.0,True,
toffoli_count,deterministic_integer_resource,51898,51898,exact,0.0,0.0,True,
controlled_rotation_count,deterministic_integer_resource,744,744,exact,0.0,0.0,True,
signal_unitary_calls_per_attempt,deterministic_integer_resource,31,31,exact,0.0,0.0,True,
projector_phase_operations_per_attempt,deterministic_integer_resource,32,32,exact,0.0,0.0,True,
live_register_qubit_sum,deterministic_integer_resource,8,8,exact,0.0,0.0,True,
live_register_group_count,deterministic_integer_resource,5,5,exact,0.0,0.0,True,
finite_shot_row_count,deterministic_integer_shots,90,90,exact,0.0,0.0,True,
finite_shot_all_rows_exact:direct_postselection_shots_attempted,deterministic_integer_shots,0,0,exact,0.0,0.0,True,
finite_shot_all_rows_exact:postselection_accepted,deterministic_integer_shots,0,0,exact,0.0,0.0,True,
finite_shot_all_rows_exact:readout_accepted,deterministic_integer_shots,0,0,exact,0.0,0.0,True,
finite_shot_selected_output_all_seeds_max_difference,floating_seed_reproduction,0.0,0.0,absolute_tolerance,5e-15,0.0,True,
