workload_id,functional_id,shots_attempted,direct_postselection_shots_attempted,seed,backend,source_circuit_hash,postselection_accepted_shots,postselection_rejected_shots,interference_branch_accepted_shots,interference_branch_rejected_shots,plus_accepted_shots,minus_accepted_shots,count_00,count_01,count_10,count_11,estimated_postselection_probability,interference_acceptance_probability,inferred_postselection_probability_from_branch,signed_contrast,recovered_selected_output,statevector_reference,quantized_ridge_reference,absolute_error_vs_statevector,absolute_error_vs_quantized_ridge,relative_error_vs_statevector,relative_error_numerically_stable,analytic_variance_estimate,analytic_standard_error,statevector_expected_variance,statevector_expected_standard_error,confidence_interval_lower,confidence_interval_upper,same_final_circuit_as_statevector_and_resources,output_state_used_for_preparation
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,7efada35caa3e11624c96895d13f3f84ba9c10e1900314599a78a54e7a66937e,4547,5453,7295,2705,3562,3733,3562,1363,3733,1342,0.4547,0.7295,0.4590000000000001,-0.0171,-2.294063058782214e-05,-2.4590559001044052e-05,-2.459055891093946e-05,1.6499284132219122e-06,1.6499283231173187e-06,,False,1.3124103983206958e-10,1.1456048176926876e-05,1.3075405591226207e-10,1.1434773977314204e-05,-4.5394072419754566e-05,-4.871887558897168e-07,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,2b065df0f9c66e4fa8f30e6f7a98aace96ebc9e728c3393bf0976e0d044a3f0b,4547,5453,7319,2681,3321,3998,3321,1339,3998,1342,0.4547,0.7319,0.4638,-0.0677,-9.082343221026658e-05,-9.46764838959202e-05,-9.467648354949875e-05,3.853051685653606e-06,3.853051339232174e-06,0.0406970297913613,True,1.3090072376734282e-10,1.1441185417925138e-05,1.2991816181117725e-10,1.1398164844007885e-05,-0.0001132477435698,-6.839912085068846e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,7efada35caa3e11624c96895d13f3f84ba9c10e1900314599a78a54e7a66937e,4444,5556,7218,2782,3462,3756,3462,1418,3756,1364,0.4444,0.7218,0.4436,-0.0294,-3.944178592292227e-05,-2.4590559001044052e-05,-2.459055891093946e-05,1.485122692187822e-05,1.4851227011982814e-05,,False,1.2975227403433714e-10,1.139088556848576e-05,1.3075405591226207e-10,1.1434773977314204e-05,-6.176751138917141e-05,-1.7116060456673125e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,2b065df0f9c66e4fa8f30e6f7a98aace96ebc9e728c3393bf0976e0d044a3f0b,4444,5556,7292,2708,3227,4065,3227,1344,4065,1364,0.4444,0.7292,0.4583999999999999,-0.0838,-0.0001124225054537,-9.46764838959202e-05,-9.467648354949875e-05,1.774602155785144e-05,1.7746021904272872e-05,0.1874385362405305,True,1.2997579182875314e-10,1.1400692603028694e-05,1.2991816181117725e-10,1.1398164844007885e-05,-0.0001347674523545,-9.007755855302318e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,7efada35caa3e11624c96895d13f3f84ba9c10e1900314599a78a54e7a66937e,4622,5378,7228,2772,3593,3635,3593,1406,3635,1366,0.4622,0.7228,0.4456,-0.0042,-5.634540846131753e-06,-2.4590559001044052e-05,-2.459055891093946e-05,1.89560181549123e-05,1.8956018064807702e-05,,False,1.300846422877705e-10,1.1405465456866306e-05,1.3075405591226207e-10,1.1434773977314204e-05,-2.7988842368505384e-05,1.671976067624188e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,2b065df0f9c66e4fa8f30e6f7a98aace96ebc9e728c3393bf0976e0d044a3f0b,4622,5378,7224,2776,3324,3900,3324,1410,3900,1366,0.4622,0.7224,0.4448000000000001,-0.0576,-7.727370303266403e-05,-9.46764838959202e-05,-9.467648354949875e-05,1.7402780863256157e-05,1.7402780516834724e-05,0.183813130221306,True,1.2941870353046352e-10,1.137623415416822e-05,1.2991816181117725e-10,1.1398164844007885e-05,-9.957071225452822e-05,-5.497669381079984e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10000,3,qiskit_aer_statevector_actual_shot_sampling,7efada35caa3e11624c96895d13f3f84ba9c10e1900314599a78a54e7a66937e,4555,5445,7294,2706,3568,3726,3568,1368,3726,1338,0.4555,0.7294,0.4588000000000001,-0.0158,-2.119660604020993e-05,-2.4590559001044052e-05,-2.459055891093946e-05,3.3939529608341213e-06,3.393952870729528e-06,,False,1.31230739713403e-10,1.1455598618728004e-05,1.3075405591226207e-10,1.1434773977314204e-05,-4.364916675426361e-05,1.2559546738437496e-06,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,10000,10000,3,qiskit_aer_statevector_actual_shot_sampling,2b065df0f9c66e4fa8f30e6f7a98aace96ebc9e728c3393bf0976e0d044a3f0b,4555,5445,7289,2711,3305,3984,3305,1373,3984,1338,0.4555,0.7289,0.4578,-0.0679,-9.109174367913e-05,-9.46764838959202e-05,-9.467648354949875e-05,3.584740216790191e-06,3.584739870368759e-06,0.0378630476046297,True,1.3035590994211037e-10,1.1417351266476404e-05,1.2991816181117725e-10,1.1398164844007885e-05,-0.0001134693409602,-6.871414639799347e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10000,4,qiskit_aer_statevector_actual_shot_sampling,7efada35caa3e11624c96895d13f3f84ba9c10e1900314599a78a54e7a66937e,4514,5486,7256,2744,3542,3714,3542,1358,3714,1386,0.4514,0.7256,0.4512,-0.0172,-2.3074786322253847e-05,-2.4590559001044052e-05,-2.459055891093946e-05,1.5157726787902048e-06,1.5157725886856114e-06,,False,1.3053850982670902e-10,1.1425345063791685e-05,1.3075405591226207e-10,1.1434773977314204e-05,-4.546805115822804e-05,-6.815214862796576e-07,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,10000,10000,4,qiskit_aer_statevector_actual_shot_sampling,2b065df0f9c66e4fa8f30e6f7a98aace96ebc9e728c3393bf0976e0d044a3f0b,4514,5486,7246,2754,3276,3970,3276,1368,3970,1386,0.4514,0.7246,0.4492,-0.0694,-9.310407969560565e-05,-9.46764838959202e-05,-9.467648354949875e-05,1.5724042003145537e-06,1.5724038538931216e-06,0.0166081812041428,True,1.2954493982668504e-10,1.138178104809107e-05,1.2991816181117725e-10,1.1398164844007885e-05,-0.0001154119606297,-7.079619876142659e-05,True,False
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10000,5,qiskit_aer_statevector_actual_shot_sampling,7efada35caa3e11624c96895d13f3f84ba9c10e1900314599a78a54e7a66937e,4498,5502,7197,2803,3475,3722,3475,1409,3722,1394,0.4498,0.7197,0.4394,-0.0247,-3.313646640463198e-05,-2.4590559001044052e-05,-2.459055891093946e-05,8.545907403587928e-06,8.545907493692521e-06,,False,1.2942008395873847e-10,1.1376294825589678e-05,1.3075405591226207e-10,1.1434773977314204e-05,-5.543359454029712e-05,-1.0839338268966836e-05,True,False
