estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
pseudoinverse,0.0015017180845351176,0.0001792788972622137,0.0020783134052689556,4.97290270734183,4.97290270734183,54.23877088103738,27,27,0.040733000001637265,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.23877088103738,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
ridge,0.0015017180845350883,0.00017927889726218637,0.002078313405268917,4.972902707341825,4.972902707341825,54.2387708810372,27,27,0.04041695899650222,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.2387708810372,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
truncated_svd,0.0015017180845350866,0.00017927889726231057,0.002078313405268905,4.972902707341828,4.972902707341828,54.238770881037425,27,27,0.04027862499788171,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.238770881037425,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
qsvt_regularized,0.0015017180845350883,0.00017927889726218637,0.002078313405268917,4.972902707341825,4.972902707341825,54.2387708810372,27,27,0.03992029200162506,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.2387708810372,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
huber_irls,0.00045594878406489474,5.413950022997613e-05,0.0006310369481105762,4.986078985834374,4.986078985834374,54.38153154129213,27,27,0.04122795800503809,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.38153154129213,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
pseudoinverse,0.002872903213565477,0.002165626688499965,0.003400391376745557,4.845722165350175,4.845722165350175,73.10343135556165,27,27,0.05124683300527977,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,73.10343135556165,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
ridge,0.0028729032135654353,0.002165626688500161,0.0034003913767453727,4.845722165350197,4.845722165350197,73.10343135556184,27,27,0.05096795899589779,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,73.10343135556184,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
truncated_svd,0.002872903213565477,0.002165626688499965,0.003400391376745557,4.845722165350175,4.845722165350175,73.10343135556165,27,27,0.05109366599936038,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,73.10343135556165,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
qsvt_regularized,0.0028729032135654353,0.002165626688500161,0.0034003913767453727,4.845722165350197,4.845722165350197,73.10343135556184,27,27,0.05172479199973168,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,73.10343135556184,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
huber_irls,0.0009046804222168276,0.0006830238947024031,0.0010701561522138974,4.918828848073039,4.918828848073039,73.16964499347155,27,27,0.041363917000126094,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,73.16964499347155,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
