arm,scenario,seed,classification,executed_iterations,iteration_order_sorted_unique,iteration_0_state_rmse,final_state_rmse,iteration_0_relative_gap_to_final_floor,iteration_0_weighted_residual,final_weighted_residual,relative_residual_reduction,final_update_norm,terminal_window_relative_rmse_change,terminal_window_max_relative_swing,rmse_floor_entry_iteration,first_qualifying_window_end_iteration,plateau_onset_iteration,plateau_rule_satisfied_at_horizon,plateau_rule_remains_satisfied_from_onset,plateau_window,plateau_rmse_rel_tol,plateau_step_norm_threshold
full_system_exact_ridge,gaussian_noise_baseline,101,converged,4,True,0.006371533539056902,0.000524465589225351,11.148620748346557,22.807552354615517,0.9057668712122463,0.9602865376727306,5.034388379012265e-11,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,gaussian_noise_baseline,101,plateaued,30,True,0.006371533539056902,0.006132830680583117,0.03892213415079779,22.807552354615517,12.842376780702912,0.43692437570557513,4.105660321962003e-05,0.002397108181787956,0.002397108181787956,19,23,23,True,True,5,0.01,0.0001
sparse_exact_ridge,gaussian_noise_baseline,101,plateaued,30,True,0.006371533539056902,0.006139054157026576,0.03786892509560886,22.807552354615517,12.82791443606365,0.4375584790242653,5.575445791437314e-05,0.0022766010510812734,0.0022766010510812734,19,24,24,True,True,5,0.01,0.0001
sparse_quantized_ridge,gaussian_noise_baseline,101,plateaued,30,True,0.006371533539056902,0.006140081620000019,0.03769525120040384,22.807552354615517,12.82871742032597,0.4375232720783451,5.399186123850259e-05,0.002230464601321552,0.002230464601321552,19,24,24,True,True,5,0.01,0.0001
sparse_exact_polynomial,gaussian_noise_baseline,101,plateaued,30,True,0.006371533539056902,0.006140079013095139,0.03769569177662574,22.807552354615517,12.828715807216161,0.4375233428053475,5.399710944729438e-05,0.0022306743412091375,0.0022306743412091375,19,24,24,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,gaussian_noise_baseline,101,plateaued,30,True,0.006371533539056902,0.0061400790135190016,0.037695691704991464,22.807552354615517,12.828715807446736,0.4375233427952379,5.399710867420041e-05,0.0022306743070617877,0.0022306743070617877,19,24,24,True,True,5,0.01,0.0001
full_system_exact_ridge,gaussian_noise_baseline,202,converged,4,True,0.005999920314578795,0.0008838444542791543,5.788434645406254,26.6446798948547,0.8304132246795457,0.9688338074258529,1.8200627377975787e-10,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,gaussian_noise_baseline,202,plateaued,30,True,0.005999920314578795,0.006118228500367123,0.019337000208676174,26.6446798948547,21.363199514962634,0.19821894654894925,3.493260645009522e-05,0.002497294185495197,0.002497294185495197,19,21,21,True,True,5,0.01,0.0001
sparse_exact_ridge,gaussian_noise_baseline,202,plateaued,30,True,0.005999920314578795,0.006116979424491542,0.01913675063938565,26.6446798948547,21.342296491895514,0.19900345674571676,4.641018569908685e-05,0.002935598670731538,0.002935598670731538,20,23,23,True,True,5,0.01,0.0001
sparse_quantized_ridge,gaussian_noise_baseline,202,plateaued,30,True,0.005999920314578795,0.006116739538285724,0.019098283158165724,26.6446798948547,21.342474198307333,0.19899678725625322,4.64202244742503e-05,0.0029556895771209787,0.0029556895771209787,20,23,23,True,True,5,0.01,0.0001
sparse_exact_polynomial,gaussian_noise_baseline,202,plateaued,30,True,0.005999920314578795,0.006116735840308542,0.019097690137270137,26.6446798948547,21.342470280213558,0.19899693430601287,4.642471382919743e-05,0.002955937504285292,0.002955937504285292,20,23,23,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,gaussian_noise_baseline,202,plateaued,30,True,0.005999920314578795,0.006116735840917281,0.019097690234889726,26.6446798948547,21.342470280768463,0.19899693428518675,4.6424713148096784e-05,0.002955937462794972,0.002955937462794972,20,23,23,True,True,5,0.01,0.0001
full_system_exact_ridge,gaussian_noise_baseline,303,converged,4,True,0.007363449092045407,0.001042444358269642,6.063637530033764,46.00644893380574,0.7391671300950643,0.9839334017898539,1.708122938137314e-10,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,gaussian_noise_baseline,303,plateaued,30,True,0.007363449092045407,0.006188103665298536,0.18993628586701577,46.00644893380574,24.218002683579524,0.4735954796592869,3.7607303477815436e-05,0.0012838052276705435,0.0012838052276705435,13,22,22,True,True,5,0.01,0.0001
sparse_exact_ridge,gaussian_noise_baseline,303,plateaued,30,True,0.007363449092045407,0.006189783422163979,0.18961336606363988,46.00644893380574,24.230813038665175,0.47331703271581416,4.70887629892709e-05,0.0013095913235871592,0.0013095913235871592,13,23,23,True,True,5,0.01,0.0001
sparse_quantized_ridge,gaussian_noise_baseline,303,plateaued,30,True,0.007363449092045407,0.006189922511425645,0.1895866351240443,46.00644893380574,24.23021204006347,0.4733300960714009,4.665012666805752e-05,0.001302875176296864,0.001302875176296864,13,23,23,True,True,5,0.01,0.0001
sparse_exact_polynomial,gaussian_noise_baseline,303,plateaued,30,True,0.007363449092045407,0.006189920331311074,0.18958705410119076,46.00644893380574,24.230220843690326,0.47332990471503544,4.665534679211193e-05,0.0013029989021548394,0.0013029989021548394,13,23,23,True,True,5,0.01,0.0001
sparse_qsvt_statevector_closed_loop,gaussian_noise_baseline,303,plateaued,30,True,0.007363449092045407,0.006189920331607209,0.18958705404427906,46.00644893380574,24.23022084249662,0.4733299047409819,4.665534609553055e-05,0.001302998884930569,0.001302998884930569,13,23,23,True,True,5,0.01,0.0001
full_system_exact_ridge,random_missing_measurement_stress,101,converged,4,True,0.006371533539056902,0.0006883688240636554,8.255987947629231,21.915740317834015,0.8146504470969052,0.9628280662536424,9.13840681324172e-11,,,2,-1,-1,False,False,5,0.01,0.0001
block_full_support_ridge,random_missing_measurement_stress,101,plateaued,30,True,0.006371533539056902,0.006132830680583117,0.03892213415079779,21.915740317834015,11.308004485135763,0.48402361402622424,4.105660321962003e-05,0.002397108181787956,0.002397108181787956,19,23,23,True,True,5,0.01,0.0001
sparse_exact_ridge,random_missing_measurement_stress,101,plateaued,30,True,0.006371533539056902,0.006139054157026576,0.03786892509560886,21.915740317834015,11.309804465429218,0.4839414821763596,5.575445791437314e-05,0.0022766010510812734,0.0022766010510812734,19,24,24,True,True,5,0.01,0.0001
sparse_quantized_ridge,random_missing_measurement_stress,101,plateaued,30,True,0.006371533539056902,0.006140081620000019,0.03769525120040384,21.915740317834015,11.309362868799234,0.483961631923691,5.399186123850259e-05,0.002230464601321552,0.002230464601321552,19,24,24,True,True,5,0.01,0.0001
sparse_exact_polynomial,random_missing_measurement_stress,101,plateaued,30,True,0.006371533539056902,0.006140079013095139,0.03769569177662574,21.915740317834015,11.309363721223676,0.48396159302815617,5.399710944729438e-05,0.0022306743412091375,0.0022306743412091375,19,24,24,True,True,5,0.01,0.0001
