arm,case_name,scenario,seed,iterations,converged,failed,classification,final_state_rmse,final_angle_rmse,final_voltage_rmse,final_max_state_error,final_selected_coordinate_rmse,final_frozen_coordinate_rmse,final_state_vector_json,final_weighted_residual,final_selected_output_error,final_step_norm,functional_queries,unique_functional_circuits,physical_circuit_executions,sampling_calls,readout_signal_attempted_shots,diagnostic_attempted_shots,total_attempted_shots,interference_accepted_shots,postselection_accepted_shots,total_circuit_queries,total_accepted_shots,failure_code,failure_stage,runtime_seconds
full_system_exact_ridge,ieee14,gaussian_noise_baseline,101,4,True,False,closed_loop_converged_accurate,0.0005244655875437411,0.00036642684742884963,0.00043790888697015816,0.0011101935011849084,0.00017157031337855413,0.00043300996398864665,"[-0.08692515382239703,-0.2221462384166461,-0.1804992092854659,-0.15345559109876025,-0.2482961138217754,-0.23320933307381467,-0.23283575223707806,-0.2606994801859547,-0.2633576467221683,-0.2577106744558365,-0.2628963668711019,-0.2647448611425609,-0.2810610055210754,1.0600952816979656,1.0450819111401601,1.010217389575754,1.0191481046609863,1.0200810404914609,1.0695500493966215,1.0623261501431311,1.0902593181835323,1.0564515013837803,1.0512774210276223,1.0570987854081115,1.0542509550722612,1.0494735562843516,1.0370432107819205]",0.9057668712122463,,5.034388379012265e-11,0,0,0,0,0,0,0,0,0,0,0,,,0.04154141619801521
block_full_support_ridge,ieee14,gaussian_noise_baseline,101,8,False,False,closed_loop_stalled,0.005932041767552264,0.005280801525776797,0.003819383872018441,0.010173127409159377,0.0009599760152375403,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18162117957585594,-0.15392333823068707,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.017847495115521,1.019645720995805,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",13.47694634279521,0.0013286678448417067,0.0007183508384036954,0,0,0,0,0,0,0,0,0,0,0,,,0.41073412518016994
sparse_exact_ridge,ieee14,gaussian_noise_baseline,101,8,False,False,closed_loop_stalled,0.005945373552063268,0.005306350909504371,0.0038103394103324775,0.010173127409159377,0.0012486552068794103,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18216517917022132,-0.15473723567804296,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185458837301358,1.0205305329173404,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",13.524435442347535,0.00187266743920707,0.0007351899659546662,0,0,0,0,0,0,0,0,0,0,0,,,0.37389149982482195
sparse_quantized_ridge,ieee14,gaussian_noise_baseline,101,8,False,False,closed_loop_stalled,0.005945948236474277,0.005307137769195637,0.0038103534458254168,0.010173127409159377,0.0012596253400043098,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.1821778627906369,-0.15475743630350502,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185548143043013,1.0205394385060536,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",13.52361893441394,0.0018853510596226648,0.0007356507901023794,0,0,0,0,0,0,0,0,0,0,0,,,0.3626197499688715
sparse_exact_polynomial,ieee14,gaussian_noise_baseline,101,8,False,False,closed_loop_stalled,0.005945946500768455,0.0053071349143533,0.0038103540221233706,0.010173127409159377,0.001259592349425207,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18217780679006884,-0.15475737608310713,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185549306499606,1.0205395914790814,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",13.523674165825016,0.0018852950590545912,0.0007356479239375997,0,0,0,0,0,0,0,0,0,0,0,,,0.3727241668384522
sparse_qsvt_statevector_closed_loop,ieee14,gaussian_noise_baseline,101,8,False,False,closed_loop_stalled,0.005945946501217822,0.005307134915040275,0.003810354022041593,0.010173127409159377,0.0012595923579664426,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.1821778068029201,-0.15475737609837462,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.018554930634121,1.0205395914579318,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",13.523674156951808,0.0018852950719058614,0.0007356479243975825,0,0,8,0,0,0,0,0,0,8,0,,,0.7131274580024183
sparse_qsvt_finite_shot_closed_loop,ieee14,gaussian_noise_baseline,101,8,False,False,closed_loop_stalled,0.005946118838573386,0.00530745411339663,0.0038102505655006123,0.010173127409159377,0.0012628638174151036,0.004947861770400394,"[-0.09086815924913269,-0.2321790082628381,-0.18218508175523018,-0.15476282353165133,-0.24973425363292504,-0.23151391412691416,-0.22462401660905418,-0.2554482010476237,-0.2600065219471134,-0.2546954494274341,-0.26733895554430726,-0.25977183094397255,-0.2881931260982648,1.0583395409361567,1.0428135307953295,1.00135740647077,1.0185411491282428,1.0205173624840798,1.0682993633118745,1.0559619832987033,1.089544731407468,1.060269621582505,1.0519660905782517,1.056986671417684,1.0479538887079618,1.0525050787122772,1.0384286554339186]",13.51632664724317,0.0018925700242159414,0.000735487050773551,32,32,64,64,3200000,3200000,6400000,2289846,1373963,64,2289846,,,21.767423124983907
full_system_exact_ridge,ieee14,gaussian_noise_baseline,202,4,True,False,closed_loop_converged_accurate,0.000883844456076266,0.0006576022931309207,0.0007050832458668591,0.0017483001008860022,0.00020780874313071959,0.0007345210081539194,"[-0.08695389660136957,-0.2220714079587073,-0.18050924787264053,-0.15346984806695121,-0.2489555985005137,-0.23340973761503828,-0.23289051285047535,-0.2611377142907676,-0.26401407499601615,-0.25891316427854305,-0.26388729018423845,-0.2654932818360528,-0.28146747337267974,1.0597204486817002,1.0447204672106825,1.0097733393868678,1.018813606494001,1.019804683549492,1.070206396806587,1.0613823093098798,1.0892517187870556,1.0554865926184445,1.050695649875195,1.057468427272051,1.0563934412441318,1.0503485707493645,1.034251699899114]",0.8304132246795457,,1.8200627377975787e-10,0,0,0,0,0,0,0,0,0,0,0,,,0.04127599997445941
block_full_support_ridge,ieee14,gaussian_noise_baseline,202,8,False,False,closed_loop_stalled,0.005875046917367143,0.005012144630976835,0.004047378197083987,0.009058601769076552,0.0021022561430110755,0.004837537010952493,"[-0.07785879498024106,-0.22565114865022853,-0.17847077982204956,-0.15223711111800672,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.021844711687243,1.0222937370366012,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.54361542441102,0.0018217319089646865,0.0006167260335809248,0,0,0,0,0,0,0,0,0,0,0,,,0.36117337504401803
sparse_exact_ridge,ieee14,gaussian_noise_baseline,202,8,False,False,closed_loop_stalled,0.0058523124120914,0.005028422997729123,0.003990335566718096,0.009058601769076552,0.0018291940451802542,0.004837537010952493,"[-0.07785879498024106,-0.22565114865022853,-0.17820004995610544,-0.1518009206056827,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.0211970374767847,1.0214518084616093,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.49392142878485,0.0020924617749088,0.000632709480576967,0,0,0,0,0,0,0,0,0,0,0,,,0.3583407080732286
sparse_quantized_ridge,ieee14,gaussian_noise_baseline,202,8,False,False,closed_loop_stalled,0.00585177337729553,0.0050273649107783844,0.003990664089834406,0.009058601769076552,0.0018222370829861752,0.004837537010952493,"[-0.07785879498024106,-0.22565114865022853,-0.17821618924874968,-0.15182581914397272,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.0212022476857892,1.0214565485966254,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.49718020200535,0.0020763224822645614,0.00063298109656378,0,0,0,0,0,0,0,0,0,0,0,,,0.4106493750587106
sparse_exact_polynomial,ieee14,gaussian_noise_baseline,202,8,False,False,closed_loop_stalled,0.005851767357067345,0.00502736052232868,0.0039906590675937775,0.009058601769076552,0.0018221592375629928,0.004837537010952493,"[-0.07785879498024106,-0.22565114865022853,-0.17821626470979837,-0.15182591117202948,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.0212021801109716,1.0214564581233183,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.49719861802589,0.002076247021215864,0.0006329789196987334,0,0,0,0,0,0,0,0,0,0,0,,,0.3637259160168469
sparse_qsvt_statevector_closed_loop,ieee14,gaussian_noise_baseline,202,8,False,False,closed_loop_stalled,0.005851767358077131,0.0050273605231817035,0.0039906590682993745,0.009058601769076552,0.0018221592506204606,0.004837537010952493,"[-0.07785879498024106,-0.22565114865022853,-0.17821626469527832,-0.15182591115392285,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.0212021801203934,1.021456458136139,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.49719861464585,0.0020762470357359245,0.0006329789200450138,0,0,8,0,0,0,0,0,0,8,0,,,0.6724846670404077
sparse_qsvt_finite_shot_closed_loop,ieee14,gaussian_noise_baseline,202,8,False,False,closed_loop_stalled,0.005851299577771923,0.005027453219120065,0.0039897614392713785,0.009058601769076552,0.0018161005935916313,0.004837537010952493,"[-0.07785879498024106,-0.22565114865022853,-0.1782142193863865,-0.1518246319531872,-0.253948781734858,-0.22580939800187028,-0.22877648619072577,-0.25756402469375744,-0.25649536106655657,-0.26114088208746533,-0.2695917659193668,-0.262856559306115,-0.27840438550360264,1.0557223886531655,1.047679239194321,1.0173603751811715,1.021190497891754,1.021439547905336,1.0717212167170116,1.0644290933502947,1.0951145231283603,1.0589424064896973,1.0579982984504226,1.0529486965467918,1.0526394189769475,1.0540985826032043,1.0337878476456852]",21.49751240119066,0.002078292344627724,0.0006329068147624587,32,32,64,64,3200000,3200000,6400000,2325244,1448448,64,2325244,,,21.78062945907004
full_system_exact_ridge,ieee14,gaussian_noise_baseline,303,4,True,False,closed_loop_converged_accurate,0.001042444342017659,0.0010308784250653968,0.0005131853385178469,0.002177708577115245,0.0004347685650442473,0.0008532843992281674,"[-0.08676019442206984,-0.22146555885556812,-0.17987615655960892,-0.15279315325699824,-0.24686214770360618,-0.2328164581001388,-0.23269011032050063,-0.2600122182879463,-0.26268519130398377,-0.25719652171622165,-0.26084340969843023,-0.2629763295762061,-0.27879577177134496,1.0603324857141934,1.0453112062111745,1.0101894304366177,1.0194313652491311,1.020443933691909,1.0705345424197104,1.062406893202819,1.0906039567406545,1.0562896314804981,1.0512951757673645,1.0576359113351055,1.0559994689769325,1.0506710066216551,1.0355310141386844]",0.7391671300950643,,1.708122938137314e-10,0,0,0,0,0,0,0,0,0,0,0,,,0.04102925001643598
block_full_support_ridge,ieee14,gaussian_noise_baseline,303,8,False,False,closed_loop_stalled,0.006109730825386914,0.004602641981217948,0.004824215711886266,0.009614476404682604,0.0002953715002478534,0.005111240365453798,"[-0.09075781823660167,-0.2242376574128707,-0.18038145698834604,-0.1532716295542722,-0.25157162015592677,-0.22522921095872322,-0.23841849814502653,-0.26580192652661605,-0.2701312700202127,-0.2561256191276267,-0.2688434666557434,-0.2592570196447976,-0.28388483194003206,1.0637114469589297,1.0546144764046825,1.0061031325765633,1.019439746336979,1.0196170078896816,1.073192613387489,1.0617215880649216,1.090034679505508,1.0618987059616576,1.042823503380189,1.0568523524671531,1.0641591106948132,1.047147033455737,1.035664859759392]",24.93648933711061,8.894525733179884e-05,0.000568166724384067,0,0,0,0,0,0,0,0,0,0,0,,,0.3653445830568671
