summary_dimension,ieee_case,selector,k_budget,slot_budget,rows,supports,coverage,violations,median_tightness,p90_tightness,worst_tightness
ieee_case,ieee14,,,,270000,4500,1.0,0,147.5079277079395,1122.174522568761,61088889.95713996
ieee_case,ieee30,,,,270000,4500,1.0,0,408.2922768570144,3098.026901476003,1475596488.1898606
ieee_case,ieee57,,,,270000,4500,1.0,0,376.25282703679557,2366.8509983218105,41558778.816260695
selector,,balanced_magnitude,,,22500,375,1.0,0,380.2260422222993,2412.0943814591596,41558778.816260695
selector,,leverage_weighted,,,22500,375,1.0,0,356.69797704288163,2137.90000644756,2302357.7677041767
selector,,random_objective_feasible,,,675000,11250,1.0,0,261.3836232703541,1704.027343084253,1475596488.1898606
selector,,sensitivity_initial_mean,,,22500,375,1.0,0,728.0173566076169,6642.838180532032,16675739.092062935
selector,,sensitivity_initial_worst_case,,,22500,375,1.0,0,695.7450044839076,6465.172551228754,16675739.092062935
selector,,sensitivity_refined_mean,,,22500,375,1.0,0,1021.1761968620388,10220.753628023669,83570935.18939278
selector,,sensitivity_refined_worst_case,,,22500,375,1.0,0,776.018517579004,6738.943729631763,15857905.510859976
support_budget,,,8.0,2.0,32400,540,1.0,0,149.86331885554335,842.6295175303686,1099378.47435112
support_budget,,,8.0,3.0,32400,540,1.0,0,150.02232074359193,846.6278903793944,1176812.803126821
support_budget,,,8.0,4.0,32400,540,1.0,0,153.20464604840706,891.5939534571991,1099378.47435112
support_budget,,,8.0,6.0,32400,540,1.0,0,149.86797359104685,829.4004371050748,4365696.9855734445
support_budget,,,8.0,8.0,32400,540,1.0,0,150.7121737680593,852.8287511819516,2902945.6973683927
support_budget,,,12.0,2.0,32400,540,1.0,0,244.6332845729883,1599.687512846702,1756267.3483524383
support_budget,,,12.0,3.0,32400,540,1.0,0,257.389891733814,1625.363301005882,83570935.18939278
support_budget,,,12.0,4.0,32400,540,1.0,0,251.03738326160783,1601.1175728172302,8643678.49666476
support_budget,,,12.0,6.0,32400,540,1.0,0,267.78736173782215,1635.6461168476321,4105161.976637626
support_budget,,,12.0,8.0,32400,540,1.0,0,262.7600515877952,1628.6661093781775,2997528.521589871
support_budget,,,16.0,2.0,32400,540,1.0,0,270.27557480198874,1605.0728265859657,35475333.880655676
support_budget,,,16.0,3.0,32400,540,1.0,0,328.4809489223222,2397.2716573057705,12835455.429933129
support_budget,,,16.0,4.0,32400,540,1.0,0,322.87932056839986,2234.301666283006,13587597.431295192
support_budget,,,16.0,6.0,32400,540,1.0,0,340.65545085580663,2262.457913275782,2263838.5468898597
support_budget,,,16.0,8.0,32400,540,1.0,0,339.5319561404114,2408.6927606417626,32744885.2529495
support_budget,,,24.0,2.0,32400,540,1.0,0,270.5582296840722,1620.9304814316092,2423597.4087863876
support_budget,,,24.0,3.0,32400,540,1.0,0,391.66091709956146,2585.629714248994,10656374.957525272
support_budget,,,24.0,4.0,32400,540,1.0,0,437.61546685289704,2986.5256354840913,61088889.95713996
support_budget,,,24.0,6.0,32400,540,1.0,0,479.75804486307175,3776.1033251410345,23010155.40100387
support_budget,,,24.0,8.0,32400,540,1.0,0,498.72209942861014,4007.6036816001224,96304869.37966858
support_budget,,,32.0,2.0,32400,540,1.0,0,269.4755849944622,1673.701008779883,1955391.4119744285
support_budget,,,32.0,3.0,32400,540,1.0,0,368.17777197145654,2489.7234443264692,1475596488.1898606
support_budget,,,32.0,4.0,32400,540,1.0,0,471.22342418905885,3095.944846676297,11921993.542349998
support_budget,,,32.0,6.0,32400,540,1.0,0,643.8773354523096,5238.555642734105,13808306.320695003
support_budget,,,32.0,8.0,32400,540,1.0,0,671.561204671978,7991.6446594631925,41558778.816260695
overall,,,,,810000,13500,1.0,0,295.75558307072635,2175.36707678736,1475596488.1898606
