instance_id,ieee_case,functional_id,functional_family,functional_vector,functional_norm,local_indices,state_metadata,semantic_status,selection_data_used,status,failure_reason
ieee14_eval_seed_14101_block_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":2,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":3,""state_type"":""angle""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,coordinate_e0,coordinate,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,[0],"[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""}]",metadata_grounded_state_coordinate,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,signed_difference_e0_minus_e1,difference,"[0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0]",0.9999999999999999,"[0,1]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""}]",metadata_grounded_compatible_state_difference,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":2,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":3,""state_type"":""angle""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,coordinate_e0,coordinate,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,[0],"[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""}]",metadata_grounded_state_coordinate,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,signed_difference_e0_minus_e1,difference,"[0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0]",0.9999999999999999,"[0,1]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""}]",metadata_grounded_compatible_state_difference,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14103_block_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":2,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":3,""state_type"":""angle""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14103_block_8x8,ieee14,coordinate_e0,coordinate,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,[0],"[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""}]",metadata_grounded_state_coordinate,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14103_block_8x8,ieee14,signed_difference_e0_minus_e1,difference,"[0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0]",0.9999999999999999,"[0,1]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""}]",metadata_grounded_compatible_state_difference,state_metadata_only_no_output_accuracy,completed,
ieee14_eval_seed_14104_block_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":3,""full_state_index"":1,""label"":""theta_3"",""local_index"":1,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":2,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":3,""state_type"":""angle""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,
