bootstrap_sample,instance_count,median_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_seed
0,15,-0.3156277947922177,instance,8675309
1,15,-0.2659696180787886,instance,8675309
2,15,-0.22946696899122998,instance,8675309
3,15,-0.17884318399519528,instance,8675309
4,15,-0.2659696180787886,instance,8675309
5,15,-0.2659696180787886,instance,8675309
6,15,-0.3156277947922177,instance,8675309
7,15,-0.17884318399519528,instance,8675309
8,15,-0.2673352773955874,instance,8675309
9,15,-0.1515999042352149,instance,8675309
10,15,-0.22946696899122998,instance,8675309
11,15,-0.17884318399519528,instance,8675309
12,15,-0.17884318399519528,instance,8675309
13,15,-0.22946696899122998,instance,8675309
14,15,-0.1515999042352149,instance,8675309
15,15,-0.2659696180787886,instance,8675309
16,15,-0.2673352773955874,instance,8675309
17,15,-0.17884318399519528,instance,8675309
18,15,-0.2977248373379707,instance,8675309
19,15,-0.2673352773955874,instance,8675309
20,15,-0.2659696180787886,instance,8675309
21,15,-0.2977248373379707,instance,8675309
22,15,-0.17884318399519528,instance,8675309
23,15,-0.22946696899122998,instance,8675309
24,15,-0.2673352773955874,instance,8675309
25,15,-0.2673352773955874,instance,8675309
26,15,-0.1515999042352149,instance,8675309
27,15,-0.17884318399519528,instance,8675309
28,15,-0.22946696899122998,instance,8675309
29,15,-0.2859756630598773,instance,8675309
30,15,-0.22946696899122998,instance,8675309
31,15,-0.2673352773955874,instance,8675309
32,15,-0.2977248373379707,instance,8675309
33,15,-0.22946696899122998,instance,8675309
34,15,-0.2673352773955874,instance,8675309
35,15,-0.2673352773955874,instance,8675309
36,15,-0.22946696899122998,instance,8675309
37,15,-0.2673352773955874,instance,8675309
38,15,-0.2977248373379707,instance,8675309
39,15,-0.2673352773955874,instance,8675309
40,15,-0.2859756630598773,instance,8675309
41,15,-0.22946696899122998,instance,8675309
42,15,-0.2859756630598773,instance,8675309
43,15,-0.17884318399519528,instance,8675309
44,15,-0.2659696180787886,instance,8675309
45,15,-0.17884318399519528,instance,8675309
46,15,-0.17884318399519528,instance,8675309
47,15,-0.2673352773955874,instance,8675309
48,15,-0.3156277947922177,instance,8675309
49,15,-0.3156277947922177,instance,8675309
50,15,-0.2859756630598773,instance,8675309
51,15,-0.2673352773955874,instance,8675309
52,15,-0.17884318399519528,instance,8675309
53,15,-0.2659696180787886,instance,8675309
54,15,-0.2859756630598773,instance,8675309
55,15,-0.2859756630598773,instance,8675309
56,15,-0.2859756630598773,instance,8675309
57,15,-0.17884318399519528,instance,8675309
58,15,-0.17884318399519528,instance,8675309
59,15,-0.2659696180787886,instance,8675309
60,15,-0.2659696180787886,instance,8675309
