instance_id,ieee_case,matrix_selection_seed,matrix_shape,candidate_nonzeros,matrix_fingerprint,selected_rows,selected_columns,state_metadata,measurement_metadata,condition_number,spectral_norm,regularization_alpha,regularization_policy,reference_mu,reference_beta,lambda_ref,development_or_evaluation,inclusion_status,primary_structural_feasibility,secondary_structural_feasibility,selector_outcomes_used_for_inclusion
ieee14_eval_seed_14101_block_8x8,ieee14,14101,"[8,8]",54,2ed03e0837bb9bf7d82969d8f58d421f21d22fc478ac3f6892c160f5a50a04d7,"[14,15,17,18,28,29,31,32]","[0,1,2,3,13,14,16,17]","[{""local_index"":0,""full_state_index"":0,""state_type"":""angle"",""bus_id"":2,""label"":""theta_2""},{""local_index"":1,""full_state_index"":1,""state_type"":""angle"",""bus_id"":3,""label"":""theta_3""},{""local_index"":2,""full_state_index"":2,""state_type"":""angle"",""bus_id"":4,""label"":""theta_4""},{""local_index"":3,""full_state_index"":3,""state_type"":""angle"",""bus_id"":5,""label"":""theta_5""},{""local_index"":4,""full_state_index"":13,""state_type"":""voltage"",""bus_id"":1,""label"":""V_1""},{""local_index"":5,""full_state_index"":14,""state_type"":""voltage"",""bus_id"":2,""label"":""V_2""},{""local_index"":6,""full_state_index"":16,""state_type"":""voltage"",""bus_id"":4,""label"":""V_4""},{""local_index"":7,""full_state_index"":17,""state_type"":""voltage"",""bus_id"":5,""label"":""V_5""}]","[{""local_index"":0,""full_measurement_index"":14,""measurement_label"":""P_inj_1"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":15,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":17,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":18,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""local_index"":4,""full_measurement_index"":28,""measurement_label"":""Q_inj_1"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":29,""measurement_label"":""Q_inj_2"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":31,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""local_index"":7,""full_measurement_index"":32,""measurement_label"":""Q_inj_5"",""measurement_type"":""q_injection""}]",19.00966477364377,2138.496617061863,1126282.8365660307,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1342.142784299504,4026.428352898512,0.06947163416534002,evaluation,included,completed,completed,False
ieee14_eval_seed_14102_block_8x8,ieee14,14102,"[8,8]",54,41232ca817c60184f91ef5730b2a3eeca8b6946614d9758148672eb3781f2982,"[14,15,17,18,28,29,31,32]","[0,1,2,3,13,14,16,17]","[{""local_index"":0,""full_state_index"":0,""state_type"":""angle"",""bus_id"":2,""label"":""theta_2""},{""local_index"":1,""full_state_index"":1,""state_type"":""angle"",""bus_id"":3,""label"":""theta_3""},{""local_index"":2,""full_state_index"":2,""state_type"":""angle"",""bus_id"":4,""label"":""theta_4""},{""local_index"":3,""full_state_index"":3,""state_type"":""angle"",""bus_id"":5,""label"":""theta_5""},{""local_index"":4,""full_state_index"":13,""state_type"":""voltage"",""bus_id"":1,""label"":""V_1""},{""local_index"":5,""full_state_index"":14,""state_type"":""voltage"",""bus_id"":2,""label"":""V_2""},{""local_index"":6,""full_state_index"":16,""state_type"":""voltage"",""bus_id"":4,""label"":""V_4""},{""local_index"":7,""full_state_index"":17,""state_type"":""voltage"",""bus_id"":5,""label"":""V_5""}]","[{""local_index"":0,""full_measurement_index"":14,""measurement_label"":""P_inj_1"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":15,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":17,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":18,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""local_index"":4,""full_measurement_index"":28,""measurement_label"":""Q_inj_1"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":29,""measurement_label"":""Q_inj_2"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":31,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""local_index"":7,""full_measurement_index"":32,""measurement_label"":""Q_inj_5"",""measurement_type"":""q_injection""}]",19.134403915640416,2122.351989558647,1101015.6465830416,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1327.002476237386,3981.007428712158,0.06947163416534002,evaluation,included,completed,completed,False
ieee14_eval_seed_14103_block_8x8,ieee14,14103,"[8,8]",54,07e143c19878cda361ab72919970bb12006565839b4c67f49f3cdbdf17acae15,"[14,15,17,18,28,29,31,32]","[0,1,2,3,13,14,16,17]","[{""local_index"":0,""full_state_index"":0,""state_type"":""angle"",""bus_id"":2,""label"":""theta_2""},{""local_index"":1,""full_state_index"":1,""state_type"":""angle"",""bus_id"":3,""label"":""theta_3""},{""local_index"":2,""full_state_index"":2,""state_type"":""angle"",""bus_id"":4,""label"":""theta_4""},{""local_index"":3,""full_state_index"":3,""state_type"":""angle"",""bus_id"":5,""label"":""theta_5""},{""local_index"":4,""full_state_index"":13,""state_type"":""voltage"",""bus_id"":1,""label"":""V_1""},{""local_index"":5,""full_state_index"":14,""state_type"":""voltage"",""bus_id"":2,""label"":""V_2""},{""local_index"":6,""full_state_index"":16,""state_type"":""voltage"",""bus_id"":4,""label"":""V_4""},{""local_index"":7,""full_state_index"":17,""state_type"":""voltage"",""bus_id"":5,""label"":""V_5""}]","[{""local_index"":0,""full_measurement_index"":14,""measurement_label"":""P_inj_1"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":15,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":17,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":18,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""local_index"":4,""full_measurement_index"":28,""measurement_label"":""Q_inj_1"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":29,""measurement_label"":""Q_inj_2"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":31,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""local_index"":7,""full_measurement_index"":32,""measurement_label"":""Q_inj_5"",""measurement_type"":""q_injection""}]",19.121171288306684,2143.3955823837323,1123546.1239799114,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1340.5111812496186,4021.5335437488557,0.06947163416534002,evaluation,included,completed,completed,False
ieee14_eval_seed_14104_block_8x8,ieee14,14104,"[8,8]",54,44e2ef34b37d899348d886bcb4ba3d0e19037357537fae373798d29e1b1f7db1,"[14,15,17,18,28,29,31,32]","[0,1,2,3,13,14,16,17]","[{""local_index"":0,""full_state_index"":0,""state_type"":""angle"",""bus_id"":2,""label"":""theta_2""},{""local_index"":1,""full_state_index"":1,""state_type"":""angle"",""bus_id"":3,""label"":""theta_3""},{""local_index"":2,""full_state_index"":2,""state_type"":""angle"",""bus_id"":4,""label"":""theta_4""},{""local_index"":3,""full_state_index"":3,""state_type"":""angle"",""bus_id"":5,""label"":""theta_5""},{""local_index"":4,""full_state_index"":13,""state_type"":""voltage"",""bus_id"":1,""label"":""V_1""},{""local_index"":5,""full_state_index"":14,""state_type"":""voltage"",""bus_id"":2,""label"":""V_2""},{""local_index"":6,""full_state_index"":16,""state_type"":""voltage"",""bus_id"":4,""label"":""V_4""},{""local_index"":7,""full_state_index"":17,""state_type"":""voltage"",""bus_id"":5,""label"":""V_5""}]","[{""local_index"":0,""full_measurement_index"":14,""measurement_label"":""P_inj_1"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":15,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":17,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":18,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""local_index"":4,""full_measurement_index"":28,""measurement_label"":""Q_inj_1"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":29,""measurement_label"":""Q_inj_2"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":31,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""local_index"":7,""full_measurement_index"":32,""measurement_label"":""Q_inj_5"",""measurement_type"":""q_injection""}]",19.124595260740833,2129.444306098323,1100827.9471208216,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1326.8893587406335,3980.6680762219003,0.06947163416534002,evaluation,included,completed,completed,False
ieee14_eval_seed_14105_block_8x8,ieee14,14105,"[8,8]",54,fb256260b3f45d521a4cc8f062575e0ec8366af11509d65a243eab7791117e3e,"[14,15,17,18,28,29,31,32]","[0,1,2,3,13,14,16,17]","[{""local_index"":0,""full_state_index"":0,""state_type"":""angle"",""bus_id"":2,""label"":""theta_2""},{""local_index"":1,""full_state_index"":1,""state_type"":""angle"",""bus_id"":3,""label"":""theta_3""},{""local_index"":2,""full_state_index"":2,""state_type"":""angle"",""bus_id"":4,""label"":""theta_4""},{""local_index"":3,""full_state_index"":3,""state_type"":""angle"",""bus_id"":5,""label"":""theta_5""},{""local_index"":4,""full_state_index"":13,""state_type"":""voltage"",""bus_id"":1,""label"":""V_1""},{""local_index"":5,""full_state_index"":14,""state_type"":""voltage"",""bus_id"":2,""label"":""V_2""},{""local_index"":6,""full_state_index"":16,""state_type"":""voltage"",""bus_id"":4,""label"":""V_4""},{""local_index"":7,""full_state_index"":17,""state_type"":""voltage"",""bus_id"":5,""label"":""V_5""}]","[{""local_index"":0,""full_measurement_index"":14,""measurement_label"":""P_inj_1"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":15,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":17,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":18,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""local_index"":4,""full_measurement_index"":28,""measurement_label"":""Q_inj_1"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":29,""measurement_label"":""Q_inj_2"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":31,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""local_index"":7,""full_measurement_index"":32,""measurement_label"":""Q_inj_5"",""measurement_type"":""q_injection""}]",19.254464135005158,2117.187615494592,1096972.5150604236,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1324.5637369855565,3973.6912109566692,0.06947163416534002,evaluation,included,completed,completed,False
ieee30_eval_seed_30101_block_8x8,ieee30,30101,"[8,8]",48,37dc49f02cbc07ebadf3641ba67b1ffcf14e1cef6c69525a0ed95d0703fe579d,"[39,50,51,69,80,81,118,159]","[8,15,19,20,38,45,49,50]","[{""local_index"":0,""full_state_index"":8,""state_type"":""angle"",""bus_id"":10,""label"":""theta_10""},{""local_index"":1,""full_state_index"":15,""state_type"":""angle"",""bus_id"":17,""label"":""theta_17""},{""local_index"":2,""full_state_index"":19,""state_type"":""angle"",""bus_id"":21,""label"":""theta_21""},{""local_index"":3,""full_state_index"":20,""state_type"":""angle"",""bus_id"":22,""label"":""theta_22""},{""local_index"":4,""full_state_index"":38,""state_type"":""voltage"",""bus_id"":10,""label"":""V_10""},{""local_index"":5,""full_state_index"":45,""state_type"":""voltage"",""bus_id"":17,""label"":""V_17""},{""local_index"":6,""full_state_index"":49,""state_type"":""voltage"",""bus_id"":21,""label"":""V_21""},{""local_index"":7,""full_state_index"":50,""state_type"":""voltage"",""bus_id"":22,""label"":""V_22""}]","[{""local_index"":0,""full_measurement_index"":39,""measurement_label"":""P_inj_10"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":50,""measurement_label"":""P_inj_21"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":51,""measurement_label"":""P_inj_22"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":69,""measurement_label"":""Q_inj_10"",""measurement_type"":""q_injection""},{""local_index"":4,""full_measurement_index"":80,""measurement_label"":""Q_inj_21"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":81,""measurement_label"":""Q_inj_22"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":118,""measurement_label"":""P_21_22"",""measurement_type"":""p_branch_flow""},{""local_index"":7,""full_measurement_index"":159,""measurement_label"":""Q_21_22"",""measurement_type"":""q_branch_flow""}]",170.61233096302766,4678.84734645902,2593422.311654061,frozen_lambda_ref_times_full_candidate_reference_beta_squared,2036.6275265892277,6109.882579767684,0.06947163416534002,evaluation,included,completed,completed,False
ieee30_eval_seed_30102_block_8x8,ieee30,30102,"[8,8]",48,0a75e5d072eb78ecea9643b9a13078d84bb368d1211ff076060d53576ee323b8,"[39,50,51,69,80,81,118,159]","[8,15,19,20,38,45,49,50]","[{""local_index"":0,""full_state_index"":8,""state_type"":""angle"",""bus_id"":10,""label"":""theta_10""},{""local_index"":1,""full_state_index"":15,""state_type"":""angle"",""bus_id"":17,""label"":""theta_17""},{""local_index"":2,""full_state_index"":19,""state_type"":""angle"",""bus_id"":21,""label"":""theta_21""},{""local_index"":3,""full_state_index"":20,""state_type"":""angle"",""bus_id"":22,""label"":""theta_22""},{""local_index"":4,""full_state_index"":38,""state_type"":""voltage"",""bus_id"":10,""label"":""V_10""},{""local_index"":5,""full_state_index"":45,""state_type"":""voltage"",""bus_id"":17,""label"":""V_17""},{""local_index"":6,""full_state_index"":49,""state_type"":""voltage"",""bus_id"":21,""label"":""V_21""},{""local_index"":7,""full_state_index"":50,""state_type"":""voltage"",""bus_id"":22,""label"":""V_22""}]","[{""local_index"":0,""full_measurement_index"":39,""measurement_label"":""P_inj_10"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":50,""measurement_label"":""P_inj_21"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":51,""measurement_label"":""P_inj_22"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":69,""measurement_label"":""Q_inj_10"",""measurement_type"":""q_injection""},{""local_index"":4,""full_measurement_index"":80,""measurement_label"":""Q_inj_21"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":81,""measurement_label"":""Q_inj_22"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":118,""measurement_label"":""P_21_22"",""measurement_type"":""p_branch_flow""},{""local_index"":7,""full_measurement_index"":159,""measurement_label"":""Q_21_22"",""measurement_type"":""q_branch_flow""}]",168.80829425647863,4597.143616440314,2475161.927543701,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1989.650502687661,5968.951508062983,0.06947163416534002,evaluation,included,completed,completed,False
ieee30_eval_seed_30103_block_8x8,ieee30,30103,"[8,8]",48,e42a5f59fcdd9eca48edd74c127e01877895ebb9c596858a2670c2fcc44ea39b,"[39,50,51,69,80,81,118,159]","[8,15,19,20,38,45,49,50]","[{""local_index"":0,""full_state_index"":8,""state_type"":""angle"",""bus_id"":10,""label"":""theta_10""},{""local_index"":1,""full_state_index"":15,""state_type"":""angle"",""bus_id"":17,""label"":""theta_17""},{""local_index"":2,""full_state_index"":19,""state_type"":""angle"",""bus_id"":21,""label"":""theta_21""},{""local_index"":3,""full_state_index"":20,""state_type"":""angle"",""bus_id"":22,""label"":""theta_22""},{""local_index"":4,""full_state_index"":38,""state_type"":""voltage"",""bus_id"":10,""label"":""V_10""},{""local_index"":5,""full_state_index"":45,""state_type"":""voltage"",""bus_id"":17,""label"":""V_17""},{""local_index"":6,""full_state_index"":49,""state_type"":""voltage"",""bus_id"":21,""label"":""V_21""},{""local_index"":7,""full_state_index"":50,""state_type"":""voltage"",""bus_id"":22,""label"":""V_22""}]","[{""local_index"":0,""full_measurement_index"":39,""measurement_label"":""P_inj_10"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":50,""measurement_label"":""P_inj_21"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":51,""measurement_label"":""P_inj_22"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":69,""measurement_label"":""Q_inj_10"",""measurement_type"":""q_injection""},{""local_index"":4,""full_measurement_index"":80,""measurement_label"":""Q_inj_21"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":81,""measurement_label"":""Q_inj_22"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":118,""measurement_label"":""P_21_22"",""measurement_type"":""p_branch_flow""},{""local_index"":7,""full_measurement_index"":159,""measurement_label"":""Q_21_22"",""measurement_type"":""q_branch_flow""}]",168.4920402096685,4634.728587464071,2507377.3051907294,frozen_lambda_ref_times_full_candidate_reference_beta_squared,2002.5567541565613,6007.670262469684,0.06947163416534002,evaluation,included,completed,completed,False
ieee30_eval_seed_30104_block_8x8,ieee30,30104,"[8,8]",48,0d38dfd9feb5283400c40486bfe5db49b377697ab2b9eb2f1b186d187316620e,"[39,50,51,69,80,81,118,159]","[8,15,19,20,38,45,49,50]","[{""local_index"":0,""full_state_index"":8,""state_type"":""angle"",""bus_id"":10,""label"":""theta_10""},{""local_index"":1,""full_state_index"":15,""state_type"":""angle"",""bus_id"":17,""label"":""theta_17""},{""local_index"":2,""full_state_index"":19,""state_type"":""angle"",""bus_id"":21,""label"":""theta_21""},{""local_index"":3,""full_state_index"":20,""state_type"":""angle"",""bus_id"":22,""label"":""theta_22""},{""local_index"":4,""full_state_index"":38,""state_type"":""voltage"",""bus_id"":10,""label"":""V_10""},{""local_index"":5,""full_state_index"":45,""state_type"":""voltage"",""bus_id"":17,""label"":""V_17""},{""local_index"":6,""full_state_index"":49,""state_type"":""voltage"",""bus_id"":21,""label"":""V_21""},{""local_index"":7,""full_state_index"":50,""state_type"":""voltage"",""bus_id"":22,""label"":""V_22""}]","[{""local_index"":0,""full_measurement_index"":39,""measurement_label"":""P_inj_10"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":50,""measurement_label"":""P_inj_21"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":51,""measurement_label"":""P_inj_22"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":69,""measurement_label"":""Q_inj_10"",""measurement_type"":""q_injection""},{""local_index"":4,""full_measurement_index"":80,""measurement_label"":""Q_inj_21"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":81,""measurement_label"":""Q_inj_22"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":118,""measurement_label"":""P_21_22"",""measurement_type"":""p_branch_flow""},{""local_index"":7,""full_measurement_index"":159,""measurement_label"":""Q_21_22"",""measurement_type"":""q_branch_flow""}]",171.874783804631,4708.324859790404,2612890.233551687,frozen_lambda_ref_times_full_candidate_reference_beta_squared,2044.2573629970998,6132.7720889913,0.06947163416534002,evaluation,included,completed,completed,False
ieee30_eval_seed_30105_block_8x8,ieee30,30105,"[8,8]",48,45e39630351bde0b62dbc3ad9fa31761043257f0477a8ec0719fade1794ef9ca,"[39,50,51,69,80,81,118,159]","[8,15,19,20,38,45,49,50]","[{""local_index"":0,""full_state_index"":8,""state_type"":""angle"",""bus_id"":10,""label"":""theta_10""},{""local_index"":1,""full_state_index"":15,""state_type"":""angle"",""bus_id"":17,""label"":""theta_17""},{""local_index"":2,""full_state_index"":19,""state_type"":""angle"",""bus_id"":21,""label"":""theta_21""},{""local_index"":3,""full_state_index"":20,""state_type"":""angle"",""bus_id"":22,""label"":""theta_22""},{""local_index"":4,""full_state_index"":38,""state_type"":""voltage"",""bus_id"":10,""label"":""V_10""},{""local_index"":5,""full_state_index"":45,""state_type"":""voltage"",""bus_id"":17,""label"":""V_17""},{""local_index"":6,""full_state_index"":49,""state_type"":""voltage"",""bus_id"":21,""label"":""V_21""},{""local_index"":7,""full_state_index"":50,""state_type"":""voltage"",""bus_id"":22,""label"":""V_22""}]","[{""local_index"":0,""full_measurement_index"":39,""measurement_label"":""P_inj_10"",""measurement_type"":""p_injection""},{""local_index"":1,""full_measurement_index"":50,""measurement_label"":""P_inj_21"",""measurement_type"":""p_injection""},{""local_index"":2,""full_measurement_index"":51,""measurement_label"":""P_inj_22"",""measurement_type"":""p_injection""},{""local_index"":3,""full_measurement_index"":69,""measurement_label"":""Q_inj_10"",""measurement_type"":""q_injection""},{""local_index"":4,""full_measurement_index"":80,""measurement_label"":""Q_inj_21"",""measurement_type"":""q_injection""},{""local_index"":5,""full_measurement_index"":81,""measurement_label"":""Q_inj_22"",""measurement_type"":""q_injection""},{""local_index"":6,""full_measurement_index"":118,""measurement_label"":""P_21_22"",""measurement_type"":""p_branch_flow""},{""local_index"":7,""full_measurement_index"":159,""measurement_label"":""Q_21_22"",""measurement_type"":""q_branch_flow""}]",171.1075462207759,4669.6328566420325,2566728.5367426006,frozen_lambda_ref_times_full_candidate_reference_beta_squared,2026.119038458589,6078.3571153757675,0.06947163416534002,evaluation,included,completed,completed,False
