instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,nondominated
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__random_objective_feasible_k8_s3_r15_50bddbff5a1e,random_objective_feasible,8,3,8,1,0.3127140272730715,0.0004960121310145,15.0,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s2_239e7a9180fc,sensitivity_initial_mean,8,2,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s3_239e7a9180fc,sensitivity_initial_mean,8,3,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s4_239e7a9180fc,sensitivity_initial_mean,8,4,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s6_239e7a9180fc,sensitivity_initial_mean,8,6,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s8_239e7a9180fc,sensitivity_initial_mean,8,8,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s2_239e7a9180fc,sensitivity_refined_mean,8,2,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s3_239e7a9180fc,sensitivity_refined_mean,8,3,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s4_239e7a9180fc,sensitivity_refined_mean,8,4,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s6_239e7a9180fc,sensitivity_refined_mean,8,6,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s8_239e7a9180fc,sensitivity_refined_mean,8,8,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s3_0c407c6edf44,sensitivity_refined_mean,12,3,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s4_0c407c6edf44,sensitivity_refined_mean,12,4,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s6_0c407c6edf44,sensitivity_refined_mean,12,6,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s8_0c407c6edf44,sensitivity_refined_mean,12,8,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k24_s6_7e9350c95640,sensitivity_initial_worst_case,24,6,24,6,0.06306133167138,0.0001024571355763,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k24_s8_7e9350c95640,sensitivity_initial_worst_case,24,8,24,6,0.06306133167138,0.0001024571355763,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k24_s6_7e9350c95640,sensitivity_refined_worst_case,24,6,24,6,0.06306133167138,0.0001024571355763,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s4_c366faf643b7,balanced_magnitude,32,4,30,4,0.0600502755411206,9.092076474920112e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k32_s8_ca3c72ed081c,sensitivity_refined_mean,32,8,32,8,0.0376997861658474,6.783243527668328e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__random_objective_feasible_k8_s2_r12_0fca8f016648,random_objective_feasible,8,2,8,1,0.4143934074997687,0.0007040214786267,12.0,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__random_objective_feasible_k8_s4_r18_33dbb3631e08,random_objective_feasible,8,4,8,1,0.4143934074997687,0.0005931258958088,18.0,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s3_ed489573a881,sensitivity_refined_mean,12,3,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s4_ed489573a881,sensitivity_refined_mean,12,4,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s6_ed489573a881,sensitivity_refined_mean,12,6,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s8_ed489573a881,sensitivity_refined_mean,12,8,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_worst_case_k24_s3_052537beac97,sensitivity_refined_worst_case,24,3,23,3,0.0515671588485041,0.0001018962968357,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_worst_case_k32_s3_052537beac97,sensitivity_refined_worst_case,32,3,23,3,0.0515671588485041,0.0001018962968357,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_worst_case_k32_s8_3c537793d6bf,sensitivity_refined_worst_case,32,8,32,7,0.0363789281461895,5.265963670448301e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__random_objective_feasible_k8_s3_r24_accbb881bafe,random_objective_feasible,8,3,8,1,0.3639668275254654,0.00039117846496,24.0,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_worst_case_k12_s2_5ae01f77845b,sensitivity_refined_worst_case,12,2,12,2,0.1845352766983179,0.0002267609123335,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_mean_k16_s6_4f3f28b4371c,sensitivity_refined_mean,16,6,16,5,0.0835343438158352,0.000101817513547,,median_heldout_normalized_error_absolute_not_signed,True
