instance_id,ieee_case,support_id,selector,k_budget,slot_budget,support_fingerprint,sparse_matrix_fingerprint,random_replicate,resource_record_type,actual_nonzeros,actual_max_row_degree,actual_max_column_degree,minimum_slot_count,slot_count,normalization_mu,native_beta,signal_unitary_gate_count,signal_unitary_depth,cx_count,controlled_rotations,wrapper_reconstruction_error,wrapper_statevector_error,wrapper_unitarity_error,slot_assignment_valid,real_edges_covered_exactly_once,resource_measurement,value_semantics,missing_cost_is_zero,resource_fingerprint,status,failure_reason,stage,last_completed_checkpoint,resource_cache_hit,wrapper_reconstruction_tolerance,wrapper_reconstruction_holds
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s2_912b8f2f0b10,balanced_magnitude,8,2,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,7715acb496901e0a787076ae6192a9dbc52f2d0c0d66c025a1c12b8b3f656cfb,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,445,260,192,8,1.6764367671839864e-14,1.5987211554602254e-14,3.519406988061746e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,c4e3171895754f1fc99d64e66380855b876055c7d40a3ce425d03df73b792462,completed,,resources,resources,False,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k8_s2_912b8f2f0b10,leverage_weighted,8,2,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,7715acb496901e0a787076ae6192a9dbc52f2d0c0d66c025a1c12b8b3f656cfb,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,445,260,192,8,1.6764367671839864e-14,1.5987211554602254e-14,3.519406988061746e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,c4e3171895754f1fc99d64e66380855b876055c7d40a3ce425d03df73b792462,completed,,resources,resources,True,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s2_239e7a9180fc,sensitivity_initial_mean,8,2,239e7a9180fcbb032546877323675c5081ab5ddbb6468c9dab66b273835babe5,7444559d484862ac2b6d5df862a4d4852f6c67d3a21bc949596ffa457ee78e71,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,588,354,244,8,3.9221559718829203e-14,3.9039099353665644e-14,3.497202527569243e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,ea2b641ca9ff16da52e9aec3e1d8254e57ba67e67ccd96447a465f27aa445cb5,completed,,resources,resources,False,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s2_72435e6abe4b,sensitivity_initial_worst_case,8,2,72435e6abe4b2fb4a31ed0e86c0b0a026b0642e269aff8a091d9532288ae341a,11337ae5716ad8ce92a957fe358979ae5111e8350a8b7b19a73b443da15fd5e5,,executed_sparse_signal_unitary,8,1,1,1,1,1094.9507952096546,1094.9507952096546,591,356,244,8,3.412345963274605e-14,3.3837059361951494e-14,3.3750779948604765e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,9369cba789b140b9e43d335b42ccb7dce6407803b00cd10b573a050d777b704e,completed,,resources,resources,False,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s2_239e7a9180fc,sensitivity_refined_mean,8,2,239e7a9180fcbb032546877323675c5081ab5ddbb6468c9dab66b273835babe5,7444559d484862ac2b6d5df862a4d4852f6c67d3a21bc949596ffa457ee78e71,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,588,354,244,8,3.9221559718829203e-14,3.9039099353665644e-14,3.497202527569243e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,ea2b641ca9ff16da52e9aec3e1d8254e57ba67e67ccd96447a465f27aa445cb5,completed,,resources,resources,True,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k8_s2_72435e6abe4b,sensitivity_refined_worst_case,8,2,72435e6abe4b2fb4a31ed0e86c0b0a026b0642e269aff8a091d9532288ae341a,11337ae5716ad8ce92a957fe358979ae5111e8350a8b7b19a73b443da15fd5e5,,executed_sparse_signal_unitary,8,1,1,1,1,1094.9507952096546,1094.9507952096546,591,356,244,8,3.412345963274605e-14,3.3837059361951494e-14,3.3750779948604765e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,9369cba789b140b9e43d335b42ccb7dce6407803b00cd10b573a050d777b704e,completed,,resources,resources,True,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k8_s3_912b8f2f0b10,balanced_magnitude,8,3,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,7715acb496901e0a787076ae6192a9dbc52f2d0c0d66c025a1c12b8b3f656cfb,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,445,260,192,8,1.6764367671839864e-14,1.5987211554602254e-14,3.519406988061746e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,c4e3171895754f1fc99d64e66380855b876055c7d40a3ce425d03df73b792462,completed,,resources,resources,True,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k8_s3_912b8f2f0b10,leverage_weighted,8,3,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,7715acb496901e0a787076ae6192a9dbc52f2d0c0d66c025a1c12b8b3f656cfb,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,445,260,192,8,1.6764367671839864e-14,1.5987211554602254e-14,3.519406988061746e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,c4e3171895754f1fc99d64e66380855b876055c7d40a3ce425d03df73b792462,completed,,resources,resources,True,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k8_s3_239e7a9180fc,sensitivity_initial_mean,8,3,239e7a9180fcbb032546877323675c5081ab5ddbb6468c9dab66b273835babe5,7444559d484862ac2b6d5df862a4d4852f6c67d3a21bc949596ffa457ee78e71,,executed_sparse_signal_unitary,8,1,1,1,1,1342.142784299504,1342.142784299504,588,354,244,8,3.9221559718829203e-14,3.9039099353665644e-14,3.497202527569243e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,ea2b641ca9ff16da52e9aec3e1d8254e57ba67e67ccd96447a465f27aa445cb5,completed,,resources,resources,True,,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s3_72435e6abe4b,sensitivity_initial_worst_case,8,3,72435e6abe4b2fb4a31ed0e86c0b0a026b0642e269aff8a091d9532288ae341a,11337ae5716ad8ce92a957fe358979ae5111e8350a8b7b19a73b443da15fd5e5,,executed_sparse_signal_unitary,8,1,1,1,1,1094.9507952096546,1094.9507952096546,591,356,244,8,3.412345963274605e-14,3.3837059361951494e-14,3.3750779948604765e-14,True,True,actual_qiskit_transpile_u3_cx_optimization_level_1,exact_selected_original_values_no_quantization,False,9369cba789b140b9e43d335b42ccb7dce6407803b00cd10b573a050d777b704e,completed,,resources,resources,True,,
