instance_id,ieee_case,selector,k_budget,slot_budget,training_subset,training_positions,training_seed_ids,full_training_support_id,full_training_support_fingerprint,subset_support_id,subset_support_fingerprint,subset_support_file,jaccard_similarity,heldout_median_normalized_error_full_support,solver_status,refinement_iterations,selection_data_split,held_out_used_for_support_construction,status,failure_reason
ieee14_eval_seed_14101_block_8x8,ieee14,balanced_magnitude,16,3,even_positions,"[0,2,4,6,8,10,12,14,16,18]","[1401000,1401002,1401004,1401006,1401008,1401010,1401012,1401014,1401016,1401018]",ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_even_positions_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_even_positions_4d0f9f900e71.json,1.0,0.3869994737602769,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,balanced_magnitude,16,3,first_half,"[0,1,2,3,4,5,6,7,8,9]","[1401000,1401001,1401002,1401003,1401004,1401005,1401006,1401007,1401008,1401009]",ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_first_half_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_first_half_4d0f9f900e71.json,1.0,0.3869994737602769,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,balanced_magnitude,16,3,odd_positions,"[1,3,5,7,9,11,13,15,17,19]","[1401001,1401003,1401005,1401007,1401009,1401011,1401013,1401015,1401017,1401019]",ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_odd_positions_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_odd_positions_4d0f9f900e71.json,1.0,0.3869994737602769,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,balanced_magnitude,16,3,second_half,"[10,11,12,13,14,15,16,17,18,19]","[1401010,1401011,1401012,1401013,1401014,1401015,1401016,1401017,1401018,1401019]",ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_second_half_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_balanced_magnitude_second_half_4d0f9f900e71.json,1.0,0.3869994737602769,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_initial_mean,16,3,even_positions,"[0,2,4,6,8,10,12,14,16,18]","[1401000,1401002,1401004,1401006,1401008,1401010,1401012,1401014,1401016,1401018]",ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k16_s3_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_even_positions_82b3472630da,82b3472630da27dc235c69ba3cbf8605c9d17a5003b1cb67fba52afa6f017c0e,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_even_positions_82b3472630da.json,0.6842105263157895,0.1575325047690469,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_initial_mean,16,3,first_half,"[0,1,2,3,4,5,6,7,8,9]","[1401000,1401001,1401002,1401003,1401004,1401005,1401006,1401007,1401008,1401009]",ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k16_s3_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_first_half_ea884eaffe44,ea884eaffe44d3d444c995947fd28254c1d69bfef7557c987e02255f37a11343,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_first_half_ea884eaffe44.json,0.6842105263157895,0.1575325047690469,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_initial_mean,16,3,odd_positions,"[1,3,5,7,9,11,13,15,17,19]","[1401001,1401003,1401005,1401007,1401009,1401011,1401013,1401015,1401017,1401019]",ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k16_s3_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_odd_positions_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_odd_positions_889061f1793f.json,1.0,0.1575325047690469,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_initial_mean,16,3,second_half,"[10,11,12,13,14,15,16,17,18,19]","[1401010,1401011,1401012,1401013,1401014,1401015,1401016,1401017,1401018,1401019]",ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k16_s3_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_second_half_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_initial_mean_second_half_889061f1793f.json,1.0,0.1575325047690469,optimal,0,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_refined_mean,16,3,even_positions,"[0,2,4,6,8,10,12,14,16,18]","[1401000,1401002,1401004,1401006,1401008,1401010,1401012,1401014,1401016,1401018]",ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k16_s3_b38075e581e1,b38075e581e1d06b7ef454ab533da606ba7b15d1d6d3243e21fc45519b69da69,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_even_positions_f6d81910aef3,f6d81910aef3cacc385c251c819bac4ec357d5c654a2e2f7fc3b8f4fe7b62635,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_even_positions_f6d81910aef3.json,0.6,0.1894291261060073,optimal,1,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_refined_mean,16,3,first_half,"[0,1,2,3,4,5,6,7,8,9]","[1401000,1401001,1401002,1401003,1401004,1401005,1401006,1401007,1401008,1401009]",ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k16_s3_b38075e581e1,b38075e581e1d06b7ef454ab533da606ba7b15d1d6d3243e21fc45519b69da69,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_first_half_d6f8994cf7b2,d6f8994cf7b20618a68cc8426015f5f3dfad39eb1f0d318ce4c65867a78b5f5c,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_first_half_d6f8994cf7b2.json,0.6,0.1894291261060073,optimal,2,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_refined_mean,16,3,odd_positions,"[1,3,5,7,9,11,13,15,17,19]","[1401001,1401003,1401005,1401007,1401009,1401011,1401013,1401015,1401017,1401019]",ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k16_s3_b38075e581e1,b38075e581e1d06b7ef454ab533da606ba7b15d1d6d3243e21fc45519b69da69,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_odd_positions_ce0738ba0b35,ce0738ba0b35f2c8f5c0992b7590c639ecc651905ab18e84acf4ac64c6bd28c3,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_odd_positions_ce0738ba0b35.json,0.6,0.1894291261060073,optimal,3,training_only,False,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,sensitivity_refined_mean,16,3,second_half,"[10,11,12,13,14,15,16,17,18,19]","[1401010,1401011,1401012,1401013,1401014,1401015,1401016,1401017,1401018,1401019]",ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k16_s3_b38075e581e1,b38075e581e1d06b7ef454ab533da606ba7b15d1d6d3243e21fc45519b69da69,ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_second_half_8e71c2bb0f2d,8e71c2bb0f2dc620b132bd403b757e810beba93168ab0c39c81aeba56358ce9d,supports/stability/ieee14_eval_seed_14101_block_8x8/ieee14_eval_seed_14101_block_8x8__stability_sensitivity_refined_mean_second_half_8e71c2bb0f2d.json,0.6,0.1894291261060073,optimal,4,training_only,False,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,balanced_magnitude,16,3,even_positions,"[0,2,4,6,8,10,12,14,16,18]","[1411000,1411002,1411004,1411006,1411008,1411010,1411012,1411014,1411016,1411018]",ieee14_eval_seed_14102_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_even_positions_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14102_block_8x8/ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_even_positions_4d0f9f900e71.json,1.0,0.4370312256292123,optimal,0,training_only,False,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,balanced_magnitude,16,3,first_half,"[0,1,2,3,4,5,6,7,8,9]","[1411000,1411001,1411002,1411003,1411004,1411005,1411006,1411007,1411008,1411009]",ieee14_eval_seed_14102_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_first_half_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14102_block_8x8/ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_first_half_4d0f9f900e71.json,1.0,0.4370312256292123,optimal,0,training_only,False,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,balanced_magnitude,16,3,odd_positions,"[1,3,5,7,9,11,13,15,17,19]","[1411001,1411003,1411005,1411007,1411009,1411011,1411013,1411015,1411017,1411019]",ieee14_eval_seed_14102_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_odd_positions_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14102_block_8x8/ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_odd_positions_4d0f9f900e71.json,1.0,0.4370312256292123,optimal,0,training_only,False,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,balanced_magnitude,16,3,second_half,"[10,11,12,13,14,15,16,17,18,19]","[1411010,1411011,1411012,1411013,1411014,1411015,1411016,1411017,1411018,1411019]",ieee14_eval_seed_14102_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_second_half_4d0f9f900e71,4d0f9f900e71cf97722e270475844ec0cb87920603f5bb1ec24ace23404c28fb,supports/stability/ieee14_eval_seed_14102_block_8x8/ieee14_eval_seed_14102_block_8x8__stability_balanced_magnitude_second_half_4d0f9f900e71.json,1.0,0.4370312256292123,optimal,0,training_only,False,completed,
ieee14_eval_seed_14102_block_8x8,ieee14,sensitivity_initial_mean,16,3,even_positions,"[0,2,4,6,8,10,12,14,16,18]","[1411000,1411002,1411004,1411006,1411008,1411010,1411012,1411014,1411016,1411018]",ieee14_eval_seed_14102_block_8x8__sensitivity_initial_mean_k16_s3_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,ieee14_eval_seed_14102_block_8x8__stability_sensitivity_initial_mean_even_positions_889061f1793f,889061f1793f1501901d5f8e30b2d441c3a6cde10af06f788c220f161769be34,supports/stability/ieee14_eval_seed_14102_block_8x8/ieee14_eval_seed_14102_block_8x8__stability_sensitivity_initial_mean_even_positions_889061f1793f.json,1.0,0.1696959482336249,optimal,0,training_only,False,completed,
