candidate_id,ieee_case,policy,variant,candidate_linearization_seed,outcome_independent,selector_outcomes_used_for_inclusion,status,failure_reason,selected_rows,selected_columns,matrix_fingerprint,candidate_nonzeros,measurement_type_composition,state_type_composition,primary_structural_feasibility,secondary_structural_feasibility,candidate_file
ieee14_seeded_random_v00,ieee14,seeded_random,0,14201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee30_seeded_random_v00,ieee30,seeded_random,0,30201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee30_seeded_random_v01,ieee30,seeded_random,1,30201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee30_seeded_random_v02,ieee30,seeded_random,2,30201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee57_measurement_balanced_v00,ieee57,measurement_balanced,0,57201,True,False,excluded,previous_block_row_column_identity,"[78,79,94,135,136,151,203,283]","[20,21,36,46,77,78,93,103]",d9fae3270f2cb91e8c7da499009b715b5d9b5e8a8a687cfa8d62887cc255eaa4,40.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee57/ieee57_measurement_balanced_v00.json
ieee57_mixed_state_v00,ieee57,mixed_state,0,57201,True,False,excluded,previous_block_row_column_identity;duplicate_candidate_block,"[78,79,94,135,136,151,203,283]","[20,21,36,46,77,78,93,103]",d9fae3270f2cb91e8c7da499009b715b5d9b5e8a8a687cfa8d62887cc255eaa4,40.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee57/ieee57_mixed_state_v00.json
ieee57_seeded_random_v00,ieee57,seeded_random,0,57201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee57_seeded_random_v01,ieee57,seeded_random,1,57201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee57_seeded_random_v02,ieee57,seeded_random,2,57201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee57_seeded_random_v03,ieee57,seeded_random,3,57201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
