candidate_id,ieee_case,policy,variant,candidate_linearization_seed,outcome_independent,selector_outcomes_used_for_inclusion,status,failure_reason,selected_rows,selected_columns,matrix_fingerprint,candidate_nonzeros,measurement_type_composition,state_type_composition,primary_structural_feasibility,secondary_structural_feasibility,candidate_file
ieee14_angle_dominant_v00,ieee14,angle_dominant,0,14201,True,False,included,,"[15,17,18,20,22,31,32,36]","[0,2,3,4,5,7,8,16]",acf299a90c40f5ef397058340ce993e4f087973bc56a61cdeb4d3479839b6200,40.0,"{""p_injection"":5,""q_injection"":3}","{""angle"":7,""voltage"":1}",completed,completed,candidates/ieee14/ieee14_angle_dominant_v00.json
ieee14_angle_dominant_v01,ieee14,angle_dominant,1,14201,True,False,included,,"[19,20,22,23,24,33,36,37]","[4,5,6,7,8,9,11,21]",9f90f532513b9b2566ec26487c485ad026e72f5e60aea0d922de657bd49310c0,29.0,"{""p_injection"":5,""q_injection"":3}","{""angle"":7,""voltage"":1}",completed,completed,candidates/ieee14/ieee14_angle_dominant_v01.json
ieee14_angle_dominant_v02,ieee14,angle_dominant,2,14201,True,False,included,,"[17,18,19,25,26,33,39,40]","[1,2,4,9,10,11,12,18]",8845802627eb2a9d42eeb784977904b80f4505b5c91e9a4d2d4933bbd97e8048,33.0,"{""p_injection"":5,""q_injection"":3}","{""angle"":7,""voltage"":1}",completed,completed,candidates/ieee14/ieee14_angle_dominant_v02.json
ieee14_angle_dominant_v03,ieee14,angle_dominant,3,14201,True,False,included,,"[15,17,18,20,22,29,31,32]","[0,2,3,6,7,12,16,17]",23a48020b8afb00b71c33cd7fa061c166cb9a48c2f763bf15c7a017a75675fa5,40.0,"{""p_injection"":5,""q_injection"":3}","{""angle"":6,""voltage"":2}",completed,completed,candidates/ieee14/ieee14_angle_dominant_v03.json
ieee14_branch_flow_heavy_v00,ieee14,branch_flow_heavy,0,14201,True,False,included,,"[42,48,56,57,62,68,76,77]","[0,2,3,7,13,16,17,21]",310b18346761940b276e34337079461a25fbfc389588ed369f75c5134cc5b45f,20.0,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_branch_flow_heavy_v00.json
ieee14_branch_flow_heavy_v01,ieee14,branch_flow_heavy,1,14201,True,False,included,,"[19,45,46,54,55,66,74,75]","[0,4,5,6,11,14,18,25]",32dab1cc48265c7f098a33c7c068283cb16615bbd0415780f42c5282f2d33997,22.0,"{""p_branch_flow"":4,""p_injection"":1,""q_branch_flow"":3}","{""angle"":5,""voltage"":3}",completed,completed,candidates/ieee14/ieee14_branch_flow_heavy_v01.json
ieee14_branch_flow_heavy_v02,ieee14,branch_flow_heavy,2,14201,True,False,included,,"[44,47,49,59,64,65,69,79]","[0,1,2,5,8,14,15,16]",e3accdd2632651ff5a5257144f47d22f9d34d19f0439ede19fe96631e3527627,24.0,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""angle"":5,""voltage"":3}",completed,completed,candidates/ieee14/ieee14_branch_flow_heavy_v02.json
ieee14_branch_flow_heavy_v03,ieee14,branch_flow_heavy,3,14201,True,False,included,,"[19,51,52,53,63,71,72,73]","[3,4,9,10,17,18,23,24]",6acf558ca5b53c73297aabf3c9f8aca3abc95e3a1333251f33002ce95a016620,34.0,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_branch_flow_heavy_v03.json
ieee14_injection_heavy_v00,ieee14,injection_heavy,0,14201,True,False,included,,"[15,17,18,22,29,31,32,36]","[0,2,3,7,14,16,17,21]",25244c36daaaefe18fb71691fd3ee9efc16877f0ca8e5b66a684bee6ea55d186,48.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_injection_heavy_v00.json
ieee14_injection_heavy_v01,ieee14,injection_heavy,1,14201,True,False,included,,"[14,19,20,23,28,33,34,37]","[3,5,7,9,13,17,21,23]",e88ccebba814fd1ed3d11f3d75b57c5748d50759968aea976d5881091516733d,28.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_injection_heavy_v01.json
ieee14_injection_heavy_v02,ieee14,injection_heavy,2,14201,True,False,included,,"[16,19,24,26,30,33,38,40]","[1,4,9,11,15,18,23,25]",66cfcc1a909bfb2f7b8e5513582bd63305a7ccfe0f4e7fdf9f7a953c1643acd3,32.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_injection_heavy_v02.json
ieee14_injection_heavy_v03,ieee14,injection_heavy,3,14201,True,False,included,,"[15,17,18,25,29,31,32,39]","[0,2,3,4,14,16,17,18]",c49907c08587b8edc0cd2ef1297a00c02685ec24fa6c166753616904e4f8c1c3,44.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_injection_heavy_v03.json
