instance_id,ieee_case,functional_id,functional_family,functional_vector,functional_norm,local_indices,state_metadata,semantic_status,selection_data_used,status,failure_reason,structural_group_id,structural_group_selection_order,realization_order,matrix_selection_seed,candidate_id,candidate_policy
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":1,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":4,""label"":""theta_6"",""local_index"":2,""state_type"":""angle""},{""bus_id"":7,""full_state_index"":5,""label"":""theta_7"",""local_index"":3,""state_type"":""angle""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,coordinate_e0,coordinate,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,[0],"[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""}]",metadata_grounded_state_coordinate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,signed_difference_e0_minus_e1,difference,"[0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,"[0,1]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":1,""state_type"":""angle""}]",metadata_grounded_compatible_state_difference,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_02_seed_14202_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":1,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":4,""label"":""theta_6"",""local_index"":2,""state_type"":""angle""},{""bus_id"":7,""full_state_index"":5,""label"":""theta_7"",""local_index"":3,""state_type"":""angle""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_01,1,2,14202,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_02_seed_14202_8x8,ieee14,coordinate_e0,coordinate,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,[0],"[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""}]",metadata_grounded_state_coordinate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_01,1,2,14202,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_02_seed_14202_8x8,ieee14,signed_difference_e0_minus_e1,difference,"[0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,"[0,1]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":1,""state_type"":""angle""}]",metadata_grounded_compatible_state_difference,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_01,1,2,14202,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_02_realization_01_seed_14201_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":0,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":1,""state_type"":""voltage""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":2,""state_type"":""voltage""},{""bus_id"":10,""full_state_index"":22,""label"":""V_10"",""local_index"":3,""state_type"":""voltage""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_02,2,1,14201,ieee14_lexicographic_metadata_v02,lexicographic_metadata
ieee14_structural_group_02_realization_01_seed_14201_8x8,ieee14,coordinate_e0,coordinate,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,[0],"[{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":0,""state_type"":""voltage""}]",metadata_grounded_state_coordinate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_02,2,1,14201,ieee14_lexicographic_metadata_v02,lexicographic_metadata
ieee14_structural_group_02_realization_01_seed_14201_8x8,ieee14,signed_difference_e0_minus_e1,difference,"[0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0]",1.0,"[0,1]","[{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":0,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":1,""state_type"":""voltage""}]",metadata_grounded_compatible_state_difference,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_02,2,1,14201,ieee14_lexicographic_metadata_v02,lexicographic_metadata
ieee14_structural_group_02_realization_02_seed_14202_8x8,ieee14,aggregate_e0_to_e3,aggregate,"[0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0]",1.0,"[0,1,2,3]","[{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":0,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":1,""state_type"":""voltage""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":2,""state_type"":""voltage""},{""bus_id"":10,""full_state_index"":22,""label"":""V_10"",""local_index"":3,""state_type"":""voltage""}]",metadata_grounded_state_aggregate,state_metadata_only_no_output_accuracy,completed,,ieee14_structural_group_02,2,2,14202,ieee14_lexicographic_metadata_v02,lexicographic_metadata
