instance_id,structural_group_id,structural_group_selection_order,candidate_id,candidate_policy,ieee_case,realization_order,matrix_selection_seed,matrix_shape,candidate_nonzeros,matrix_fingerprint,selected_rows,selected_columns,state_metadata,measurement_metadata,condition_number,spectral_norm,regularization_alpha,regularization_policy,reference_mu,reference_beta,lambda_ref,development_or_evaluation,inclusion_status,primary_structural_feasibility,secondary_structural_feasibility,selector_outcomes_used_for_inclusion
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14_structural_group_01,1,ieee14_lexicographic_metadata_v01,lexicographic_metadata,ieee14,1,14201,"[8,8]",17,954dcecbdfc1e0d5a48e875139bbce2aa0421fcb82ba4f61518558946e2979f1,"[50,51,52,53,54,55,56,57]","[2,3,4,5,6,7,18,22]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":1,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":4,""label"":""theta_6"",""local_index"":2,""state_type"":""angle""},{""bus_id"":7,""full_state_index"":5,""label"":""theta_7"",""local_index"":3,""state_type"":""angle""},{""bus_id"":8,""full_state_index"":6,""label"":""theta_8"",""local_index"":4,""state_type"":""angle""},{""bus_id"":9,""full_state_index"":7,""label"":""theta_9"",""local_index"":5,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":18,""label"":""V_6"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":10,""full_state_index"":22,""label"":""V_10"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":50,""local_index"":0,""measurement_label"":""P_4_9"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":51,""local_index"":1,""measurement_label"":""P_5_6"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":52,""local_index"":2,""measurement_label"":""P_6_11"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":53,""local_index"":3,""measurement_label"":""P_6_12"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":54,""local_index"":4,""measurement_label"":""P_6_13"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":55,""local_index"":5,""measurement_label"":""P_7_8"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":56,""local_index"":6,""measurement_label"":""P_7_9"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":57,""local_index"":7,""measurement_label"":""P_9_10"",""measurement_type"":""p_branch_flow""}]",2.342526920235687e+17,886.2935971818898,206842.98589197322,frozen_lambda_ref_times_full_candidate_reference_beta_squared,575.168889205989,1725.506667617967,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_01_realization_02_seed_14202_8x8,ieee14_structural_group_01,1,ieee14_lexicographic_metadata_v01,lexicographic_metadata,ieee14,2,14202,"[8,8]",17,c1399edcdd1ed5a9afa270eac5fa19070427e251318d30ebe43b86c8828b6116,"[50,51,52,53,54,55,56,57]","[2,3,4,5,6,7,18,22]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":1,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":4,""label"":""theta_6"",""local_index"":2,""state_type"":""angle""},{""bus_id"":7,""full_state_index"":5,""label"":""theta_7"",""local_index"":3,""state_type"":""angle""},{""bus_id"":8,""full_state_index"":6,""label"":""theta_8"",""local_index"":4,""state_type"":""angle""},{""bus_id"":9,""full_state_index"":7,""label"":""theta_9"",""local_index"":5,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":18,""label"":""V_6"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":10,""full_state_index"":22,""label"":""V_10"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":50,""local_index"":0,""measurement_label"":""P_4_9"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":51,""local_index"":1,""measurement_label"":""P_5_6"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":52,""local_index"":2,""measurement_label"":""P_6_11"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":53,""local_index"":3,""measurement_label"":""P_6_12"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":54,""local_index"":4,""measurement_label"":""P_6_13"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":55,""local_index"":5,""measurement_label"":""P_7_8"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":56,""local_index"":6,""measurement_label"":""P_7_9"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":57,""local_index"":7,""measurement_label"":""P_9_10"",""measurement_type"":""p_branch_flow""}]",2.391075612497769e+16,894.2567820762142,208117.01451159845,frozen_lambda_ref_times_full_candidate_reference_beta_squared,576.9375174986446,1730.812552495934,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_02_realization_01_seed_14201_8x8,ieee14_structural_group_02,2,ieee14_lexicographic_metadata_v02,lexicographic_metadata,ieee14,1,14201,"[8,8]",20,7833623190ebace3a6e39b45d275e9a665b311f04e4a34ebaf459c572557395e,"[15,16,17,18,24,25,26,27]","[14,15,16,22,23,24,25,26]","[{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":0,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":1,""state_type"":""voltage""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":2,""state_type"":""voltage""},{""bus_id"":10,""full_state_index"":22,""label"":""V_10"",""local_index"":3,""state_type"":""voltage""},{""bus_id"":11,""full_state_index"":23,""label"":""V_11"",""local_index"":4,""state_type"":""voltage""},{""bus_id"":12,""full_state_index"":24,""label"":""V_12"",""local_index"":5,""state_type"":""voltage""},{""bus_id"":13,""full_state_index"":25,""label"":""V_13"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":14,""full_state_index"":26,""label"":""V_14"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":15,""local_index"":0,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""full_measurement_index"":16,""local_index"":1,""measurement_label"":""P_inj_3"",""measurement_type"":""p_injection""},{""full_measurement_index"":17,""local_index"":2,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""full_measurement_index"":18,""local_index"":3,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""full_measurement_index"":24,""local_index"":4,""measurement_label"":""P_inj_11"",""measurement_type"":""p_injection""},{""full_measurement_index"":25,""local_index"":5,""measurement_label"":""P_inj_12"",""measurement_type"":""p_injection""},{""full_measurement_index"":26,""local_index"":6,""measurement_label"":""P_inj_13"",""measurement_type"":""p_injection""},{""full_measurement_index"":27,""local_index"":7,""measurement_label"":""P_inj_14"",""measurement_type"":""p_injection""}]",,412.96922997162244,72402.59606581759,frozen_lambda_ref_times_full_candidate_reference_beta_squared,340.29224905362946,1020.8767471608884,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_02_realization_02_seed_14202_8x8,ieee14_structural_group_02,2,ieee14_lexicographic_metadata_v02,lexicographic_metadata,ieee14,2,14202,"[8,8]",20,16119aba633d386a3a8942d6962a7df87c7c5a7089570202f34a6603102258d7,"[15,16,17,18,24,25,26,27]","[14,15,16,22,23,24,25,26]","[{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":0,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":1,""state_type"":""voltage""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":2,""state_type"":""voltage""},{""bus_id"":10,""full_state_index"":22,""label"":""V_10"",""local_index"":3,""state_type"":""voltage""},{""bus_id"":11,""full_state_index"":23,""label"":""V_11"",""local_index"":4,""state_type"":""voltage""},{""bus_id"":12,""full_state_index"":24,""label"":""V_12"",""local_index"":5,""state_type"":""voltage""},{""bus_id"":13,""full_state_index"":25,""label"":""V_13"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":14,""full_state_index"":26,""label"":""V_14"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":15,""local_index"":0,""measurement_label"":""P_inj_2"",""measurement_type"":""p_injection""},{""full_measurement_index"":16,""local_index"":1,""measurement_label"":""P_inj_3"",""measurement_type"":""p_injection""},{""full_measurement_index"":17,""local_index"":2,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""full_measurement_index"":18,""local_index"":3,""measurement_label"":""P_inj_5"",""measurement_type"":""p_injection""},{""full_measurement_index"":24,""local_index"":4,""measurement_label"":""P_inj_11"",""measurement_type"":""p_injection""},{""full_measurement_index"":25,""local_index"":5,""measurement_label"":""P_inj_12"",""measurement_type"":""p_injection""},{""full_measurement_index"":26,""local_index"":6,""measurement_label"":""P_inj_13"",""measurement_type"":""p_injection""},{""full_measurement_index"":27,""local_index"":7,""measurement_label"":""P_inj_14"",""measurement_type"":""p_injection""}]",,423.2527180233656,73463.11323680496,frozen_lambda_ref_times_full_candidate_reference_beta_squared,342.7754048022589,1028.3262144067767,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_03_realization_01_seed_14201_8x8,ieee14_structural_group_03,3,ieee14_lexicographic_metadata_v03,lexicographic_metadata,ieee14,1,14201,"[8,8]",34,60e48ea7cc6e78abdb58f6da23a56ba17768676ee4af7c8a65befdca806c0ba3,"[17,22,31,34,36,63,65,79]","[2,7,8,9,16,17,19,21]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":9,""full_state_index"":7,""label"":""theta_9"",""local_index"":1,""state_type"":""angle""},{""bus_id"":10,""full_state_index"":8,""label"":""theta_10"",""local_index"":2,""state_type"":""angle""},{""bus_id"":11,""full_state_index"":9,""label"":""theta_11"",""local_index"":3,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":4,""state_type"":""voltage""},{""bus_id"":5,""full_state_index"":17,""label"":""V_5"",""local_index"":5,""state_type"":""voltage""},{""bus_id"":7,""full_state_index"":19,""label"":""V_7"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":9,""full_state_index"":21,""label"":""V_9"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":17,""local_index"":0,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""full_measurement_index"":22,""local_index"":1,""measurement_label"":""P_inj_9"",""measurement_type"":""p_injection""},{""full_measurement_index"":31,""local_index"":2,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""full_measurement_index"":34,""local_index"":3,""measurement_label"":""Q_inj_7"",""measurement_type"":""q_injection""},{""full_measurement_index"":36,""local_index"":4,""measurement_label"":""Q_inj_9"",""measurement_type"":""q_injection""},{""full_measurement_index"":63,""local_index"":5,""measurement_label"":""Q_1_5"",""measurement_type"":""q_branch_flow""},{""full_measurement_index"":65,""local_index"":6,""measurement_label"":""Q_2_4"",""measurement_type"":""q_branch_flow""},{""full_measurement_index"":79,""local_index"":7,""measurement_label"":""Q_10_11"",""measurement_type"":""q_branch_flow""}]",4014.514446681523,1607.8353739077897,1115749.0527047438,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1335.8517116760058,4007.5551350280175,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_03_realization_02_seed_14202_8x8,ieee14_structural_group_03,3,ieee14_lexicographic_metadata_v03,lexicographic_metadata,ieee14,2,14202,"[8,8]",34,1ebb8e8bafd1d1ce55b6d084cab7c7e81f3fc5bfd3e447a7232fb8970e4f6d23,"[17,22,31,34,36,63,65,79]","[2,7,8,9,16,17,19,21]","[{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":0,""state_type"":""angle""},{""bus_id"":9,""full_state_index"":7,""label"":""theta_9"",""local_index"":1,""state_type"":""angle""},{""bus_id"":10,""full_state_index"":8,""label"":""theta_10"",""local_index"":2,""state_type"":""angle""},{""bus_id"":11,""full_state_index"":9,""label"":""theta_11"",""local_index"":3,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":4,""state_type"":""voltage""},{""bus_id"":5,""full_state_index"":17,""label"":""V_5"",""local_index"":5,""state_type"":""voltage""},{""bus_id"":7,""full_state_index"":19,""label"":""V_7"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":9,""full_state_index"":21,""label"":""V_9"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":17,""local_index"":0,""measurement_label"":""P_inj_4"",""measurement_type"":""p_injection""},{""full_measurement_index"":22,""local_index"":1,""measurement_label"":""P_inj_9"",""measurement_type"":""p_injection""},{""full_measurement_index"":31,""local_index"":2,""measurement_label"":""Q_inj_4"",""measurement_type"":""q_injection""},{""full_measurement_index"":34,""local_index"":3,""measurement_label"":""Q_inj_7"",""measurement_type"":""q_injection""},{""full_measurement_index"":36,""local_index"":4,""measurement_label"":""Q_inj_9"",""measurement_type"":""q_injection""},{""full_measurement_index"":63,""local_index"":5,""measurement_label"":""Q_1_5"",""measurement_type"":""q_branch_flow""},{""full_measurement_index"":65,""local_index"":6,""measurement_label"":""Q_2_4"",""measurement_type"":""q_branch_flow""},{""full_measurement_index"":79,""local_index"":7,""measurement_label"":""Q_10_11"",""measurement_type"":""q_branch_flow""}]",3388.869415854341,1599.6374255742344,1110467.8144669791,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1332.6864303167151,3998.0592909501456,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_04_realization_01_seed_14201_8x8,ieee14_structural_group_04,4,ieee14_voltage_measurement_heavy_v00,voltage_measurement_heavy,ieee14,1,14201,"[8,8]",18,c2c7a1689e7e4d0c013baaabbbe97bce75577f122c8d1182e4e390ae7b69ee2a,"[0,1,2,3,42,48,62,68]","[0,2,3,13,14,15,16,17]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":1,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":2,""state_type"":""angle""},{""bus_id"":1,""full_state_index"":13,""label"":""V_1"",""local_index"":3,""state_type"":""voltage""},{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":4,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":5,""state_type"":""voltage""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":5,""full_state_index"":17,""label"":""V_5"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":0,""local_index"":0,""measurement_label"":""V_1"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":1,""local_index"":1,""measurement_label"":""V_2"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":2,""local_index"":2,""measurement_label"":""V_3"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":3,""local_index"":3,""measurement_label"":""V_4"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":42,""local_index"":4,""measurement_label"":""P_1_2"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":48,""local_index"":5,""measurement_label"":""P_4_5"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":62,""local_index"":6,""measurement_label"":""Q_1_2"",""measurement_type"":""q_branch_flow""},{""full_measurement_index"":68,""local_index"":7,""measurement_label"":""Q_4_5"",""measurement_type"":""q_branch_flow""}]",1.5284269534494954e+17,1690.1056137558187,782258.8527454449,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1118.5366821046048,3355.6100463138146,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee14_structural_group_04_realization_02_seed_14202_8x8,ieee14_structural_group_04,4,ieee14_voltage_measurement_heavy_v00,voltage_measurement_heavy,ieee14,2,14202,"[8,8]",18,9035916c66a5d3d30294c295d4302de362674e2a762daa80b6ef718291e7a76e,"[0,1,2,3,42,48,62,68]","[0,2,3,13,14,15,16,17]","[{""bus_id"":2,""full_state_index"":0,""label"":""theta_2"",""local_index"":0,""state_type"":""angle""},{""bus_id"":4,""full_state_index"":2,""label"":""theta_4"",""local_index"":1,""state_type"":""angle""},{""bus_id"":5,""full_state_index"":3,""label"":""theta_5"",""local_index"":2,""state_type"":""angle""},{""bus_id"":1,""full_state_index"":13,""label"":""V_1"",""local_index"":3,""state_type"":""voltage""},{""bus_id"":2,""full_state_index"":14,""label"":""V_2"",""local_index"":4,""state_type"":""voltage""},{""bus_id"":3,""full_state_index"":15,""label"":""V_3"",""local_index"":5,""state_type"":""voltage""},{""bus_id"":4,""full_state_index"":16,""label"":""V_4"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":5,""full_state_index"":17,""label"":""V_5"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":0,""local_index"":0,""measurement_label"":""V_1"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":1,""local_index"":1,""measurement_label"":""V_2"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":2,""local_index"":2,""measurement_label"":""V_3"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":3,""local_index"":3,""measurement_label"":""V_4"",""measurement_type"":""voltage_magnitude""},{""full_measurement_index"":42,""local_index"":4,""measurement_label"":""P_1_2"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":48,""local_index"":5,""measurement_label"":""P_4_5"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":62,""local_index"":6,""measurement_label"":""Q_1_2"",""measurement_type"":""q_branch_flow""},{""full_measurement_index"":68,""local_index"":7,""measurement_label"":""Q_4_5"",""measurement_type"":""q_branch_flow""}]",1.8631535572180208e+17,1673.4111572786474,770828.8812687009,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1110.3348649697482,3331.0045949092446,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee30_structural_group_01_realization_01_seed_30201_8x8,ieee30_structural_group_01,1,ieee30_lexicographic_metadata_v03,lexicographic_metadata,ieee30,1,30201,"[8,8]",23,874f5045b2caa8586def81f5c07e02b60c51d4280c8cba7a397f8066e91c0a50,"[98,99,100,101,102,103,129,130]","[4,5,6,7,8,26,34,37]","[{""bus_id"":6,""full_state_index"":4,""label"":""theta_6"",""local_index"":0,""state_type"":""angle""},{""bus_id"":7,""full_state_index"":5,""label"":""theta_7"",""local_index"":1,""state_type"":""angle""},{""bus_id"":8,""full_state_index"":6,""label"":""theta_8"",""local_index"":2,""state_type"":""angle""},{""bus_id"":9,""full_state_index"":7,""label"":""theta_9"",""local_index"":3,""state_type"":""angle""},{""bus_id"":10,""full_state_index"":8,""label"":""theta_10"",""local_index"":4,""state_type"":""angle""},{""bus_id"":28,""full_state_index"":26,""label"":""theta_28"",""local_index"":5,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":34,""label"":""V_6"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":9,""full_state_index"":37,""label"":""V_9"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":98,""local_index"":0,""measurement_label"":""P_6_7"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":99,""local_index"":1,""measurement_label"":""P_6_8"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":100,""local_index"":2,""measurement_label"":""P_6_9"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":101,""local_index"":3,""measurement_label"":""P_6_10"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":102,""local_index"":4,""measurement_label"":""P_9_11"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":103,""local_index"":5,""measurement_label"":""P_9_10"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":129,""local_index"":6,""measurement_label"":""P_8_28"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":130,""local_index"":7,""measurement_label"":""P_6_28"",""measurement_type"":""p_branch_flow""}]",2082.6260577663766,1890.2361247773265,863009.6471016895,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1174.8510601571866,3524.5531804715597,0.06947163416534002,structural_evaluation,included,completed,completed,False
ieee30_structural_group_01_realization_02_seed_30202_8x8,ieee30_structural_group_01,1,ieee30_lexicographic_metadata_v03,lexicographic_metadata,ieee30,2,30202,"[8,8]",23,afa14864f94e1dc2506edf1f57f9c488765dd1feaf0d4945710a4d62f9091f5d,"[98,99,100,101,102,103,129,130]","[4,5,6,7,8,26,34,37]","[{""bus_id"":6,""full_state_index"":4,""label"":""theta_6"",""local_index"":0,""state_type"":""angle""},{""bus_id"":7,""full_state_index"":5,""label"":""theta_7"",""local_index"":1,""state_type"":""angle""},{""bus_id"":8,""full_state_index"":6,""label"":""theta_8"",""local_index"":2,""state_type"":""angle""},{""bus_id"":9,""full_state_index"":7,""label"":""theta_9"",""local_index"":3,""state_type"":""angle""},{""bus_id"":10,""full_state_index"":8,""label"":""theta_10"",""local_index"":4,""state_type"":""angle""},{""bus_id"":28,""full_state_index"":26,""label"":""theta_28"",""local_index"":5,""state_type"":""angle""},{""bus_id"":6,""full_state_index"":34,""label"":""V_6"",""local_index"":6,""state_type"":""voltage""},{""bus_id"":9,""full_state_index"":37,""label"":""V_9"",""local_index"":7,""state_type"":""voltage""}]","[{""full_measurement_index"":98,""local_index"":0,""measurement_label"":""P_6_7"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":99,""local_index"":1,""measurement_label"":""P_6_8"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":100,""local_index"":2,""measurement_label"":""P_6_9"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":101,""local_index"":3,""measurement_label"":""P_6_10"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":102,""local_index"":4,""measurement_label"":""P_9_11"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":103,""local_index"":5,""measurement_label"":""P_9_10"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":129,""local_index"":6,""measurement_label"":""P_8_28"",""measurement_type"":""p_branch_flow""},{""full_measurement_index"":130,""local_index"":7,""measurement_label"":""P_6_28"",""measurement_type"":""p_branch_flow""}]",3142.2093949865443,1889.5624884075396,870432.5992449255,frozen_lambda_ref_times_full_candidate_reference_beta_squared,1179.892829321608,3539.678487964824,0.06947163416534002,structural_evaluation,included,completed,completed,False
