structural_group_id,ieee_case,selector,realization_count,support_records,median_nonzeros,median_slots,median_gates,median_depth,median_cx,median_controlled_rotations,minimum_reconstruction_error,maximum_reconstruction_error
ieee14_structural_group_01,ieee14,balanced_magnitude,2,40,15.0,3.0,3981.0,2658.0,1674.0,24.0,1.5537715242196082e-14,5.019087888005935e-13
ieee14_structural_group_01,ieee14,leverage_weighted,2,40,15.0,3.0,3981.0,2658.0,1674.0,24.0,4.762677047073999e-14,5.019087888005935e-13
ieee14_structural_group_01,ieee14,random_objective_feasible,2,2,15.0,3.0,3977.5,2655.0,1674.0,24.0,2.5487083235618497e-13,3.245736741989301e-13
ieee14_structural_group_01,ieee14,sensitivity_initial_mean,2,40,15.0,4.0,4632.0,3057.0,1990.0,32.0,1.7708057242771247e-14,5.019087888005935e-13
ieee14_structural_group_01,ieee14,sensitivity_initial_worst_case,2,40,15.0,4.0,4632.0,3057.0,1990.0,32.0,4.0690923538749083e-14,4.0129011225076283e-13
ieee14_structural_group_01,ieee14,sensitivity_refined_mean,2,40,15.0,4.0,4632.0,3057.0,1990.0,32.0,5.930557754990033e-14,4.0129011225076283e-13
ieee14_structural_group_01,ieee14,sensitivity_refined_worst_case,2,40,15.0,4.0,4632.0,3057.0,1990.0,32.0,4.0690923538749083e-14,4.0129011225076283e-13
ieee14_structural_group_02,ieee14,balanced_magnitude,2,40,16.0,3.0,3968.0,2648.0,1674.0,24.0,2.1094237467877974e-14,4.580225088091083e-13
ieee14_structural_group_02,ieee14,leverage_weighted,2,40,16.0,3.0,4031.5,2775.0,1737.5,24.0,2.1094237467877974e-14,4.502231920611166e-13
ieee14_structural_group_02,ieee14,random_objective_feasible,2,2,16.0,3.0,3529.0,2334.0,1515.0,24.0,8.076872504148015e-14,8.287814878826795e-14
ieee14_structural_group_02,ieee14,sensitivity_initial_mean,2,40,16.0,3.0,3974.0,2652.0,1674.0,24.0,8.222637314468481e-14,3.0011410023789153e-13
ieee14_structural_group_02,ieee14,sensitivity_initial_worst_case,2,40,16.0,3.0,3974.0,2652.0,1674.0,24.0,8.222637314468481e-14,3.143943438921326e-13
ieee14_structural_group_02,ieee14,sensitivity_refined_mean,2,40,16.0,3.0,3926.0,2617.0,1661.0,24.0,8.222637314468481e-14,3.0011410023789153e-13
ieee14_structural_group_02,ieee14,sensitivity_refined_worst_case,2,40,16.0,3.0,3950.0,2636.0,1667.5,24.0,8.222637314468481e-14,3.0011410023789153e-13
ieee14_structural_group_03,ieee14,balanced_magnitude,2,50,15.0,3.0,3968.0,2647.0,1672.0,24.0,1.4830364825910704e-13,4.241321177549882e-13
ieee14_structural_group_03,ieee14,leverage_weighted,2,50,14.0,3.0,3968.0,2647.0,1672.0,24.0,2.6538693435115662e-14,1.0255297406046656e-11
ieee14_structural_group_03,ieee14,random_objective_feasible,2,2,16.0,3.0,3976.0,2654.5,1674.0,24.0,2.7283015000815543e-13,4.645007997207467e-13
ieee14_structural_group_03,ieee14,sensitivity_initial_mean,2,50,14.0,3.0,3968.0,2648.0,1672.0,24.0,1.6209256159527282e-14,7.587945708487644e-13
ieee14_structural_group_03,ieee14,sensitivity_initial_worst_case,2,50,14.0,3.0,3952.0,2638.0,1670.0,24.0,1.6209256159527282e-14,7.59038390237822e-13
ieee14_structural_group_03,ieee14,sensitivity_refined_mean,2,50,14.0,3.0,3977.0,2654.0,1673.0,24.0,1.6209256159527282e-14,7.59038390237822e-13
ieee14_structural_group_03,ieee14,sensitivity_refined_worst_case,2,50,14.0,3.0,3972.0,2651.0,1673.0,24.0,1.6209256159527282e-14,7.59038390237822e-13
