instance_id,ieee_case,support_id,selector,k_budget,slot_budget,support_fingerprint,sparse_matrix_fingerprint,random_replicate,resource_record_type,status,failure_reason,stage,last_completed_checkpoint,actual_nonzeros,actual_max_row_degree,actual_max_column_degree,minimum_slot_count,slot_count,normalization_mu,native_beta,signal_unitary_gate_count,signal_unitary_depth,cx_count,controlled_rotations,wrapper_reconstruction_error,wrapper_reconstruction_tolerance,wrapper_reconstruction_holds,wrapper_statevector_error,wrapper_unitarity_error,slot_assignment_valid,real_edges_covered_exactly_once,resource_measurement,value_semantics,missing_cost_is_zero,resource_fingerprint,resource_cache_hit,structural_group_id,structural_group_selection_order,realization_order,matrix_selection_seed,candidate_id,candidate_policy
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__balanced_magnitude_k8_s2_failed,balanced_magnitude,8,2,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__leverage_weighted_k8_s2_failed,leverage_weighted,8,2,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__sensitivity_initial_mean_k8_s2_failed,sensitivity_initial_mean,8,2,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__sensitivity_initial_worst_case_k8_s2_failed,sensitivity_initial_worst_case,8,2,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__sensitivity_refined_mean_k8_s2_failed,sensitivity_refined_mean,8,2,,,,executed_sparse_signal_unitary,failed,support_budget_infeasible: initial sensitivity support unavailable,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__sensitivity_refined_worst_case_k8_s2_failed,sensitivity_refined_worst_case,8,2,,,,executed_sparse_signal_unitary,failed,support_budget_infeasible: initial sensitivity support unavailable,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__balanced_magnitude_k8_s3_failed,balanced_magnitude,8,3,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__leverage_weighted_k8_s3_failed,leverage_weighted,8,3,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__sensitivity_initial_mean_k8_s3_failed,sensitivity_initial_mean,8,3,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01_realization_01_seed_14201_8x8__sensitivity_initial_worst_case_k8_s3_failed,sensitivity_initial_worst_case,8,3,,,,executed_sparse_signal_unitary,failed,MILP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); coverage_constraint_infeasible,resources,supports,,,,,,,,,,,,,,,,,,,,,,,,ieee14_structural_group_01,1,1,14201,ieee14_lexicographic_metadata_v01,lexicographic_metadata
