bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
0,12,-0.00032093672392834866,-0.06300453853307002,structural_group,case_stratified,8675310
1,12,0.0,-0.009530015988170722,structural_group,case_stratified,8675310
2,12,-0.010676065736833856,-0.07344780150352824,structural_group,case_stratified,8675310
3,12,-0.0034439534025555232,-0.017101634063533044,structural_group,case_stratified,8675310
4,12,-0.008461049547044103,-0.01669418273385132,structural_group,case_stratified,8675310
5,12,-0.0034439534025555232,-0.06406719175902892,structural_group,case_stratified,8675310
6,12,-0.010676065736833856,-0.12766612400574387,structural_group,case_stratified,8675310
7,12,0.0,-0.060715223311958444,structural_group,case_stratified,8675310
8,12,-0.0034439534025555232,-0.015909189706684722,structural_group,case_stratified,8675310
9,12,-0.008461049547044103,-0.1227959481223142,structural_group,case_stratified,8675310
10,12,-0.0034439534025555232,-0.06282125794819253,structural_group,case_stratified,8675310
11,12,-0.021288940384876134,-0.12948842590107232,structural_group,case_stratified,8675310
12,12,-0.0034439534025555232,-0.0661516841113462,structural_group,case_stratified,8675310
13,12,0.0,-0.0723357231499937,structural_group,case_stratified,8675310
14,12,-0.00032093672392834866,-0.021321283691824903,structural_group,case_stratified,8675310
15,12,-0.03190181503291841,-0.07622577771683946,structural_group,case_stratified,8675310
16,12,-0.00032093672392834866,-0.06172438708392928,structural_group,case_stratified,8675310
17,12,-0.0031230166786271746,-0.015279332168204608,structural_group,case_stratified,8675310
18,12,-0.0031230166786271746,-0.06942112064904167,structural_group,case_stratified,8675310
19,12,-0.01907392419508638,-0.12398839247916253,structural_group,case_stratified,8675310
20,12,-0.006246033357254349,-0.01816991115200733,structural_group,case_stratified,8675310
21,12,-0.006246033357254349,-0.12402023426673409,structural_group,case_stratified,8675310
22,12,-0.021288940384876134,-0.12441105129811553,structural_group,case_stratified,8675310
23,12,-0.008461049547044103,-0.06930207770140495,structural_group,case_stratified,8675310
24,12,-0.03983392994862024,-0.18431506365785122,structural_group,case_stratified,8675310
25,12,-0.03190181503291841,-0.12901695326927057,structural_group,case_stratified,8675310
26,12,-0.00032093672392834866,-0.0618337418426382,structural_group,case_stratified,8675310
27,12,0.0,-0.005737252140373283,structural_group,case_stratified,8675310
28,12,-0.01907392419508638,-0.07190100029138008,structural_group,case_stratified,8675310
29,12,-0.010676065736833856,-0.17102034732751117,structural_group,case_stratified,8675310
30,12,-0.008461049547044103,-0.02284627460242757,structural_group,case_stratified,8675310
31,12,-0.0034439534025555232,-0.11590997682982661,structural_group,case_stratified,8675310
32,12,-0.00032093672392834866,-0.0626699245333863,structural_group,case_stratified,8675310
33,12,0.0,-0.010972138082749326,structural_group,case_stratified,8675310
34,12,-0.0034439534025555232,-0.06241848225965017,structural_group,case_stratified,8675310
35,12,-0.006246033357254349,-0.07207960523511821,structural_group,case_stratified,8675310
36,12,-0.021288940384876134,-0.1258212262226229,structural_group,case_stratified,8675310
37,12,-0.006246033357254349,-0.020121787843104418,structural_group,case_stratified,8675310
38,12,-0.0006418734478566973,-0.013905458337287393,structural_group,case_stratified,8675310
39,12,-0.00032093672392834866,-0.005065310563296155,structural_group,case_stratified,8675310
40,12,-0.00032093672392834866,-0.059337338854620614,structural_group,case_stratified,8675310
41,12,0.0,-0.009404451818822691,structural_group,case_stratified,8675310
42,12,0.0,-0.053615294203518626,structural_group,case_stratified,8675310
43,12,0.0,-0.0576243917180011,structural_group,case_stratified,8675310
44,12,-0.021288940384876134,-0.07328963293197062,structural_group,case_stratified,8675310
45,12,-0.0031230166786271746,-0.07285622592976489,structural_group,case_stratified,8675310
46,12,-0.021288940384876134,-0.07464024586037656,structural_group,case_stratified,8675310
47,12,-0.036226347372473364,-0.1823894048918103,structural_group,case_stratified,8675310
48,12,0.0,-0.0685490318443096,structural_group,case_stratified,8675310
49,12,-0.021288940384876134,-0.02842728534237808,structural_group,case_stratified,8675310
50,12,-0.006246033357254349,-0.06609581880662534,structural_group,case_stratified,8675310
51,12,-0.0034439534025555232,-0.015266819448946046,structural_group,case_stratified,8675310
52,12,-0.021288940384876134,-0.0711972169267314,structural_group,case_stratified,8675310
53,12,-0.008461049547044103,-0.06893974349319137,structural_group,case_stratified,8675310
54,12,-0.021288940384876134,-0.07588387988080639,structural_group,case_stratified,8675310
55,12,-0.010676065736833856,-0.12244198624662055,structural_group,case_stratified,8675310
56,12,-0.0034439534025555232,-0.06591208954214989,structural_group,case_stratified,8675310
57,12,-0.008461049547044103,-0.016823757529619968,structural_group,case_stratified,8675310
58,12,-0.008461049547044103,-0.0701321878500397,structural_group,case_stratified,8675310
59,12,-0.0034439534025555232,-0.11485746047239347,structural_group,case_stratified,8675310
60,12,-0.0006418734478566973,-0.1680532343223299,structural_group,case_stratified,8675310
61,12,-0.0034439534025555232,-0.06782590060365098,structural_group,case_stratified,8675310
62,12,-0.021288940384876134,-0.126727638048159,structural_group,case_stratified,8675310
63,12,-0.0034439534025555232,-0.06194679329272767,structural_group,case_stratified,8675310
64,12,0.0,-0.008943511035152904,structural_group,case_stratified,8675310
65,12,-0.00032093672392834866,-0.0631416135003088,structural_group,case_stratified,8675310
66,12,-0.005338032868416928,-0.12097832186812513,structural_group,case_stratified,8675310
67,12,-0.005658969592345277,-0.06894441913433073,structural_group,case_stratified,8675310
68,12,-0.00032093672392834866,-0.004586786439622278,structural_group,case_stratified,8675310
69,12,0.0,-0.01320189130775949,structural_group,case_stratified,8675310
70,12,-0.01907392419508638,-0.07597934799089177,structural_group,case_stratified,8675310
71,12,-0.006246033357254349,-0.0679407165897463,structural_group,case_stratified,8675310
72,12,-0.036226347372473364,-0.23059859660773604,structural_group,case_stratified,8675310
73,12,-0.05044680459666252,-0.18712955729987335,structural_group,case_stratified,8675310
74,12,0.0,-0.01652764182977379,structural_group,case_stratified,8675310
75,12,-0.0034439534025555232,-0.014296386321289939,structural_group,case_stratified,8675310
76,12,-0.005658969592345277,-0.17255891648193397,structural_group,case_stratified,8675310
77,12,-0.00032093672392834866,-0.005801489777614053,structural_group,case_stratified,8675310
78,12,-0.015950907516459206,-0.018961955671046086,structural_group,case_stratified,8675310
79,12,-0.006246033357254349,-0.11993483507535023,structural_group,case_stratified,8675310
80,12,0.0,-0.00627819129232499,structural_group,case_stratified,8675310
81,12,0.0,-0.06557486734725619,structural_group,case_stratified,8675310
82,12,-0.0034439534025555232,-0.06566302311914655,structural_group,case_stratified,8675310
83,12,-0.00032093672392834866,-0.006859018682835625,structural_group,case_stratified,8675310
84,12,-0.01907392419508638,-0.0714953134977042,structural_group,case_stratified,8675310
85,12,-0.021288940384876134,-0.024869440422637588,structural_group,case_stratified,8675310
86,12,-0.00032093672392834866,-0.11514542017484053,structural_group,case_stratified,8675310
87,12,-0.006246033357254349,-0.06964352685784007,structural_group,case_stratified,8675310
88,12,-0.0006418734478566973,-0.06958396486173865,structural_group,case_stratified,8675310
89,12,-0.0006418734478566973,-0.11377437087425407,structural_group,case_stratified,8675310
90,12,-0.0034439534025555232,-0.01297066907108309,structural_group,case_stratified,8675310
91,12,-0.01907392419508638,-0.12456476056365458,structural_group,case_stratified,8675310
92,12,-0.021288940384876134,-0.17807146262310228,structural_group,case_stratified,8675310
93,12,-0.005338032868416928,-0.013158933701903361,structural_group,case_stratified,8675310
94,12,-0.0006418734478566973,-0.06556517915832838,structural_group,case_stratified,8675310
95,12,-0.00032093672392834866,-0.0692983810100244,structural_group,case_stratified,8675310
96,12,-0.005658969592345277,-0.07198176127430002,structural_group,case_stratified,8675310
97,12,0.0,-0.017128905592464938,structural_group,case_stratified,8675310
98,12,-0.006246033357254349,-0.12479685496138077,structural_group,case_stratified,8675310
99,12,0.0,-0.06675532372477015,structural_group,case_stratified,8675310
100,12,-0.0034439534025555232,-0.11533130895492799,structural_group,case_stratified,8675310
