candidate_id,ieee_case,selected_rows,selected_columns,row_set,column_set,support_cells,support_pattern,support_pattern_fingerprint,measurement_type_histogram,measurement_type_proportions,state_type_histogram,state_type_proportions,row_degree_profile,column_degree_profile,row_degree_histogram,column_degree_histogram,nonzeros,rank,condition_number,spectral_norm,frobenius_norm,max_absolute_entry,singular_values,descriptor_uses_selector_or_output_results,policy,variant,descriptor_data_scope
ieee14_angle_dominant_v00,ieee14,"[15,17,18,20,22,31,32,36]","[0,2,3,4,5,7,8,16]","[15,17,18,20,22,31,32,36]","[0,2,3,4,5,7,8,16]","[[15,0],[15,2],[15,3],[15,16],[17,0],[17,2],[17,3],[17,5],[17,7],[17,16],[18,0],[18,2],[18,3],[18,4],[18,16],[20,2],[20,5],[20,7],[20,16],[22,2],[22,5],[22,7],[22,8],[22,16],[31,0],[31,2],[31,3],[31,5],[31,7],[31,16],[32,0],[32,2],[32,3],[32,4],[32,16],[36,2],[36,5],[36,7],[36,8],[36,16]]","[[1,1,1,0,0,0,0,1],[1,1,1,0,1,1,0,1],[1,1,1,1,0,0,0,1],[0,1,0,0,1,1,0,1],[0,1,0,0,1,1,1,1],[1,1,1,0,1,1,0,1],[1,1,1,1,0,0,0,1],[0,1,0,0,1,1,1,1]]",b4dd119ea8235422b3b9070fd9d7352d459abc537b37e72cf4d6468a19c052ab,"{""p_injection"":5,""q_injection"":3}","{""p_injection"":0.625,""q_injection"":0.375}","{""angle"":7,""voltage"":1}","{""angle"":0.875,""voltage"":0.125}","[4,6,5,4,5,6,5,5]","[5,8,5,2,5,5,2,8]","{""4"":2,""5"":4,""6"":2}","{""2"":2,""5"":4,""8"":2}",40,8,80.545753560261,2147.494885247878,3242.709110208761,1335.8517116760058,"[2147.494885247878,1564.02513002524,1228.8866593809353,1198.4680595277882,605.119563781231,377.2163477645737,39.908162776933594,26.661801402617844]",False,angle_dominant,0,matrix_structure_and_metadata_only
ieee14_angle_dominant_v01,ieee14,"[19,20,22,23,24,33,36,37]","[4,5,6,7,8,9,11,21]","[19,20,22,23,24,33,36,37]","[4,5,6,7,8,9,11,21]","[[19,4],[19,9],[19,11],[20,5],[20,6],[20,7],[20,21],[22,5],[22,7],[22,8],[22,21],[23,7],[23,8],[23,9],[23,21],[24,4],[24,8],[24,9],[33,4],[33,9],[33,11],[36,5],[36,7],[36,8],[36,21],[37,7],[37,8],[37,9],[37,21]]","[[1,0,0,0,0,1,1,0],[0,1,1,1,0,0,0,1],[0,1,0,1,1,0,0,1],[0,0,0,1,1,1,0,1],[1,0,0,0,1,1,0,0],[1,0,0,0,0,1,1,0],[0,1,0,1,1,0,0,1],[0,0,0,1,1,1,0,1]]",e35925c6201c14de8fb2de48184d5344e3da451a60a7c04d243e0c052724468c,"{""p_injection"":5,""q_injection"":3}","{""p_injection"":0.625,""q_injection"":0.375}","{""angle"":7,""voltage"":1}","{""angle"":0.875,""voltage"":0.125}","[3,4,4,4,3,3,4,4]","[3,3,1,5,5,5,2,5]","{""3"":3,""4"":5}","{""1"":1,""2"":1,""3"":2,""5"":4}",29,8,203.6448356501016,1344.6481092183817,2005.6727620794077,899.5929239869998,"[1344.6481092183817,958.4842958977383,806.1312065190521,707.7528035208173,354.9262509819458,136.86833656273961,21.019249305896725,6.602907974198415]",False,angle_dominant,1,matrix_structure_and_metadata_only
ieee14_angle_dominant_v02,ieee14,"[17,18,19,25,26,33,39,40]","[1,2,4,9,10,11,12,18]","[17,18,19,25,26,33,39,40]","[1,2,4,9,10,11,12,18]","[[17,1],[17,2],[18,2],[18,4],[18,18],[19,4],[19,9],[19,10],[19,11],[19,18],[25,4],[25,10],[25,11],[25,18],[26,4],[26,10],[26,11],[26,12],[26,18],[33,4],[33,9],[33,10],[33,11],[33,18],[39,4],[39,10],[39,11],[39,18],[40,4],[40,10],[40,11],[40,12],[40,18]]","[[1,1,0,0,0,0,0,0],[0,1,1,0,0,0,0,1],[0,0,1,1,1,1,0,1],[0,0,1,0,1,1,0,1],[0,0,1,0,1,1,1,1],[0,0,1,1,1,1,0,1],[0,0,1,0,1,1,0,1],[0,0,1,0,1,1,1,1]]",b040e76e784fbe24d23372ba0521a5c454b1480937673d9cff8190ddd855eebb,"{""p_injection"":5,""q_injection"":3}","{""p_injection"":0.625,""q_injection"":0.375}","{""angle"":7,""voltage"":1}","{""angle"":0.875,""voltage"":0.125}","[2,3,5,4,5,5,4,5]","[1,2,7,2,6,6,2,7]","{""2"":1,""3"":1,""4"":2,""5"":4}","{""1"":1,""2"":3,""6"":2,""7"":2}",33,8,328.93707605547183,1547.7066302170988,1979.4389438817086,1335.8517116760058,"[1547.7066302170988,884.5210722093839,710.0601302859823,456.59286896428534,137.19097733702586,93.84354248999645,9.625078663270587,4.705175375110631]",False,angle_dominant,2,matrix_structure_and_metadata_only
ieee14_angle_dominant_v03,ieee14,"[15,17,18,20,22,29,31,32]","[0,2,3,6,7,12,16,17]","[15,17,18,20,22,29,31,32]","[0,2,3,6,7,12,16,17]","[[15,0],[15,2],[15,3],[15,16],[15,17],[17,0],[17,2],[17,3],[17,7],[17,16],[17,17],[18,0],[18,2],[18,3],[18,16],[18,17],[20,2],[20,6],[20,7],[20,16],[22,2],[22,7],[22,12],[22,16],[29,0],[29,2],[29,3],[29,16],[29,17],[31,0],[31,2],[31,3],[31,7],[31,16],[31,17],[32,0],[32,2],[32,3],[32,16],[32,17]]","[[1,1,1,0,0,0,1,1],[1,1,1,0,1,0,1,1],[1,1,1,0,0,0,1,1],[0,1,0,1,1,0,1,0],[0,1,0,0,1,1,1,0],[1,1,1,0,0,0,1,1],[1,1,1,0,1,0,1,1],[1,1,1,0,0,0,1,1]]",6e74c3d124304c199dfc61c87e72a2ef62c9147e9ebd0d9b8efe8b6c21a134ae,"{""p_injection"":5,""q_injection"":3}","{""p_injection"":0.625,""q_injection"":0.375}","{""angle"":6,""voltage"":2}","{""angle"":0.75,""voltage"":0.25}","[5,6,5,4,4,5,6,5]","[6,8,6,1,4,1,8,6]","{""4"":2,""5"":4,""6"":2}","{""1"":2,""4"":1,""6"":3,""8"":2}",40,8,2339.5617801471103,2142.3152765056434,3469.5791256393313,1335.8517116760058,"[2142.3152765056434,2082.2447279849143,1246.208395562944,970.9320064665937,601.7098512318663,464.19257045578416,198.6121988283344,0.9156908335076904]",False,angle_dominant,3,matrix_structure_and_metadata_only
ieee14_branch_flow_heavy_v00,ieee14,"[42,48,56,57,62,68,76,77]","[0,2,3,7,13,16,17,21]","[42,48,56,57,62,68,76,77]","[0,2,3,7,13,16,17,21]","[[42,0],[42,13],[48,2],[48,3],[48,16],[48,17],[56,7],[56,21],[57,7],[57,21],[62,0],[62,13],[68,2],[68,3],[68,16],[68,17],[76,7],[76,21],[77,7],[77,21]]","[[1,0,0,0,1,0,0,0],[0,1,1,0,0,1,1,0],[0,0,0,1,0,0,0,1],[0,0,0,1,0,0,0,1],[1,0,0,0,1,0,0,0],[0,1,1,0,0,1,1,0],[0,0,0,1,0,0,0,1],[0,0,0,1,0,0,0,1]]",f81e88ce1107b44fe3cf706677141ec3dd0b7dd3ea03343031253ef521043d67,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""p_branch_flow"":0.5,""q_branch_flow"":0.5}","{""angle"":4,""voltage"":4}","{""angle"":0.5,""voltage"":0.5}","[2,4,2,2,2,4,2,2]","[2,2,2,4,2,2,2,4]","{""2"":6,""4"":2}","{""2"":6,""4"":2}",20,6,2.496251957590191e+17,1689.8546260673963,2867.3872606768077,1118.5366821046048,"[1689.8546260673963,1612.173106446542,949.1344670549843,809.3354325130168,798.0278279367336,757.9382740478096,5.1436776194533875e-14,6.7695675547861474e-15]",False,branch_flow_heavy,0,matrix_structure_and_metadata_only
ieee14_branch_flow_heavy_v01,ieee14,"[19,45,46,54,55,66,74,75]","[0,4,5,6,11,14,18,25]","[19,45,46,54,55,66,74,75]","[0,4,5,6,11,14,18,25]","[[19,4],[19,11],[19,18],[19,25],[45,0],[45,14],[46,0],[46,14],[54,4],[54,11],[54,18],[54,25],[55,5],[55,6],[66,0],[66,14],[74,4],[74,11],[74,18],[74,25],[75,5],[75,6]]","[[0,1,0,0,1,0,1,1],[1,0,0,0,0,1,0,0],[1,0,0,0,0,1,0,0],[0,1,0,0,1,0,1,1],[0,0,1,1,0,0,0,0],[1,0,0,0,0,1,0,0],[0,1,0,0,1,0,1,1],[0,0,1,1,0,0,0,0]]",3d1572a82798939aff72567e116059f01b72d2d5e883d14ad86859a439352bf1,"{""p_branch_flow"":4,""p_injection"":1,""q_branch_flow"":3}","{""p_branch_flow"":0.5,""p_injection"":0.125,""q_branch_flow"":0.375}","{""angle"":5,""voltage"":3}","{""angle"":0.625,""voltage"":0.375}","[4,2,2,4,2,2,4,2]","[3,3,2,2,3,3,3,3]","{""2"":5,""4"":3}","{""2"":2,""3"":6}",22,6,1.8768193960445552e+20,900.2408784673212,1260.1165563322015,657.5689046379408,"[900.2408784673212,515.8831588758526,466.51458808390316,431.0506549261318,269.95499879586,187.10540688331287,3.596820326949658e-14,4.796630301054016e-18]",False,branch_flow_heavy,1,matrix_structure_and_metadata_only
ieee14_branch_flow_heavy_v02,ieee14,"[44,47,49,59,64,65,69,79]","[0,1,2,5,8,14,15,16]","[44,47,49,59,64,65,69,79]","[0,1,2,5,8,14,15,16]","[[44,0],[44,1],[44,14],[44,15],[47,1],[47,2],[47,15],[47,16],[49,2],[49,5],[49,16],[59,8],[64,0],[64,1],[64,14],[64,15],[65,0],[65,2],[65,14],[65,16],[69,2],[69,5],[69,16],[79,8]]","[[1,1,0,0,0,1,1,0],[0,1,1,0,0,0,1,1],[0,0,1,1,0,0,0,1],[0,0,0,0,1,0,0,0],[1,1,0,0,0,1,1,0],[1,0,1,0,0,1,0,1],[0,0,1,1,0,0,0,1],[0,0,0,0,1,0,0,0]]",6b2f8bba112595628796653d043081164d0ef45f2ba91c9c87c56fa89f8f6047,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""p_branch_flow"":0.5,""q_branch_flow"":0.5}","{""angle"":5,""voltage"":3}","{""angle"":0.625,""voltage"":0.375}","[4,4,3,1,4,4,3,1]","[3,3,4,2,2,3,3,4]","{""1"":2,""3"":2,""4"":4}","{""2"":2,""3"":4,""4"":2}",24,7,1.3065520380282902e+17,498.7443817363542,916.6258151771699,273.4838205896278,"[498.7443817363542,475.9476258404672,375.9109205448948,314.99187959637544,264.5390479942547,202.64432619088754,115.56923874813106,3.817256161407902e-15]",False,branch_flow_heavy,2,matrix_structure_and_metadata_only
ieee14_branch_flow_heavy_v03,ieee14,"[19,51,52,53,63,71,72,73]","[3,4,9,10,17,18,23,24]","[19,51,52,53,63,71,72,73]","[3,4,9,10,17,18,23,24]","[[19,3],[19,4],[19,9],[19,10],[19,17],[19,18],[19,23],[19,24],[51,3],[51,4],[51,17],[51,18],[52,4],[52,9],[52,18],[52,23],[53,4],[53,10],[53,18],[53,24],[63,3],[63,17],[71,3],[71,4],[71,17],[71,18],[72,4],[72,9],[72,18],[72,23],[73,4],[73,10],[73,18],[73,24]]","[[1,1,1,1,1,1,1,1],[1,1,0,0,1,1,0,0],[0,1,1,0,0,1,1,0],[0,1,0,1,0,1,0,1],[1,0,0,0,1,0,0,0],[1,1,0,0,1,1,0,0],[0,1,1,0,0,1,1,0],[0,1,0,1,0,1,0,1]]",83d6fdad9e84000fe074204b99ee52f124c23d22f6d87c4916c02df48320912e,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":4}","{""p_branch_flow"":0.375,""p_injection"":0.125,""q_branch_flow"":0.5}","{""angle"":4,""voltage"":4}","{""angle"":0.5,""voltage"":0.5}","[8,4,4,4,2,4,4,4]","[4,7,3,3,4,7,3,3]","{""2"":1,""4"":6,""8"":1}","{""3"":4,""4"":2,""7"":2}",34,8,14.906491364095842,875.7593751626655,1106.2619817178402,657.5689046379408,"[875.7593751626655,448.53181333854013,314.58084185855375,243.95905047358997,209.96776640797398,206.32188526508153,84.24017796378105,58.750201759217596]",False,branch_flow_heavy,3,matrix_structure_and_metadata_only
ieee14_injection_heavy_v00,ieee14,"[15,17,18,22,29,31,32,36]","[0,2,3,7,14,16,17,21]","[15,17,18,22,29,31,32,36]","[0,2,3,7,14,16,17,21]","[[15,0],[15,2],[15,3],[15,14],[15,16],[15,17],[17,0],[17,2],[17,3],[17,7],[17,14],[17,16],[17,17],[17,21],[18,0],[18,2],[18,3],[18,14],[18,16],[18,17],[22,2],[22,7],[22,16],[22,21],[29,0],[29,2],[29,3],[29,14],[29,16],[29,17],[31,0],[31,2],[31,3],[31,7],[31,14],[31,16],[31,17],[31,21],[32,0],[32,2],[32,3],[32,14],[32,16],[32,17],[36,2],[36,7],[36,16],[36,21]]","[[1,1,1,0,1,1,1,0],[1,1,1,1,1,1,1,1],[1,1,1,0,1,1,1,0],[0,1,0,1,0,1,0,1],[1,1,1,0,1,1,1,0],[1,1,1,1,1,1,1,1],[1,1,1,0,1,1,1,0],[0,1,0,1,0,1,0,1]]",b226e72608771ada1279707e85605a1ca883c7f4addd720262aefdcc2f2e03f9,"{""p_injection"":4,""q_injection"":4}","{""p_injection"":0.5,""q_injection"":0.5}","{""angle"":4,""voltage"":4}","{""angle"":0.5,""voltage"":0.5}","[6,8,6,4,6,8,6,4]","[6,8,6,4,6,8,6,4]","{""4"":2,""6"":4,""8"":2}","{""4"":2,""6"":4,""8"":2}",48,8,5.031296487153873,2139.7416068481593,3730.855652133018,1335.8517116760058,"[2139.7416068481593,2083.230312715313,1247.5125699688979,1203.0859587315522,929.4786036022587,867.0904260346931,447.8761422369218,425.28632775099646]",False,injection_heavy,0,matrix_structure_and_metadata_only
ieee14_injection_heavy_v01,ieee14,"[14,19,20,23,28,33,34,37]","[3,5,7,9,13,17,21,23]","[14,19,20,23,28,33,34,37]","[3,5,7,9,13,17,21,23]","[[14,3],[14,13],[14,17],[19,3],[19,9],[19,17],[19,23],[20,5],[20,7],[20,21],[23,7],[23,9],[23,21],[23,23],[28,3],[28,13],[28,17],[33,3],[33,9],[33,17],[33,23],[34,5],[34,7],[34,21],[37,7],[37,9],[37,21],[37,23]]","[[1,0,0,0,1,1,0,0],[1,0,0,1,0,1,0,1],[0,1,1,0,0,0,1,0],[0,0,1,1,0,0,1,1],[1,0,0,0,1,1,0,0],[1,0,0,1,0,1,0,1],[0,1,1,0,0,0,1,0],[0,0,1,1,0,0,1,1]]",39cba9b093f3a7195d56216b99c2ee1b184d94648ebb339ee2ddd5e1ac2c803f,"{""p_injection"":4,""q_injection"":4}","{""p_injection"":0.5,""q_injection"":0.5}","{""angle"":4,""voltage"":4}","{""angle"":0.5,""voltage"":0.5}","[3,4,3,4,3,4,3,4]","[4,2,4,4,2,4,4,4]","{""3"":4,""4"":4}","{""2"":2,""4"":6}",28,8,12.422499909243763,833.6743503084596,1358.4174587566858,735.3675002893821,"[833.6743503084596,762.8200374644877,523.8351162917373,409.17632544826483,246.9308037569873,227.83817449378625,95.77762863059836,67.11003070228323]",False,injection_heavy,1,matrix_structure_and_metadata_only
