bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
0,12,-0.0006418734478566973,-0.06480738159976743,structural_group,unstratified,8675309
1,12,-0.00032093672392834866,-0.01481231884242147,structural_group,unstratified,8675309
2,12,-0.0031230166786271746,-0.021436099677920224,structural_group,unstratified,8675309
3,12,-0.03190181503291841,-0.12629529104027817,structural_group,unstratified,8675309
4,12,0.0,-0.005627897381664363,structural_group,unstratified,8675309
5,12,0.0,-0.05698846163740764,structural_group,unstratified,8675309
6,12,0.0,-0.05896183469501013,structural_group,unstratified,8675309
7,12,-0.0031230166786271746,-0.06609819465735815,structural_group,unstratified,8675309
8,12,-0.005658969592345277,-0.021912247950861292,structural_group,unstratified,8675309
9,12,0.0,-0.056788209027253005,structural_group,unstratified,8675309
10,12,-0.021288940384876134,-0.07453089110166765,structural_group,unstratified,8675309
11,12,-0.0031230166786271746,-0.0016362778246862876,structural_group,unstratified,8675309
12,12,-0.0006418734478566973,-0.05727042984230742,structural_group,unstratified,8675309
13,12,0.0,-0.06179100057190285,structural_group,unstratified,8675309
14,12,-0.008461049547044103,-0.11669267006658662,structural_group,unstratified,8675309
15,12,0.0,-0.06630637092043472,structural_group,unstratified,8675309
16,12,-0.021288940384876134,-0.12628216700629266,structural_group,unstratified,8675309
17,12,-0.00032093672392834866,-0.22240602359657435,structural_group,unstratified,8675309
18,12,-0.0031230166786271746,-0.01682397386474075,structural_group,unstratified,8675309
19,12,-0.00032093672392834866,-0.0653915867623787,structural_group,unstratified,8675309
20,12,0.0,-0.06422425441885024,structural_group,unstratified,8675309
21,12,-0.0006418734478566973,-0.11481310596556334,structural_group,unstratified,8675309
22,12,-0.0031230166786271746,-0.06077478530805985,structural_group,unstratified,8675309
23,12,-0.036226347372473364,-0.08163082021010748,structural_group,unstratified,8675309
24,12,-0.0031230166786271746,-0.06017352154536871,structural_group,unstratified,8675309
25,12,-0.008461049547044103,-0.021028648348238494,structural_group,unstratified,8675309
26,12,-0.036226347372473364,-0.13658389570349352,structural_group,unstratified,8675309
27,12,0.0,-0.02198854962776267,structural_group,unstratified,8675309
28,12,-0.0031230166786271746,-0.11622119743478491,structural_group,unstratified,8675309
29,12,-0.005658969592345277,-0.07140539318980797,structural_group,unstratified,8675309
30,12,-0.00032093672392834866,-0.012414522429860091,structural_group,unstratified,8675309
31,12,-0.006246033357254349,-0.11570972421967197,structural_group,unstratified,8675309
32,12,-0.010676065736833856,-0.12436809369225943,structural_group,unstratified,8675309
33,12,-0.0034439534025555232,-0.0670136360475525,structural_group,unstratified,8675309
