structural_group_id,ieee_case,selection_order,candidate_id,candidate_policy,candidate_variant,selected_rows,selected_columns,support_pattern_fingerprint,measurement_type_composition,state_type_composition,nonzeros,distance_from_previous_block,minimum_distance_to_earlier_selected,selection_rule,minimum_distance_threshold,selector_outcomes_used_for_selection,status,failure_reason
ieee14_structural_group_01,ieee14,1,ieee14_lexicographic_metadata_v01,lexicographic_metadata,1,"[50,51,52,53,54,55,56,57]","[2,3,4,5,6,7,18,22]",4732dd37ea2a8587354b63e7de822fca2310b92ad3ac960bc33a960dd499f4b4,"{""p_branch_flow"":8}","{""angle"":6,""voltage"":2}",17,0.8517857142857144,0.8517857142857144,maximum_distance_from_previous_evaluation_block,0.3,False,included,
ieee14_structural_group_02,ieee14,2,ieee14_lexicographic_metadata_v02,lexicographic_metadata,2,"[15,16,17,18,24,25,26,27]","[14,15,16,22,23,24,25,26]",7a2a28fa1729b145c793afd240f44b8d3d082f75c089f1412745a7bb86851553,"{""p_injection"":8}","{""voltage"":8}",20,0.7389463477698771,0.9458333333333333,farthest_point_maximin,0.3,False,included,
ieee14_structural_group_03,ieee14,3,ieee14_lexicographic_metadata_v03,lexicographic_metadata,3,"[17,22,31,34,36,63,65,79]","[2,7,8,9,16,17,19,21]",567bcf500cb40952ab16e798aef4057d8c3c355d894ed08c48dc159130f5e6bb,"{""p_injection"":2,""q_branch_flow"":3,""q_injection"":3}","{""angle"":4,""voltage"":4}",34,0.6482092602519433,0.8503930817610064,farthest_point_maximin,0.3,False,included,
ieee14_structural_group_04,ieee14,4,ieee14_voltage_measurement_heavy_v00,voltage_measurement_heavy,0,"[0,1,2,3,42,48,62,68]","[0,2,3,13,14,15,16,17]",ab276680cac5e7ae57ac57240696aee315cc7251eebed1cf006428f4fbad555d,"{""p_branch_flow"":2,""q_branch_flow"":2,""voltage_magnitude"":4}","{""angle"":3,""voltage"":5}",18,0.6743055555555556,0.7735576923076923,farthest_point_maximin,0.3,False,included,
ieee30_structural_group_01,ieee30,1,ieee30_lexicographic_metadata_v03,lexicographic_metadata,3,"[98,99,100,101,102,103,129,130]","[4,5,6,7,8,26,34,37]",e532ef88d0b0fc58fbba2823cc1510793e1e4f90ae805d927fa7e469e953bcc0,"{""p_branch_flow"":8}","{""angle"":6,""voltage"":2}",23,0.8520833333333333,0.8520833333333333,maximum_distance_from_previous_evaluation_block,0.3,False,included,
ieee30_structural_group_02,ieee30,2,ieee30_voltage_dominant_v01,voltage_dominant,1,"[31,33,35,60,61,62,63,65]","[29,30,31,32,36,38,40,56]",23f4f866433483552d438ec34df9072f989f66f12a95945bee99318211ff6a21,"{""p_injection"":3,""q_injection"":5}","{""voltage"":8}",30,0.7958333333333333,0.9624999999999999,farthest_point_maximin,0.3,False,included,
ieee30_structural_group_03,ieee30,3,ieee30_voltage_measurement_heavy_v03,voltage_measurement_heavy,3,"[9,10,11,12,69,90,115,156]","[0,8,15,38,39,40,41,45]",0fc71143325651c3cc20ddc50bf7608fadf10b443fa9be0b41607745cf1a3aa5,"{""p_branch_flow"":2,""q_branch_flow"":1,""q_injection"":1,""voltage_magnitude"":4}","{""angle"":3,""voltage"":5}",17,0.6993852459016394,0.8517857142857144,farthest_point_maximin,0.3,False,included,
ieee30_structural_group_04,ieee30,4,ieee30_angle_dominant_v03,angle_dominant,3,"[36,39,41,44,48,49,69,113]","[3,5,7,10,13,15,17,18]",c6405fcd1506e00778bb26a0c4b057700f8b3fb194ab0619e3c82ca73c575466,"{""p_branch_flow"":1,""p_injection"":6,""q_injection"":1}","{""angle"":8}",18,0.7726190476190476,0.8330357142857143,farthest_point_maximin,0.3,False,included,
ieee57_structural_group_01,ieee57,1,ieee57_lexicographic_metadata_v03,lexicographic_metadata,3,"[172,213,214,215,216,217,218,219]","[1,28,29,30,31,32,33,34]",8645c7b3919c24888787135b7c925be3d5b3d393b116fb48c3846ad039feabd5,"{""p_branch_flow"":8}","{""angle"":8}",14,0.9062499999999999,0.9062499999999999,maximum_distance_from_previous_evaluation_block,0.3,False,included,
ieee57_structural_group_02,ieee57,2,ieee57_voltage_dominant_v00,voltage_dominant,0,"[71,78,94,104,128,135,151,161]","[56,68,70,77,78,93,102,103]",96e117a653641e6b0e3f364e4022126f1a5ea9b824a3a982fdc5d9fe047b3e02,"{""p_injection"":4,""q_injection"":4}","{""voltage"":8}",24,0.5996794871794872,1.0,farthest_point_maximin,0.3,False,included,
ieee57_structural_group_03,ieee57,3,ieee57_branch_flow_heavy_v00,branch_flow_heavy,0,"[171,203,223,231,251,283,303,311]","[0,20,21,46,56,57,77,78]",5ebfdf2e16cc7a55736739c0a29a694517fa505d107fa3cb58bd37fa57f05140,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""angle"":4,""voltage"":4}",20,0.63238011988012,0.8499999999999999,farthest_point_maximin,0.3,False,included,
ieee57_structural_group_04,ieee57,4,ieee57_voltage_measurement_heavy_v02,voltage_measurement_heavy,2,"[6,7,8,9,183,221,263,301]","[62,63,64,65,68,69,92,94]",cc29911b52774cdeea9d40cb032337b656b7bfcf5ff2d6267ced7c0e8935a6cf,"{""p_branch_flow"":2,""q_branch_flow"":2,""voltage_magnitude"":4}","{""voltage"":8}",12,0.8875,0.8333333333333334,farthest_point_maximin,0.3,False,included,
