structural_group_id,ieee_case,functional_id,baseline_group_normalized_error,candidate_group_normalized_error,paired_difference_candidate_minus_baseline,outcome,comparison_label
ieee14_structural_group_01,ieee14,aggregate_e0_to_e3,0.168453333599048,0.168453333599048,0.0,tie,primary
ieee14_structural_group_01,ieee14,coordinate_e0,1.5298561371244658e-15,1.5298561371244658e-15,0.0,tie,primary
ieee14_structural_group_01,ieee14,signed_difference_e0_minus_e1,0.07556298205468065,0.07556298205468065,0.0,tie,primary
ieee14_structural_group_02,ieee14,aggregate_e0_to_e3,0.0610334720883092,0.07124691677421066,0.010213444685901463,loss,primary
ieee14_structural_group_02,ieee14,coordinate_e0,0.13501923836328383,0.06042491279196095,-0.07459432557132288,win,primary
ieee14_structural_group_02,ieee14,signed_difference_e0_minus_e1,0.13111315114641353,0.165301262795329,0.03418811164891547,loss,primary
ieee14_structural_group_03,ieee14,aggregate_e0_to_e3,0.1551319227405359,0.06568627597021115,-0.08944564677032474,win,primary
ieee14_structural_group_03,ieee14,coordinate_e0,0.012146401658908599,0.013165410281699649,0.0010190086227910497,loss,primary
ieee14_structural_group_03,ieee14,signed_difference_e0_minus_e1,0.029370872039011148,0.0166118396001815,-0.012759032438829646,win,primary
ieee14_structural_group_04,ieee14,aggregate_e0_to_e3,0.3195782406113059,1.3623922807019042e-16,-0.3195782406113058,win,primary
ieee14_structural_group_04,ieee14,coordinate_e0,0.0,0.0,0.0,tie,primary
ieee14_structural_group_04,ieee14,signed_difference_e0_minus_e1,0.0371015198784993,0.147654726941334,0.1105532070628347,loss,primary
ieee30_structural_group_01,ieee30,aggregate_e0_to_e3,0.13826394610079984,0.17274981945274126,0.03448587335194142,loss,primary
ieee30_structural_group_01,ieee30,coordinate_e0,0.04316820756343275,0.035796658843400705,-0.0073715487200320465,win,primary
ieee30_structural_group_01,ieee30,signed_difference_e0_minus_e1,0.04921377514292195,0.0277147383679738,-0.021499036774948153,win,primary
ieee30_structural_group_02,ieee30,aggregate_e0_to_e3,0.5793303346825551,0.46841292031799864,-0.11091741436455649,win,primary
ieee30_structural_group_02,ieee30,coordinate_e0,0.27591685289407264,0.1256020761681089,-0.15031477672596374,win,primary
ieee30_structural_group_02,ieee30,signed_difference_e0_minus_e1,0.15015898760636803,0.12378171775591704,-0.026377269850450996,win,primary
ieee30_structural_group_03,ieee30,aggregate_e0_to_e3,0.23459428527511805,0.12733845787031584,-0.10725582740480222,win,primary
ieee30_structural_group_03,ieee30,coordinate_e0,0.0,0.0,0.0,tie,primary
ieee30_structural_group_03,ieee30,signed_difference_e0_minus_e1,0.1542935414231407,0.06198527118939695,-0.09230827023374374,win,primary
ieee30_structural_group_04,ieee30,aggregate_e0_to_e3,0.04688604191419915,0.02228259691249495,-0.0246034450017042,win,primary
ieee30_structural_group_04,ieee30,coordinate_e0,0.0,0.0,0.0,tie,primary
ieee30_structural_group_04,ieee30,signed_difference_e0_minus_e1,0.0,0.0,0.0,tie,primary
ieee57_structural_group_01,ieee57,aggregate_e0_to_e3,0.0,0.0,0.0,tie,primary
ieee57_structural_group_01,ieee57,coordinate_e0,0.0,0.0,0.0,tie,primary
ieee57_structural_group_01,ieee57,signed_difference_e0_minus_e1,0.0,0.0,0.0,tie,primary
ieee57_structural_group_02,ieee57,aggregate_e0_to_e3,0.14150005715063035,0.2164264867375595,0.07492642958692913,loss,primary
ieee57_structural_group_02,ieee57,coordinate_e0,0.6372093154153704,3.7088834888034644e-17,-0.6372093154153704,win,primary
ieee57_structural_group_02,ieee57,signed_difference_e0_minus_e1,0.9794473114543613,7.55582110394054e-16,-0.9794473114543605,win,primary
ieee57_structural_group_03,ieee57,aggregate_e0_to_e3,0.24982930103493872,0.7334648311173005,0.4836355300823618,loss,primary
ieee57_structural_group_03,ieee57,coordinate_e0,0.23342485578600464,0.0,-0.23342485578600464,win,primary
ieee57_structural_group_03,ieee57,signed_difference_e0_minus_e1,0.28666635134702667,0.40440977904482756,0.11774342769780088,loss,primary
ieee57_structural_group_04,ieee57,aggregate_e0_to_e3,0.0,0.0,0.0,tie,primary
ieee57_structural_group_04,ieee57,coordinate_e0,0.0,0.0,0.0,tie,primary
ieee57_structural_group_04,ieee57,signed_difference_e0_minus_e1,0.0,0.0,0.0,tie,primary
