structural_group_id,ieee_case,baseline_group_normalized_error,candidate_group_normalized_error,paired_difference_candidate_minus_baseline,outcome,comparison_label,candidate_selector,baseline_selector,k_budget,slot_budget,realization_combination
ieee14_structural_group_01,ieee14,0.05020427602217975,0.05020427602217975,0.0,tie,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee14_structural_group_02,ieee14,0.1026139921916544,0.09193792645482055,-0.010676065736833856,win,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee14_structural_group_03,ieee14,0.03552350199829145,0.0292774686410371,-0.006246033357254349,win,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee14_structural_group_04,ieee14,0.03190181503291855,1.3623922807019042e-16,-0.03190181503291841,win,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee30_structural_group_01,ieee30,0.06844237202149366,0.06780049857363696,-0.0006418734478566973,tie,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee30_structural_group_02,ieee30,0.2807174627049027,0.2117256685444961,-0.06899179416040663,win,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee30_structural_group_03,ieee30,0.0900342346348745,0.049483354922846196,-0.04055087971202831,win,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee30_structural_group_04,ieee30,0.0,0.0,0.0,tie,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee57_structural_group_01,ieee57,0.0,0.0,0.0,tie,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee57_structural_group_02,ieee57,0.6575923947341653,8.784855957065466e-16,-0.6575923947341644,win,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee57_structural_group_03,ieee57,0.25566047373036627,0.27122595542338085,0.015565481693014582,loss,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
ieee57_structural_group_04,ieee57,0.0,0.0,0.0,tie,primary,sensitivity_initial_mean,balanced_magnitude,16,3,mean_of_realization_medians
