phase_index,phase_angle
0,-1.5703554569581013
1,1.5703581650535259
2,1.5716618314183783
3,1.5695771697315037
4,1.5729168979725627
5,1.5674167522047697
6,1.5765568791293221
7,1.5612592333961928
8,1.5868919294873634
9,1.5439313095624321
10,1.6158475131779964
11,1.4957448856086537
12,1.6950995983651171
13,1.3693934815860671
14,1.880956720358379
15,1.1429279247552093
16,1.1429279247552091
17,1.880956720358379
18,1.3693934815860671
19,1.6950995983651169
20,1.4957448856086537
21,1.6158475131779961
22,1.5439313095624321
23,1.5868919294873634
24,1.5612592333961928
25,1.5765568791293221
26,1.5674167522047697
27,1.5729168979725627
28,1.5695771697315037
29,1.5716618314183783
30,1.5703581650535257
31,0.00044086983679514358
