phase_index,phase_angle
0,-1.5027425760059241
1,1.565470557643462
2,1.6115559025476436
3,1.5626587129292782
4,1.6065051370614676
5,1.5605099614191629
6,1.604906953261638
7,1.5587484548051627
8,1.6044741611562099
9,1.5572938075561984
10,1.6045273421695896
11,1.5561262542065808
12,1.6047749488469232
13,1.5552570068872362
14,1.6050455446497016
15,1.554730536147777
16,1.554730536147777
17,1.6050455446497016
18,1.5552570068872362
19,1.6047749488469232
20,1.5561262542065808
21,1.6045273421695896
22,1.5572938075561984
23,1.6044741611562099
24,1.5587484548051627
25,1.604906953261638
26,1.5605099614191629
27,1.6065051370614676
28,1.5626587129292782
29,1.6115559025476436
30,1.565470557643462
31,0.068053750788972467
