run_id,case_name,block_size,matrix_source,kappa,sigma_min,sigma_max,beta,lambda,alpha,degree_attempted,degree_min_feasible,phase_count,target_error_tolerance,max_polynomial_error,spectrum_point_error,uniform_grid_error,boundedness_pass,parity_pass,phase_synthesis_status,phase_synthesis_error,qsvt_statevector_status,postselection_probability,update_relative_error_vs_matched_ridge,selected_functional_errors,finite_shot_readout_status,finite_shot_shots,finite_shot_mean_relative_error,classical_adjoint_value,classical_adjoint_time,final_status,failure_reason,block_id,block_kind,degree_ceiling,selected_rows,selected_cols,block_checksum,residual_checksum,selection_rule,measurement_state_provenance,singular_values,controlled_target_kappa,polynomial_degree_evaluated,physical_recovery_factor_C_over_beta,classical_adjoint_observable
phase2_ieee14_8x8_raw_lambda0.01_dmax45,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.01,73488.76364250336,45,not_applicable,0,0.01,0.09375174533620548,0.08741103282832008,0.09375174533620548,True,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,degree-limited,no polynomial in the tested odd-degree grid met the 1e-2 criterion within this ceiling,ieee14_8x8_raw,raw_ieee_derived_selected_block,45,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,45,0.001936639697865058,not_run
phase2_ieee14_8x8_raw_lambda0.01_dmax71,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.01,73488.76364250336,71,not_applicable,0,0.01,23721672.577712145,10048136.104729777,23721672.577712145,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 71 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,71,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,71,0.001936639697865058,not_run
phase2_ieee14_8x8_raw_lambda0.01_dmax101,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.01,73488.76364250336,101,not_applicable,0,0.01,3.669964815357988e+17,2.3683549840782026e+17,3.669964815357988e+17,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 101 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,101,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,101,0.001936639697865058,not_run
phase2_ieee14_8x8_raw_lambda0.01_dmax201,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.01,73488.76364250336,201,not_applicable,0,0.01,4.685168491665123e+51,2.5969227664694543e+51,4.685168491665123e+51,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 201 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,201,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,201,0.001936639697865058,not_run
phase2_ieee14_8x8_raw_lambda0.001_dmax45,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.001,7348.876364250336,45,not_applicable,0,0.01,1.546372303600905,0.5634109634544989,1.546372303600905,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 45 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,45,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,45,0.0061241919840637465,not_run
phase2_ieee14_8x8_raw_lambda0.001_dmax71,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.001,7348.876364250336,71,not_applicable,0,0.01,2126641133.0868607,1317259196.5392835,2126641133.0868607,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 71 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,71,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,71,0.0061241919840637465,not_run
phase2_ieee14_8x8_raw_lambda0.001_dmax101,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.001,7348.876364250336,101,not_applicable,0,0.01,1.2529429354509394e+20,7.54835640594205e+19,1.2529429354509394e+20,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 101 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,101,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,101,0.0061241919840637465,not_run
phase2_ieee14_8x8_raw_lambda0.001_dmax201,ieee14,8,ieee14_pypower_ac_weighted_jacobian,132.83928362164585,20.40722466179977,2710.8811047794657,2710.8811047794657,0.001,7348.876364250336,201,not_applicable,0,0.01,1.2735054848574793e+57,7.913602091651201e+56,1.2735054848574793e+57,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 201 failed boundedness/parity and no lower tested odd degree met the target,ieee14_8x8_raw,raw_ieee_derived_selected_block,201,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE14 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",2710.88110478 2652.75393378 1327.18724551 1255.8131012 514.089515029 449.892835303 69.2384564704 20.4072246618,not_applicable,201,0.0061241919840637465,not_run
phase2_ieee30_16x16_raw_lambda0.01_dmax45,ieee30,16,ieee30_pypower_ac_weighted_jacobian,87.89749014434929,52.625763150379335,4625.672497849328,4625.672497849328,0.01,213968.46057359636,45,not_applicable,0,0.01,0.04918407767124083,0.04324022278272813,0.04918407767124083,True,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,degree-limited,no polynomial in the tested odd-degree grid met the 1e-2 criterion within this ceiling,ieee30_16x16_raw,raw_ieee_derived_selected_block,45,33 35 50 51 63 65 80 81 93 96 99 118 134 137 140 159,0 1 2 4 6 8 19 20 30 31 32 34 36 38 49 50,07a4ffdc507fe0711e91c87bfe497135,55aadb52987463e7aaa88165721655dc,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE30 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",4625.67249785 4599.54543613 4113.5302507 4091.67741645 2412.41403581 2402.28736205 971.593858136 961.903444505 611.317920181 606.198022142 430.092889512 427.731707078 82.2933268147 81.6310091476 53.2235191053 52.6257631504,not_applicable,45,0.001134970101658126,not_run
phase2_ieee30_16x16_raw_lambda0.01_dmax71,ieee30,16,ieee30_pypower_ac_weighted_jacobian,87.89749014434929,52.625763150379335,4625.672497849328,4625.672497849328,0.01,213968.46057359636,71,not_applicable,0,0.01,45875553.20665837,37342266.02571023,45875553.20665837,False,True,not_attempted,not_applicable,not_attempted,not_applicable,not_applicable,not_run,not_run,0,not_applicable,not_applicable,not_applicable,tolerance-missing,degree 71 failed boundedness/parity and no lower tested odd degree met the target,ieee30_16x16_raw,raw_ieee_derived_selected_block,71,33 35 50 51 63 65 80 81 93 96 99 118 134 137 140 159,0 1 2 4 6 8 19 20 30 31 32 34 36 38 49 50,07a4ffdc507fe0711e91c87bfe497135,55aadb52987463e7aaa88165721655dc,"largest_row_col_norms (deterministic, pre-solve)","Generated IEEE30 PYPOWER weighted Jacobian, seed 123; largest_row_col_norms (deterministic, pre-solve); generated benchmark measurements, not field records",4625.67249785 4599.54543613 4113.5302507 4091.67741645 2412.41403581 2402.28736205 971.593858136 961.903444505 611.317920181 606.198022142 430.092889512 427.731707078 82.2933268147 81.6310091476 53.2235191053 52.6257631504,not_applicable,71,0.001134970101658126,not_run
