case_name,full_shape,block_size,selection_rule,status,skipped_with_reason,selected_rows,selected_cols,lambda_alpha_over_block_beta2,alpha,sigma_min,sigma_max,kappa_effective,numerical_rank,full_selected_functional,block_selected_functional,absolute_discrepancy_delta_l,relative_discrepancy_vs_full,selected_coordinate_vector_relative_discrepancy,out_of_block_coupling_fraction,selected_rows_out_of_block_energy_fraction,selected_cols_out_of_block_energy_fraction,functional_column_leakage,block_frobenius_fraction,residual_energy_fraction,block_checksum,full_matrix_checksum,magnitude_class,interpretation
ieee14,82x27,4,largest_row_col_norms,computed,,17 31 48 68,2 3 16 17,0.06901796281445464,366448.36483477196,302.67489358830704,2304.227343618158,7.612879007904524,4.0,-0.0048382784120727836,-0.004259018143057706,0.0005792602690150774,0.11972445975197912,0.16927481448307677,0.21616639270053686,0.019414124088676855,0.3471576811148318,0.22543776567525334,0.2934727709678126,0.4459145779992636,cdb5eaf8f1cb8a61d25e0a6246bc80a0,211de0724b65a69af46bb4cade1fd321,0.05_to_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,4,column_leverage,computed,,17 19 31 55,2 3 7 16,0.06901796281445464,178521.7801462006,0.0,1608.2906469598374,12.033543219194064,3.0,-0.005354014553857626,-0.0035278889988225996,0.0018261255550350267,0.3410759415510522,0.6604922259428284,0.5597227941719051,0.26455212562318453,0.6858188343441912,0.548162454894542,0.12480359459343947,0.24813591712772134,b7d5edf3f49e129bb42333bf0e17be43,211de0724b65a69af46bb4cade1fd321,0.05_to_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,4,seeded_random,computed,,18 25 48 49,13 16 17 25,0.06901796281445464,27345.953527147372,8.394929461657593,629.4561304401142,74.98051452547011,4.0,0.0042162466776147715,0.0004390124843417307,0.0037772341932730408,0.8958759963755037,1.1660907072223565,0.9471526828041792,0.9230313770365637,0.9597627055144532,0.9981246032893172,0.011277413217709175,0.15431301234794584,44feb6fe5b58080dabf53a65468bbd42,211de0724b65a69af46bb4cade1fd321,above_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,8,largest_row_col_norms,computed,,15 17 18 29 31 32 48 68,0 2 3 7 13 14 16 17,0.06901796281445464,507204.47563585435,20.40722466179977,2710.8811047794657,132.83928362164585,8.0,0.004393109075087854,0.003937581251108952,0.0004555278239789023,0.10369144407592305,0.21818519707197404,0.16707905883043245,0.012925203026071197,0.27958760332666904,0.503581470969525,0.5038224435334676,0.6776049236212197,c5027daaefc0c0c2eb6117a0e1bd1194,211de0724b65a69af46bb4cade1fd321,0.05_to_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,8,column_leverage,computed,,15 17 19 29 31 33 55 75,2 3 4 5 7 8 16 23,0.06901796281445464,180910.10942006926,3.935730792412046e-17,1619.0130525213742,469.6263771357725,7.0,-0.00534614048025998,-0.007661351701465127,0.0023152112212051464,0.43306217443290207,0.4453854653279563,0.6195373462558602,0.4712081190054153,0.7028809767236616,0.5395003837817627,0.14627161927065993,0.3734450078929605,d75bb80937ca99825b2f9eddda763b43,211de0724b65a69af46bb4cade1fd321,0.05_to_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,8,seeded_random,computed,,0 9 21 32 33 46 59 77,6 9 10 11 12 19 20 22,0.06901796281445464,22453.863140905334,8.553287264409594e-43,570.3802346514968,4.913148331010144,4.0,0.0033590661486535786,0.004111702026008699,0.0007526358773551202,0.22406104674562624,0.8465262890408198,0.8777452416021934,0.8843720925975984,0.8703126157718851,0.7647140542666014,0.012498104952484447,0.12030006020244662,00fdeb158c12f270f45da082c6b38ea1,211de0724b65a69af46bb4cade1fd321,0.05_to_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,16,largest_row_col_norms,computed,,15 17 18 20 22 28 29 31 32 36 42 48 57 62 68 77,0 2 3 4 5 7 8 11 13 14 16 17 18 19 21 22,0.06901796281445464,510132.58730168565,4.3122911172433454e-14,2718.6948560999017,91.11766711809236,15.0,0.004389429505603445,0.0043780333439992795,1.1396161604165268e-05,0.0025962739781142836,0.5147014232497392,0.13308634401167826,0.007963833054640464,0.2301812469702007,0.2146879164711942,0.7116609658145254,0.7960401428143078,abd8950af646ccc72ff176ad9b2ef9ff,211de0724b65a69af46bb4cade1fd321,below_0.05,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,16,column_leverage,computed,,15 17 18 19 20 22 29 31 32 33 36 55 56 57 75 77,1 2 3 4 5 6 7 8 11 13 14 16 17 18 23 26,0.06901796281445464,319850.7199553553,2.076157766183696e-17,2152.7450446545795,704.768265398505,14.0,0.0013287056832395506,-0.0016599905220888954,0.002988696205328446,2.249328984611273,0.4477462446996405,0.3273408478296401,0.18112290786059226,0.4292529210032003,0.8093468208804144,0.4410133840297655,0.5267138588272288,c19ea96410d71a7638b65ead7794b323,211de0724b65a69af46bb4cade1fd321,above_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,16,seeded_random,computed,,8 10 14 18 20 25 27 33 43 45 49 54 56 57 71 73,0 1 3 4 5 6 8 10 13 15 16 18 22 24 25 26,0.06901796281445464,117266.49190729218,5.239884362752065e-16,1303.4845817827218,121.34546922064493,13.0,0.004921384147702987,0.0024832754474685944,0.0024381087002343926,0.4954111743892942,0.7271105446932967,0.6564044979136786,0.30903305510497564,0.7713528295132247,0.8405957090854821,0.12237163737722967,0.10331687684035551,0c373af9972a3406013a05a8a3604633,211de0724b65a69af46bb4cade1fd321,0.05_to_0.5,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
ieee14,82x27,32,largest_row_col_norms,skipped,block size 32 exceeds min dimension 27 of the 82x27 weighted Jacobian,,,0.06901796281445464,,,,,,,,,,,,,,,,,,211de0724b65a69af46bb4cade1fd321,,selected-submatrix surrogate; not the selected functional of the full-system Ridge update
