case_name,selection_rule,num_blocks,median_relative_discrepancy,min_relative_discrepancy,max_relative_discrepancy,median_out_of_block_coupling_fraction,median_functional_column_leakage
ieee118,column_leverage,5,5.421865803145603,1.0000000000000009,206.6577874177159,0.8718987922716003,0.9732791436140146
ieee118,largest_row_col_norms,5,0.051468343608498605,0.005866613147438937,0.23692677856782543,0.10453050242995955,0.22894014714257946
ieee118,seeded_random,4,1.0,0.8574461410949138,1.7784448272113382,0.9853280670677818,0.9961741428956383
ieee14,column_leverage,3,0.43306217443290207,0.3410759415510522,2.249328984611273,0.5597227941719051,0.548162454894542
ieee14,largest_row_col_norms,3,0.10369144407592305,0.0025962739781142836,0.11972445975197912,0.16707905883043245,0.22543776567525334
ieee14,seeded_random,3,0.4954111743892942,0.22406104674562624,0.8958759963755037,0.8777452416021934,0.8405957090854821
ieee30,column_leverage,4,1.115959747263026,0.07665677178510649,1.9686836605573275,0.606148134655505,0.7052757791308705
ieee30,largest_row_col_norms,4,0.54689797712591,0.10087458009106791,1.1352770006788488,0.16231828086332212,0.6930950834310738
ieee30,seeded_random,4,1.0870610787960746,0.7129055860958875,2.8886167191864454,0.837482351444291,0.9968169610896727
ieee57,column_leverage,4,1.0,0.46417910625932385,1.0,0.7864885132824566,1.0
ieee57,largest_row_col_norms,5,0.08164234133378215,0.028803947891043468,1.0,0.1686658007334007,0.27935457445215656
ieee57,seeded_random,5,1.0,0.03652606620357699,1.359395559925722,0.9605852198727436,1.0
__all_cases__,column_leverage,16,1.0000000000000004,0.07665677178510649,206.6577874177159,0.7765855378464698,0.9331755405690939
__all_cases__,largest_row_col_norms,17,0.10087458009106791,0.0025962739781142836,1.1352770006788488,0.13575455503157768,0.2821300398962035
__all_cases__,seeded_random,16,1.0,0.03652606620357699,2.8886167191864454,0.9343897786283737,0.9975748963112987
