observable_label,shots,num_seeds,mean_measured_postselection_probability,std_measured_postselection_probability,mean_postselection_probability_standard_error,statevector_postselection_probability,mean_signed_overlap_estimate_z,mean_signed_overlap_standard_error,mean_recovered_physical_functional,std_recovered_physical_functional,exact_ridge_functional,exact_qsvt_statevector_functional,mean_absolute_error_vs_ridge,mean_relative_error_vs_ridge,std_relative_error_vs_ridge,mean_absolute_error_vs_statevector_qsvt,mean_relative_error_vs_statevector_qsvt,isolated_readout_mean_relative_error_vs_ridge,mean_total_attempts,mean_accepted_attempts,mean_effective_shots_after_postselection,circuit_qubits,signal_unitary_calls_per_attempt,projector_phase_operations_per_attempt,alternating_sequence_length,status
area_aggregate_first_half,1000,30,0.9880666666666666,0.004016078795154412,0.0048016409552214985,0.9903957148614685,-0.11076666666666668,0.03131289920989641,-0.0027211116006333885,0.0008683985846265298,-0.0027013706722182366,-0.0027008749188120415,0.0007214262173211,0.26705932093676693,0.17908951477365956,0.0007214262173211,0.26710834044784787,0.2588352945932129,1000.0,994.0333333333333,994.0333333333333,4,31,32,63,executed_integrated_chain
area_aggregate_first_half,10000,30,0.9901266666666667,0.0012409494572929195,0.0013990126088503007,0.9903957148614685,-0.10917666666666669,0.009914769319641116,-0.002682051407028148,0.0002644005759300169,-0.0027013706722182366,-0.0027008749188120415,0.00022160818770313766,0.08203546073192672,0.05386213051826818,0.00022157513747605791,0.08203828171854623,0.0816869435496991,10000.0,9950.633333333333,9950.633333333333,4,31,32,63,executed_integrated_chain
area_aggregate_first_half,100000,30,0.9905013333333336,0.0004163310648457036,0.0004347169681406596,0.9903957148614685,-0.10913733333333334,0.003135808271688008,-0.002681085138087809,7.858268455997753e-05,-0.0027013706722182366,-0.0027008749188120415,6.444277964205048e-05,0.02385558572349982,0.018262677545986285,6.424447827957242e-05,0.023786543327904218,0.0241096109918006,100000.0,99525.06666666667,99525.06666666667,4,31,32,63,executed_integrated_chain
area_aggregate_first_half,1000000,30,0.9903992666666664,0.00011198986065216461,0.00013823399083330717,0.9903957148614685,-0.1095367,0.0009915647310809437,-0.002690896043320186,2.0811250354577172e-05,-0.0027013706722182366,-0.0027008749188120415,2.056979871031273e-05,0.007614578377510035,0.004050231968953033,2.043759780199402e-05,0.007567028617150231,0.0075689167048103,1000000.0,995199.6333333333,995199.6333333333,4,31,32,63,executed_integrated_chain
state_correction_0,1000,30,0.9883333333333333,0.005867045442317818,0.004590791071281733,0.9903957148614685,-0.24530000000000002,0.030542006583093303,-0.0042610812721065126,0.0005779081332344526,-0.004259018143057706,-0.004257089574489113,0.00047169951883610387,0.11075311327447256,0.07839568633441281,0.0004718280900740101,0.11083348889379045,0.1073283738337778,1000.0,994.1666666666666,994.1666666666666,4,31,32,63,executed_integrated_chain
state_correction_0,10000,30,0.9899599999999998,0.0013956121715338163,0.0014100510872116624,0.9903957148614685,-0.2434933333333334,0.009672634070410252,-0.004229697849773564,0.00016184975231491275,-0.004259018143057706,-0.004257089574489113,0.00013809133400650148,0.03242327911459908,0.02098214438501603,0.00013770562029278283,0.03234736264841424,0.0327699299700238,10000.0,9949.8,9949.8,4,31,32,63,executed_integrated_chain
state_correction_0,100000,30,0.9903593333333334,0.00037157263384461083,0.00043796250548760806,0.9903957148614685,-0.24460700000000005,0.003058328424297847,-0.004249043239813118,5.271598947249406e-05,-0.004259018143057706,-0.004257089574489113,4.349378871257543e-05,0.010212163285444387,0.0073755988312229,4.3236646236763e-05,0.010156386301068559,0.0103697597482092,100000.0,99517.96666666666,99517.96666666666,4,31,32,63,executed_integrated_chain
state_correction_0,1000000,30,0.9904006666666667,0.00012757986605347354,0.00013822326401953796,0.9903957148614685,-0.24483099999999997,0.0009670871143249284,-0.004252934320958457,1.3337083907235846e-05,-0.004259018143057706,-0.004257089574489113,1.212239204227058e-05,0.002846287955366039,0.0019352981366085535,1.1294602772323551e-05,0.0026531278176543886,0.0027923234370849,1000000.0,995200.3333333334,995200.3333333334,4,31,32,63,executed_integrated_chain
state_difference_0_1,1000,30,0.9890666666666666,0.005994071144797078,0.004419251824960041,0.9903957148614685,-0.23660000000000003,0.030616920309159263,-0.005812353337735719,0.0008114918065630587,-0.005816665613897176,-0.005813304230166185,0.0006571029431466093,0.11296900780692277,0.08186583227140434,0.0006573270353953419,0.11307287720886251,0.1104674301933181,1000.0,994.5333333333333,994.5333333333333,4,31,32,63,executed_integrated_chain
state_difference_0_1,10000,30,0.9904000000000001,0.0013564659966250417,0.001378872153770861,0.9903957148614685,-0.23516666666666663,0.009694361778652714,-0.005777141842452167,0.00022618157313330784,-0.005816665613897176,-0.005813304230166185,0.00019640908485349333,0.033766610957355496,0.02044595874866657,0.00019573680810729515,0.03367049105938493,0.0339783823199088,10000.0,9952.0,9952.0,4,31,32,63,executed_integrated_chain
