estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
pseudoinverse,0.04224230028661877,0.04058799086844881,0.04382900988884608,1.2798296934877986,1.2798296934877986,3.3798170833760297e+18,598,598,0.1352505419999943,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,186956.34965905585,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
ridge,0.04224163238486303,0.040587040157646456,0.043828602062178694,1.2798296941589082,1.2798296941589082,3.3798170833760297e+18,598,598,0.07946770900161937,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,186956.34965905585,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
truncated_svd,0.0422423002866188,0.040587990868448845,0.04382900988884611,1.2798296934878042,1.2798296934878042,3.3798170833760297e+18,598,598,0.07932387499749893,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,186956.34965905585,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
qsvt_regularized,0.04224163238486303,0.040587040157646456,0.043828602062178694,1.2798296941589082,1.2798296941589082,3.3798170833760297e+18,598,598,0.0807678329947521,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,186956.34965905585,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
huber_irls,0.04224230028661923,0.0405879908684488,0.04382900988884699,1.27982969348781,1.27982969348781,3.3798170833760297e+18,598,598,0.12227945800259477,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,186956.34965905585,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
pseudoinverse,0.6993833418435847,0.43565511537285423,0.8874012241080169,3.064550506543811,3.064550506543811,3.487302183942966e+18,596,596,0.13071074999606935,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,187522.73887051386,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
ridge,0.6838056042710017,0.425977723454839,0.8676228506902736,3.0646546272254644,3.0646546272254644,3.487302183942966e+18,596,596,0.07836354200117057,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,187522.73887051386,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
truncated_svd,0.6993833418435849,0.43565511537285434,0.8874012241080171,3.064550506543818,3.064550506543818,3.487302183942966e+18,596,596,0.07574300000123912,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,187522.73887051386,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
qsvt_regularized,0.6838056042710017,0.425977723454839,0.8676228506902736,3.0646546272254644,3.0646546272254644,3.487302183942966e+18,596,596,0.07814062500256114,True,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,187522.73887051386,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
huber_irls,0.588782140072111,0.366690583805556,0.7471007236444603,3.129538747454104,3.129538747454104,3.487302183942966e+18,596,596,0.6488547089975327,False,False,,ieee300,pypower,pypower.case300.case300,True,ac_power_flow_linearized,910,599,real_ieee300_ac_linearized,0.0,0.1,0.05,2,5.0,weak_area,,187522.73887051386,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
