component,configuration_sha256,evidence_label,polynomial,rank,relative_spectral_error,shape,status,tolerance,variant
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,1,5.7131547191136e-13,2x1,pass,1e-09,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,2,1.4064407706797268e-13,3x2,pass,1e-09,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,2,1.4060817192775503e-13,4x2,pass,1e-09,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,3,1.4098841154924356e-13,4x3,pass,1e-09,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,1,1.374778278213591e-06,2x1,fail,1e-09,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,2,7.248726646278441e-08,3x2,fail,1e-09,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,2,7.248726625654188e-08,4x2,fail,1e-09,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,3,7.248726623553336e-08,4x3,fail,1e-09,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,1,39.13690037179787,2x1,fail,1e-09,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,2,1.274669675675286,3x2,fail,1e-09,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,2,1.2746696756752853,4x2,fail,1e-09,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,3,1.390645341440539,4x3,fail,1e-09,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,1,39.136900371797886,2x1,fail,1e-09,production_negated_phases
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,2,1.274669675675287,3x2,fail,1e-09,production_negated_phases
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,2,1.2746696756752864,4x2,fail,1e-09,production_negated_phases
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,cubic,3,1.3906453414405362,4x3,fail,1e-09,production_negated_phases
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,1,5.70479488456844e-13,2x1,pass,1e-09,production_imag_extraction
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,2,1.4068065331323174e-13,3x2,pass,1e-09,production_imag_extraction
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,2,1.4004168791339698e-13,4x2,pass,1e-09,production_imag_extraction
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,cubic,3,1.4014670111621796e-13,4x3,pass,1e-09,production_imag_extraction
