component,configuration_sha256,evidence_label,polynomial,rank,relative_spectral_error,shape,status,tolerance,variant
neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,identity,1,1.3760411593608622e-13,2x1,pass,1e-10,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,identity,2,1.3758975372453422e-13,3x2,pass,1e-10,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,identity,2,1.375525352865601e-13,4x2,pass,1e-10,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,identity,3,1.375487930777228e-13,4x3,pass,1e-10,pyqsp_global_plus_pi_over_2_phase_first_U_then_Udag
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,1,2.1771918263227656e-08,2x1,fail,1e-10,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,2.1771918441619895e-08,3x2,fail,1e-10,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,2.1771918398756935e-08,4x2,fail,1e-10,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,3,2.177191834201609e-08,4x3,fail,1e-10,pennylane_native_real_block
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,1,1.0000005245432124,2x1,fail,1e-10,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,1.0000005245432124,3x2,fail,1e-10,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,1.0000005245432122,4x2,fail,1e-10,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,3,1.0000005245432124,4x3,fail,1e-10,production_reversed_phase_order
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,1,1.0000005245432126,2x1,fail,1e-10,production_negated_phases
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,1.0000005245432124,3x2,fail,1e-10,production_negated_phases
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,1.0000005245432124,4x2,fail,1e-10,production_negated_phases
real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,3,1.0000005245432122,4x3,fail,1e-10,production_negated_phases
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,1,1.999999999999862,2x1,fail,1e-10,production_imag_extraction
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,1.9999999999998619,3x2,fail,1e-10,production_imag_extraction
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,2,1.9999999999998628,4x2,fail,1e-10,production_imag_extraction
imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,identity,3,1.9999999999998628,4x3,fail,1e-10,production_imag_extraction
