candidate,component,configuration_sha256,evidence_label,monomial_identity_cubic_max_error,phase_transform,scalar_max_error,small_rectangular_max_error,status
original,real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,none,0.9763852995825946,9.95459102445445,failed
original_imag,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,none,0.9863635777516826,1.0528152886732318,failed
reversed,real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,reversed,0.9763852995825946,9.95459102445445,failed
negated,real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,negated,0.9763852995825946,9.95459102445445,failed
reversed_negated,real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,reversed_negated,0.9763852995825946,9.95459102445445,failed
alternating_sign,real,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,alternating_sign,0.9766577666310661,9.886578968011618,failed
global_plus_pi_over_2_signed_imag,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,1.3078427230084344e-13,global_plus_pi_over_2,1.6542323066914832e-14,1.142173762481022e-13,accepted
global_minus_pi_over_2_signed_imag,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,EXECUTED_STATEVECTOR,1.3078427230084344e-13,global_minus_pi_over_2,1.6955187254197313e-14,1.1467005877591405e-13,accepted
endpoint_first_plus_pi_over_2,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,first_plus_pi_over_2,0.9763852995825947,9.954591024454462,failed
endpoint_last_plus_pi_over_2,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,last_plus_pi_over_2,0.9763852995825946,9.954591024454475,failed
interior_plus_pi_over_2,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,interior_plus_pi_over_2,1.9718950465388687,2.0000000000001155,failed
phase_reflection,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,FAILED_CONFIGURATION,1.3078427230084344e-13,pi_minus_phi,0.9855314687871836,0.947184711326822,failed
