absolute_spectral_error,absolute_tolerance_for_near_zero_targets,component,configuration_sha256,degree,evidence_label,polynomial,relative_spectral_error,shape,spectrum,status,tolerance
6.188152112355717e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3751449138568262e-13,2x1,well_conditioned,pass,1e-08
2.2829532383747564e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,2.5052984783262065e-13,2x1,well_conditioned,pass,1e-08
6.493040077468241e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,2.2826099109976608e-14,2x1,well_conditioned,pass,1e-08
1.6919522065759386e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,6.11968302458442e-15,2x1,well_conditioned,pass,1e-08
1.2733591125229174e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,2.4559955234866008e-14,2x1,well_conditioned,pass,1e-08
1.6508865243388593e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3757387702823828e-13,2x1,moderately_conditioned,pass,1e-08
3.632063621708031e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,2.101888669969925e-12,2x1,moderately_conditioned,pass,1e-08
1.542371118540254e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,2.5489357227302456e-15,2x1,moderately_conditioned,pass,1e-08
8.95090418262362e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.7902310434671672e-15,2x1,moderately_conditioned,pass,1e-08
1.973770779879594e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,1.0149311170483422e-14,2x1,moderately_conditioned,pass,1e-08
