configuration_id,case,matrix_shape,matrix_fingerprint,selected_output,alpha,beta,lambda,contraction_C,polynomial_degree,signal_calls_per_attempt,phase_operations_per_attempt,polynomial_error_uniform,error_on_singular_values,matrix_action_error,qsvt_ridge_error,postselection_probability,postselection_probability_kind,shots_attempted,shots_accepted,readout_estimate,confidence_interval,evidence_status,artifact_paths,generated_by,notes
ieee14_fullrect_d255_useful_overlap,ieee14,82x27,c113dfa0ee5240182a77d2a845b0f4e950639c49884486d330a5c1351488fa5b,first nonreference voltage-angle update coordinate,76.87225449767783,2772.5846154387755,1e-05,42.81061621595387,255,255,256,not_estimated,1.6542323066914832e-14,1.7122376932256166e-13,0.000305204002832,0.0028555738108419,target-quadrature probability (encoded-prefix probability 0.6028 reported separately),,,,,statevector_dense,outputs/final_useful_overlap_validation/final_scientific_configuration.json;outputs/final_useful_overlap_validation/final_quantum_reproduction.csv;outputs/final_useful_overlap_validation/final_application_reproduction.csv,scripts/run_final_useful_overlap_validation.py,Dense float64 sequence action on the residual state plus full operator block vs exact-SVD reference; benchmark-anchored application ratio 0.9654 <= 1.25 (classical criterion). Correctness experiment; not a scalable sparse block-encoding.
ieee14_fullrect_d255_shot_readout,ieee14,82x27,c113dfa0ee5240182a77d2a845b0f4e950639c49884486d330a5c1351488fa5b,first nonreference voltage-angle update coordinate,76.87225449767783,2772.5846154387755,1e-05,42.81061621595387,255,255,256,not_estimated,1.6542323066914832e-14,1.7122376932256166e-13,0.012230421238655847,0.602924,measured encoded-prefix rate from the separate postselection-diagnostic circuit; branch Hadamard test itself has no acceptance step,10000000,3014620,0.0048779521879714,"[0.00447202, 0.00528389]",sampled_simulator,outputs/final_useful_overlap_validation/high_shot_backend_summary.csv;outputs/final_useful_overlap_validation/high_shot_backend_runs.csv,scripts/run_final_useful_overlap_validation.py,"Integrated branch Hadamard test: controlled degree-255 QSVT operator acts inside the sampled Aer circuit as ONE opaque UnitaryGate (transpiled_partial: layer depth 5 is opaque-instruction depth, not elementary-gate depth). 5 seeds x 1e6 Hadamard shots + 5 x 1e6 encoded-prefix diagnostic shots."
ieee14_fullrect_d255_isolated_readout_wpj,ieee14,82x27,c113dfa0ee5240182a77d2a845b0f4e950639c49884486d330a5c1351488fa5b,first nonreference voltage-angle update coordinate,76.87225449767783,2772.5846154387755,1e-05,42.81061621595387,255,0,0,not_estimated,,,0.002255155116301191,,"none (no in-circuit QSVT, no acceptance step)",6000000,6000000,0.0049272135463422,rel95 half-width 0.0096,sampled_simulator,outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_summary.csv;outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_runs.csv,scripts/run_generalized_high_precision_readout.py,ISOLATED overlap readout: state preparation loads the classically computed convention-validated update direction; the QSVT operator does NOT act in the sampled circuit. Signal/phase calls per attempt are 0 by construction. Must never be pooled with the integrated branch-circuit campaign.
ieee14_fullrect_d255_multioutput,ieee14,82x27,,"theta_2 (bus 2 angle, non-slack); V_1 (bus 1 voltage magnitude); area_aggregate_angle (buses 12,13,14 mean)",76.87225449767783,2772.5846154387755,1e-05,42.81061621595387,255,255,256,not_estimated,,1.5581836336167246e-14,0.001399087618818,0.0028555410727954,state-dependent quadrature estimate |B^T r_hat|^2,600000,600000,theta_2=0.0048901; V_1=0.00337152; area_aggregate_angle=0.000643962,"[0.00478381, 0.00499638]; [0.00326409, 0.00347894]; [0.000535539, 0.000752384]",sampled_simulator,outputs/generalized_rectangular_qsvt/ieee14_multioutput_statevector.csv;outputs/generalized_rectangular_qsvt/ieee14_multioutput_backend_shots.csv,scripts/run_generalized_ieee_application.py,Three preselected outputs; dense matrix-action values plus Aer Hadamard-test shots (200k/output). Area-aggregate output has poor RELATIVE shot precision (~0.59) because its value is small; retained.
ieee14_fullrect_d255_robustness_sweep,ieee14,82x27,,full-update ground-truth RMSE ratio (no single functional),76.87225449767783,2772.5846154387755,1e-05,42.81061621595387,255,255,256,not_estimated,,2.7108434108561433e-14,1.1072971848813022,,per-row quadrature estimates in artifact,,,,,qsvt_matrix_action,outputs/generalized_rectangular_qsvt/ieee14_robustness_results.csv,scripts/run_generalized_ieee_application.py,"40 controlled perturbation configs (gaussian/bad-data/missing), all pass; qsvt_ridge_error column holds the MAX matched-lambda ground-truth RMSE ratio (execution-accuracy criterion), max 1.107."
ieee14_fullrect_d31_degree_aware_lambda_0p02,ieee14,82x27,,full postselected update (L2 diagnostic) + first coordinate,153744.50899535566,2772.5846154387755,0.02,3.7123100556574027,31,31,32,not_estimated,,,0.0314128887863108,0.7982305637460024,statevector postselection probability,,,,,statevector_dense,outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_qsvt_vs_ridge.csv;outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_block_encoding_metadata.json,scripts/run_phase10_full_rectangular_qsvt.py,Lower-degree boundary experiment; compiled-circuit statevector cross-checked against matrix-vector path. Distinct from the d=255 campaign.
ieee14_fullrect_d31_degree_aware_lambda_0p068,ieee14,82x27,,full postselected update (L2 diagnostic) + first coordinate,522731.3305842093,2772.5846154387755,0.06800000000000002,2.0132830903155985,31,31,32,not_estimated,,,0.0007094866264181,0.8483616026152354,statevector postselection probability,,,,,statevector_dense,outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_qsvt_vs_ridge.csv;outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_block_encoding_metadata.json,scripts/run_phase10_full_rectangular_qsvt.py,"Lower-degree boundary experiment (anchor lambda=0.068, exact p_succ 0.8483616). Basis of the 30-seed finite-shot record and the d=31 sensitivity/resource paragraphs."
ieee30_fullrect_d39_degree_aware_lambda_0p02,ieee30,172x59,,full postselected update (L2 diagnostic) + first coordinate,436018.9199486883,4669.148316067333,0.02,3.7123105992778256,39,39,40,not_estimated,,,0.0182308354694734,0.6902260261226993,statevector postselection probability,,,,,statevector_dense,outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_qsvt_vs_ridge.csv;outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_block_encoding_metadata.json,scripts/run_phase10_full_rectangular_qsvt.py,Lower-degree boundary experiment (degree 39).
ieee30_fullrect_d31_degree_aware_lambda_0p068,ieee30,172x59,,full postselected update (L2 diagnostic) + first coordinate,1482464.3278255402,4669.148316067333,0.068,2.0132830725448336,31,31,32,not_estimated,,,0.0011487418111174,0.8887020217683828,statevector postselection probability,,,,,statevector_dense,outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_qsvt_vs_ridge.csv;outputs/phase10_full_rectangular_selected_output_qsvt/full_rectangular_block_encoding_metadata.json,scripts/run_phase10_full_rectangular_qsvt.py,Lower-degree boundary experiment (anchor lambda=0.068).
ieee14_fullrect_d31_integrated_30seed_lambda_0p068,ieee14,82x27,,first_state_coordinate,522731.33058420924,2772.5846154387755,0.068,2.0132830903158605,31,31,32,0.0015879949505929192,,2.830764849224963e-16,0.0113239334685865,0.8483616026152354,exact statevector postselection probability,3000000,2544038,0.0043940055495566,"[0.00426713, 0.00452088]",sampled_distribution,outputs/tqe_implementation_revision/full_rectangular_finite_shot.csv;outputs/tqe_implementation_revision/full_rectangular_finite_shot_metadata.json,scripts/run_tqe_implementation_revision.py,"30 seeds x 100,000 samples drawn multinomially from the VERIFIED exact integrated-circuit distribution (max distribution error 4.4e-15); one 1,000-shot Aer smoke run is the only backend shot execution. Not Aer backend sampling at scale; never pool with the d=255 Aer campaigns. qsvt_ridge_error is mean rel. error vs the exact QSVT output."
