readout_id,configuration_id,polynomial_degree,variant,evidence_status,backend,attempted_shots,postselection_accepted_shots,readout_accepted_shots,postselection_probability,postselection_probability_definition,branch_probability,branch_probability_definition,quadrature_probability,quadrature_probability_definition,conditional_acceptance_probability,conditional_acceptance_probability_definition,selected_output_estimate,statevector_reference,matched_ridge_reference,standard_error,standard_error_scope,confidence_interval_lower,confidence_interval_upper,confidence_interval_level,confidence_interval_scope,relative_ci_half_width,analytic_variance,analytic_variance_scope,empirical_seed_variance,empirical_seed_variance_scope,empirical_mean_standard_error,seed_count,estimator_definition,artifact_paths,notes
d255_fullrect_statevector_diagnostic,ieee14_fullrect_d255_useful_overlap,255,full-rectangular statevector selected-output diagnostic,statevector_dense,dense float64 sequence action (no finite shots),not_applicable,not_applicable,not_applicable,0.6027751117148842,statevector encoded-prefix norm after the production sequence,not_applicable,not_applicable,0.0028555738108419,statevector |selected quadrature|^2,not_applicable,not_applicable,0.0049368430879933,0.0049368430879933,0.0049383502922699,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_estimated,not_estimated,not_estimated,not_applicable,direct statevector amplitude inspection; diagnostic only,outputs/final_useful_overlap_validation/final_quantum_reproduction.csv,No measurement-based full-vector recovery is performed.
d255_integrated_branch_hadamard,ieee14_fullrect_d255_shot_readout,255,integrated branch Hadamard test (controlled QSVT acts in circuit),sampled_simulator,aer_simulator_statevector (Aer shots),5000000,not_applicable,5000000,not_applicable,not_applicable,0.5053297781667683,Hadamard readout probability Pr[branch bit=0],0.0028555738108419,statevector target-quadrature probability; not an acceptance rate,not_applicable,not_applicable,0.0048779521879714,0.0049368430879933,0.0049383502922699,0.0002071097372099561,"analytic SE of the pooled 5,000,000-shot estimate",0.0044720165560432,0.0052838878198996,0.95,normal-approximation CI for the pooled estimate,0.0832184523926246,4.289444324717708e-08,variance of the pooled selected-output estimate,4.162827100578754e-07,"sample variance across five independent 1,000,000-shot estimates",0.00028854209746859307,5,y=(C/beta)||r|| (N0-N1)/N; no acceptance step,outputs/final_useful_overlap_validation/high_shot_backend_summary.csv;outputs/final_useful_overlap_validation/high_shot_backend_runs.csv;outputs/final_useful_overlap_validation/final_readout_variance_checks.csv,The encoded-prefix diagnostic is a separate circuit and separate registry row; its accepted counts are never used as Hadamard samples.
d255_encoded_prefix_diagnostic,ieee14_fullrect_d255_shot_readout,255,separate encoded-prefix postselection diagnostic,sampled_simulator,aer_simulator_statevector (Aer shots),5000000,3014620,not_applicable,0.602924,measured encoded-prefix frequency in the separate diagnostic circuit,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.6027751117148842,not_applicable,0.00021881802952407737,binomial SE of the encoded-prefix frequency,0.6024951166621328,0.6033528833378672,0.95,normal-approximation CI for the frequency,0.0007113389711923753,4.78813300448e-08,"variance of the 5,000,000-shot frequency",1.8857149999998273e-07,"sample variance across five independent 1,000,000-shot frequencies",0.00019420169927165042,5,p_post_hat=N_encoded_prefix/N,outputs/final_useful_overlap_validation/high_shot_backend_summary.csv;outputs/final_useful_overlap_validation/high_shot_backend_runs.csv,This probability is not the selected-output estimate.
d255_isolated_wpj_10000,ieee14_fullrect_d255_isolated_readout_wpj,255,isolated overlap Hadamard test (QSVT does not act in circuit),sampled_simulator,aer:AerSimulator (Aer shots),60000,not_applicable,60000,not_applicable,not_applicable,0.5997405241374885,Hadamard readout probability Pr[0],not_applicable,not_applicable,not_applicable,not_applicable,0.0047006060564098,0.0049368997384713,0.0049383502922699,9.900555090411855e-05,analytic SE after pooling 6 equal 10000-shot runs,0.004506555176637728,0.004894656936181872,0.95,normal-approximation CI for pooled counts,0.04128209797701774,9.80209910982801e-09,variance of the pooled selected-output estimate,1.3442309754216468e-08,sample variance across 6 separate seed estimates,4.7332704962172595e-05,6,y=||dx|| mu_hat; no acceptance step,outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_summary.csv;outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_runs.csv,The source's aggregate_relative_ci_half_width is the analytic single-seed width; this registry reports the pooled width and keeps seed variation separate.
d255_isolated_wpj_100000,ieee14_fullrect_d255_isolated_readout_wpj,255,isolated overlap Hadamard test (QSVT does not act in circuit),sampled_simulator,aer:AerSimulator (Aer shots),600000,not_applicable,600000,not_applicable,not_applicable,0.5997405241374885,Hadamard readout probability Pr[0],not_applicable,not_applicable,not_applicable,not_applicable,0.0049059379004674,0.0049368997384713,0.0049383502922699,3.130830418567574e-05,analytic SE after pooling 6 equal 100000-shot runs,0.004844573624263476,0.004967302176671325,0.95,normal-approximation CI for pooled counts,0.012508164075635389,9.802099109828009e-10,variance of the pooled selected-output estimate,1.939423948062041e-08,sample variance across 6 separate seed estimates,5.685396421332525e-05,6,y=||dx|| mu_hat; no acceptance step,outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_summary.csv;outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_runs.csv,The source's aggregate_relative_ci_half_width is the analytic single-seed width; this registry reports the pooled width and keeps seed variation separate.
d255_isolated_wpj_1000000,ieee14_fullrect_d255_isolated_readout_wpj,255,isolated overlap Hadamard test (QSVT does not act in circuit),sampled_simulator,aer:AerSimulator (Aer shots),6000000,not_applicable,6000000,not_applicable,not_applicable,0.5997405241374885,Hadamard readout probability Pr[0],not_applicable,not_applicable,not_applicable,not_applicable,0.0049272135463422,0.0049368997384713,0.0049383502922699,9.900555090411856e-06,analytic SE after pooling 6 equal 1000000-shot runs,0.004907808458364993,0.004946618634319408,0.95,normal-approximation CI for pooled counts,0.003938349291074045,9.80209910982801e-11,variance of the pooled selected-output estimate,9.394983003620468e-10,sample variance across 6 separate seed estimates,1.2513314910939512e-05,6,y=||dx|| mu_hat; no acceptance step,outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_summary.csv;outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_runs.csv,The source's aggregate_relative_ci_half_width is the analytic single-seed width; this registry reports the pooled width and keeps seed variation separate.
d31_integrated_30seed_distribution,ieee14_fullrect_d31_integrated_30seed_lambda_0p068,31,integrated joint postselection+sign estimator; exact-distribution multinomial sampling (not backend shots at scale),sampled_distribution,"NumPy multinomial from verified circuit distribution; 1,000-shot Aer smoke",3000000,2544038,2772019,0.8480126666666667,inferred QSVT postselection p_hat=2f_hat-1,0.9240063333333332,measured interference-branch acceptance f_hat,not_applicable,not_applicable,0.6091672665558054,mean Pr[positive sign | accepted interference branch],0.0043940055495566,0.004375608762045,0.0043736518755321,1.0960979430991954e-05,empirical standard error of the 30-seed mean,0.004371587829517529,0.004416423269595671,0.95,Student-t CI for the mean across 30 simulator seeds,0.005101887056408877,1.3967337161366168e-10,analytic shot variance of the 30-seed mean,3.6042921025988613e-09,sample variance across 30 seed estimates,1.0960979430991954e-05,30,y=scale*z_hat; p_post_hat=2f_hat-1; per-run SE=scale*sqrt((f_hat-z_hat^2)/N),outputs/tqe_implementation_revision/full_rectangular_finite_shot.csv;outputs/tqe_implementation_revision/full_rectangular_finite_shot_seeds.csv;outputs/tqe_implementation_revision/full_rectangular_finite_shot_metadata.json,The source mean_ci95 columns average individual-run interval endpoints; they are not a CI for the mean and are not reused here.
d31_selected4x4_integrated,selected4x4_d31_integrated_readout,31,integrated residual-QSVT-postselection-readout Aer chain,sampled_simulator,aer_integrated_circuit_shot_sampling,30000000,29712020,29856010,0.9904006666666668,measured QSVT p_hat=2f_hat-1,0.9952003333333334,observed interference-branch acceptance,not_applicable,not_applicable,0.3769941128701887,mean Pr[positive sign | accepted interference branch],-0.0042529343209584,-0.0042570895744891,-0.0042590181430577,2.476634306449478e-06,empirical standard error of the 30-seed mean,-0.0042579996068546734,-0.004247869035062127,0.95,Student-t CI for the mean across 30 Aer seeds,0.0011910096686213994,9.407072593257516e-12,analytic shot variance of the 30-seed mean,1.840115246364746e-10,sample variance across 30 Aer seed estimates,2.476634306449478e-06,30,joint postselection/sign y=physical_scale*z_hat,outputs/phase8_integrated_readout/integrated_readout_summary.csv;outputs/phase8_integrated_readout/integrated_readout_per_seed.csv,Postselection and interference-branch acceptance are distinct.
d31_selected8x8_integrated,selected8x8_d31_integrated_readout,31,integrated residual-QSVT-postselection-readout Aer chain,sampled_simulator,aer_integrated_circuit_shot_sampling,30000000,28558152,29279076,0.9519384,measured QSVT p_hat=2f_hat-1,0.9759692,observed interference-branch acceptance,not_applicable,not_applicable,0.6110860543418888,mean Pr[positive sign | accepted interference branch],0.003946619065504,0.0039391961339354,0.0039375812511089,2.475287017308333e-06,empirical standard error of the 30-seed mean,0.003941556535123415,0.003951681595884585,0.95,Student-t CI for the mean across 30 Aer seeds,0.0012827512097215142,1.0258200268602116e-11,analytic shot variance of the 30-seed mean,1.838113745416555e-10,sample variance across 30 Aer seed estimates,2.475287017308333e-06,30,joint postselection/sign y=physical_scale*z_hat,outputs/phase9_integrated_8x8_readout/integrated_readout_summary.csv;outputs/phase9_integrated_8x8_readout/integrated_readout_per_seed.csv,Postselection and interference-branch acceptance are distinct.
d255_multioutput_theta_2,ieee14_fullrect_d255_multioutput,255,isolated overlap Hadamard test per preselected output,sampled_simulator,aer:AerSimulator,200000,not_applicable,200000,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0048900987224605,0.0049368997384713,0.0049383502922699,5.422757354839289e-05,analytic SE of one finite-shot estimate,0.0047838126783057,0.0049963847666154,0.95,normal-approximation CI for one estimate,0.021734948553629858,2.94062973294636e-09,variance of one selected-output estimate,not_estimated,not_estimated,not_estimated,1,y=||dx|| mu_hat; no acceptance step,outputs/generalized_rectangular_qsvt/ieee14_multioutput_backend_shots.csv,The area aggregate retains poor relative precision; broad-CI containment is not called numerical agreement.
