configuration_id,degree,signal_calls_per_attempt,phase_operations_per_attempt,alternating_sequence_length,residual_preparations_per_attempt,block_encoding_calls_per_attempt,controlled_block_encoding_calls_per_attempt,shots_attempted,shots_accepted,postselection_probability,expected_attempts_per_success,signal_calls_total,modeled_loader_cost,modeled_value_rotation_cost,fault_tolerant_cost,evidence_status,notes
ieee14_fullrect_d255_useful_overlap,255,255,256,511,1,255,not_estimated,,,0.0028555738108419,350.1923137840983,not_estimated,not_estimated,not_estimated,excluded,statevector_dense,"Executed dense statevector action; 8 logical qubits (dilation 256). Direct-rejection sampling would need 1/p_quadrature = 350.19 attempts per accepted sample (modeled, not executed)."
ieee14_fullrect_d255_shot_readout,255,255,256,511,1,255,1 opaque controlled QSVT-operator application per Hadamard shot (executed); equals d controlled signal calls per shot at decomposition level (modeled),10000000,3014620,0.602924,1.6585838347785127,1275000000 decomposition-level signal calls over 5e6 Hadamard shots (modeled equivalence; executed circuits apply one opaque operator per shot),dense initialize executed per shot; QROM not used in this run,not_estimated,excluded,sampled_simulator,Two circuit families executed: branch Hadamard test (depth 5 opaque-instruction layers - NOT elementary-gate depth) and encoded-prefix diagnostic (depth 3 layers). 9 qubits (Hadamard) / 8 qubits (prefix).
ieee14_fullrect_d255_isolated_readout_wpj,255,0,0,0,1,0,0,6000000,6000000,,,0,dense StatePreparation of the classical update direction,not_estimated,excluded,sampled_simulator,"Isolated overlap readout: QSVT executed classically upstream, so in-circuit signal/phase counts are zero by construction."
ieee14_fullrect_d31_integrated_30seed_lambda_0p068,31,31,32,63,1,31,0,3000000,2544038,0.8483616026152354,1.178742645727141,"epsilon=1e-2 model: 2947 attempts x 31 = 91357 signal calls, 94304 phase operations, 2947 residual reloads (mechanically derived from p_succ 0.8483616 and 2,500 accepted samples)","8-bit QROM loader model: 818 Toffolis (3,272 T) per load; 2410646 Toffolis (9642584 T) over the modeled attempts",not_estimated,excluded,sampled_distribution,"30 seeds x 100,000 samples from the verified exact distribution; 9 circuit qubits; opaque-instruction depth 68 (NOT elementary-gate depth). Distinct interference-branch acceptance (mean 92,400.6/seed) and estimated QSVT-postselection acceptance (mean 84,801.3/seed) are never merged."
ieee14_fullrect_d31_degree_aware_lambda_0p02,31,31,32,63,1,31,not_estimated,,,0.7982305637460024,1.2527708727502456,not_estimated,not_estimated,not_estimated,excluded,statevector_dense,
ieee14_fullrect_d31_degree_aware_lambda_0p068,31,31,32,63,1,31,not_estimated,,,0.8483616026152354,1.178742645727141,not_estimated,not_estimated,not_estimated,excluded,statevector_dense,
ieee30_fullrect_d39_degree_aware_lambda_0p02,39,39,40,79,1,39,not_estimated,,,0.6902260261226993,1.4488007727228662,not_estimated,not_estimated,not_estimated,excluded,statevector_dense,
ieee30_fullrect_d31_degree_aware_lambda_0p068,31,31,32,63,1,31,not_estimated,,,0.8887020217683828,1.125236553428956,not_estimated,not_estimated,not_estimated,excluded,statevector_dense,
ieee30_fullrect_generalized_sweep_seed123,255,255,256,511,1,255,not_estimated,,,0.022232292737602,44.97961644363725,not_estimated,not_estimated,not_estimated,excluded,qsvt_matrix_action,
ieee57_fullrect_escalation_seed123,255,255,256,511,1,255,not_estimated,,,0.0272083307843558,36.7534490787277,not_estimated,not_estimated,not_estimated,excluded,qsvt_matrix_action,
selected4x4_d31_integrated_readout,31,31,32,63,1,31,not_estimated,30000000,29856010,0.9903957148614684,1.0096974219439903,not_estimated,not_estimated,not_estimated,excluded,sampled_simulator,
selected8x8_d31_integrated_readout,31,31,32,63,1,31,not_estimated,30000000,29279076,0.9519140790609424,1.0505149802873954,not_estimated,not_estimated,not_estimated,excluded,sampled_simulator,
sparse8x8_d31_wrapper,31,31,32,63,1,31,not_estimated,,,0.6090421558900077,1.64192246846801,not_estimated,not_estimated,not_estimated,excluded,statevector_dense,
