case,matrix_shape,matrix_source,output_name,output_interpretation,seed,shots,total_shots,accepted_shots,acceptance_frequency,estimated_postselection_probability,postselection_standard_error,conditional_signed_mean,signed_overlap_estimate,signed_overlap_standard_error,selected_output_estimate,selected_output_standard_error,ci95_low,ci95_high,interference_accepted_shots,estimated_qsvt_postselection_accepted_shots,exact_expected_qsvt_postselection_accepted_shots,exact_statevector_postselection_probability,exact_signed_overlap,exact_qsvt_statevector_output,matched_ridge_output,absolute_error_vs_qsvt,relative_error_vs_qsvt,absolute_error_vs_ridge,relative_error_vs_ridge,state_preparation_repetitions,total_signal_unitary_calls,total_phase_rotations,sampling_backend
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3000,100000,100000.0,92341.0,0.92341,0.8468199999999999,0.0016819509136713835,0.21653436718250832,0.19995,0.0029722550319580586,0.004354968018448579,6.473656217479472e-05,0.004228084356585981,0.004481851680311177,92341.0,84681.99999999999,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,2.064074359648619e-05,0.004717227869074645,1.8683857083572758e-05,0.004271912263547371,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3001,100000,100000.0,92403.0,0.92403,0.84806,0.0016756916076653243,0.2219733125547872,0.20511,0.0029697809479825275,0.004467354289892414,6.468267592028913e-05,0.004340576245088647,0.00459413233469618,92403.0,84806.0,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,9.174552784734814e-05,0.020967488831078275,9.370241436026158e-05,0.02142429645223206,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3002,100000,100000.0,92369.0,0.92369,0.84738,0.0016791281535368287,0.22049605387088742,0.20367,0.002970199540603291,0.004435990679256925,6.469179298693672e-05,0.004309194765002529,0.004562786593511321,92369.0,84738.0,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,6.038191721185939e-05,0.013799660914756507,6.233880372477282e-05,0.014253261461781963,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3003,100000,100000.0,92453.0,0.92453,0.8490599999999999,0.0016706199938944827,0.22286999881020628,0.20605,0.0029699720495317793,0.004487827757946135,6.468683816652703e-05,0.004361041555139743,0.004614613960752528,92453.0,84905.99999999999,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,0.00011221899590106981,0.02564648760978828,0.00011417588241398324,0.026105388737664725,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3004,100000,100000.0,92387.0,0.92387,0.8477399999999999,0.0016773100262026698,0.21763884529208655,0.20107,0.002972273296821811,0.004379361937831737,6.473695998873573e-05,0.004252477496253815,0.004506246379409658,92387.0,84774.0,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,3.7531757866712465e-06,0.0008577493991755087,5.710062299584678e-06,0.0013055593956914832,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3005,100000,100000.0,92500.0,0.925,0.8500000000000001,0.0016658331248957678,0.22246486486486486,0.20578,0.0029709503388646538,0.004481947080951981,6.470814558716948e-05,0.004355119115601129,0.004608775046302834,92500.0,85000.00000000001,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,0.00010633831890691572,0.024302519875477963,0.00010829520541982916,0.024760819676955342,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3006,100000,100000.0,92341.0,0.92341,0.8468199999999999,0.0016819509136713835,0.220259689628659,0.20339,0.0029699200458934917,0.0044298921994111356,6.468570551245558e-05,0.004303108216606723,0.004556676182215548,92341.0,84681.99999999999,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,5.428343736607003e-05,0.012405916597693967,5.6240323878983464e-05,0.012858893546972248,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3007,100000,100000.0,92477.0,0.92477,0.84954,0.0016681780132827553,0.2192437038398737,0.20275,0.002972646022485691,0.004415952816906475,6.47450780599828e-05,0.0042890524639089085,0.004542853169904041,92477.0,84954.0,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,4.0344054861409136e-05,0.009220215301551135,4.230094137432257e-05,0.00967176688455016,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3008,100000,100000.0,92549.0,0.92549,0.8509800000000001,0.0016608222048130254,0.21799263093064214,0.20175,0.002974536833693609,0.0043941725317429405,6.478626046728165e-05,0.004267191461227069,0.004521153602258812,92549.0,85098.0,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,1.8563769697874967e-05,0.004242557026327615,2.05206562107884e-05,0.0046918814745153,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
ieee14,82x27,ieee14_pypower_ac_weighted_jacobian,first_state_coordinate,first non-reference voltage-angle correction (bus 2),3009,100000,100000.0,92588.0,0.92588,0.8517600000000001,0.0016568189472600796,0.21693956020218602,0.20086,0.0029757944492185616,0.004374788077947395,6.481365169204121e-05,0.004247753320630995,0.004501822835263796,92588.0,85176.0,84836.16026152355,0.8483616026152354,0.2008976801355679,0.0043756087620450655,0.004373651875532152,8.206840976703392e-07,0.000187558838621296,1.1362024152430927e-06,0.00025978345958429724,100000,3100000,3200000,multinomial sampling from exact distribution of executed Qiskit integrated circuit
